policy_id,kind,cap_mult,treatment,w_A_pct,w_B_pct,edge_A,edge_B,f_pct,n_paths,exp_cagr,median_cagr,max_dd_p50,max_dd_p95,max_dd_p99,P_dd_ge_10,P_dd_ge_20,P_dd_ge_30,P_dd_ge_40,P_dd_ge_50,P_technical_ruin
H0,H0,,REJECT,50.0,50.0,1.0,1.0,1.0,2000,0.7169286071715248,0.7151294701493244,0.0514268483839528,0.07600525605413333,0.09309151887389595,0.0055,0.0,0.0,0.0,0.0,0.0
H0,H0,,REJECT,50.0,50.0,0.75,0.75,1.0,2000,0.32848944254413076,0.3282831200238324,0.06516406256944665,0.10420204987742805,0.13242735955716625,0.062,0.0,0.0,0.0,0.0,0.0
H0,H0,,REJECT,50.0,50.0,0.5,1.0,1.0,2000,0.32309769255413534,0.3201431899710555,0.07003212461211888,0.11367134777626939,0.14567515909957005,0.1075,0.0,0.0,0.0,0.0,0.0
H0,H0,,REJECT,50.0,50.0,1.0,0.5,1.0,2000,0.3334025534448597,0.3332967220189632,0.0635592626782446,0.09996317971086749,0.1267016645692688,0.05,0.0,0.0,0.0,0.0,0.0
H0,H0,,REJECT,50.0,50.0,0.5,0.5,1.0,2000,0.02744675830337368,0.027176387786730816,0.12506414369281094,0.23427624592136265,0.29060071754243866,0.72,0.113,0.008,0.0,0.0,0.0
H0,H0,,REJECT,50.0,50.0,0.25,0.25,1.0,2000,-0.2057544560741774,-0.20626385247284124,0.4897799046942475,0.5807040686346674,0.6185730765009239,1.0,1.0,0.998,0.9195,0.437,0.0
H0,H0,,REJECT,50.0,50.0,0.75,0.5,1.0,2000,0.17060624857307305,0.1705162747706671,0.07907096194304251,0.13441834317630982,0.17422970709095495,0.235,0.0025,0.0,0.0,0.0,0.0
H0,H0,,REJECT,50.0,50.0,0.5,0.75,1.0,2000,0.16604961091043194,0.165211759818906,0.08438433990964882,0.1447062662749578,0.1848964005120964,0.3005,0.006,0.0,0.0,0.0,0.0
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,1.0,1.0,1.0,2000,0.7103099703891321,0.7079394464205269,0.051028724896052174,0.07440290093663922,0.09144417462928404,0.0045,0.0,0.0,0.0,0.0,0.0
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,0.75,0.75,1.0,2000,0.3266630736076107,0.3258993790411755,0.06402986321761953,0.10140879857643484,0.13034542875711844,0.0565,0.0,0.0,0.0,0.0,0.0
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,0.5,1.0,1.0,2000,0.3205930919566134,0.3184819506651555,0.06858170804341332,0.10978173833376353,0.14285727727389214,0.0885,0.0,0.0,0.0,0.0,0.0
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,1.0,0.5,1.0,2000,0.33226490246620277,0.3321763717199522,0.0624579168021311,0.09826816744700811,0.12239879805017419,0.0435,0.0,0.0,0.0,0.0,0.0
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,0.5,0.5,1.0,2000,0.028593687548770647,0.02809005419790178,0.12163205807775931,0.22713757631701786,0.2829608182509071,0.704,0.1015,0.0075,0.0,0.0,0.0
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,0.25,0.25,1.0,2000,-0.20288059712082931,-0.2040337486296417,0.4852485560229618,0.5743785490334571,0.6142117175400256,1.0,1.0,0.998,0.9045,0.4005,0.0
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,0.75,0.5,1.0,2000,0.17075903096047096,0.17057196663561802,0.07795675791146911,0.1310558488488256,0.171613143169963,0.208,0.0015,0.0,0.0,0.0,0.0
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,0.5,0.75,1.0,2000,0.16559381513854243,0.1651365973337362,0.08273928627851657,0.14239381590783604,0.18021625112503792,0.2795,0.0045,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,1.0,1.0,1.0,2000,0.7169286071715248,0.7151294701493244,0.0514268483839528,0.07600525605413333,0.09309151887389595,0.0055,0.0,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,0.75,0.75,1.0,2000,0.32848944254413076,0.3282831200238324,0.06516406256944665,0.10420204987742805,0.13242735955716625,0.062,0.0,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,0.5,1.0,1.0,2000,0.32309769255413534,0.3201431899710555,0.07003212461211888,0.11367134777626939,0.14567515909957005,0.1075,0.0,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,1.0,0.5,1.0,2000,0.3334025534448597,0.3332967220189632,0.0635592626782446,0.09996317971086749,0.1267016645692688,0.05,0.0,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,0.5,0.5,1.0,2000,0.02744675830337368,0.027176387786730816,0.12506414369281094,0.23427624592136265,0.29060071754243866,0.72,0.113,0.008,0.0,0.0,0.0
