event_id,family,entry_time,exit_time,direction,return_R,episode_id,episode_start,episode_end,concurrent_position_count_at_entry,peak_concurrent_position_count,same_direction_active_count,opposite_direction_active_count,A_active_count,B_active_count,gross_active_R,net_directional_R,episode_peak_heat,episode_realized_R,episode_worst_CAE_R,episode_best_CFE_R
EUR_ORIGIN_202307101100,A,2023-07-10 13:00:00+00:00,2023-07-10 19:00:00+00:00,1.0,-0.8568022596566067,0,2023-07-10 13:00:00+00:00,2023-07-10 19:00:00+00:00,0,1,0,0,0,0,0.0,1.0,1,-0.8568022596566067,-0.8931717673789177,0.364623937531181
EUR_ORIGIN_202307111000,B,2023-07-11 11:00:00+00:00,2023-07-11 17:00:00+00:00,-1.0,-0.4439540977867955,1,2023-07-11 11:00:00+00:00,2023-07-11 21:00:00+00:00,0,2,0,0,0,0,0.0,-1.0,2,0.7753566595049877,-0.8076459848856512,1.2366252700879687
EUR_ORIGIN_202307111400,B,2023-07-11 15:00:00+00:00,2023-07-11 21:00:00+00:00,-1.0,1.2193107572917832,1,2023-07-11 11:00:00+00:00,2023-07-11 21:00:00+00:00,1,2,1,0,0,1,1.0,-2.0,2,0.7753566595049877,-0.8076459848856512,1.2366252700879687
EUR_ORIGIN_202307121500,A,2023-07-12 17:00:00+00:00,2023-07-12 23:00:00+00:00,1.0,1.150224191171451,2,2023-07-12 17:00:00+00:00,2023-07-12 23:00:00+00:00,0,1,0,0,0,0,0.0,1.0,1,1.150224191171451,-0.3282295895986932,0.8079417261667143
EUR_ORIGIN_202307131600,A,2023-07-13 18:00:00+00:00,2023-07-14 00:00:00+00:00,1.0,-0.28426398427882976,3,2023-07-13 18:00:00+00:00,2023-07-14 00:00:00+00:00,0,1,0,0,0,0,0.0,1.0,1,-0.28426398427882976,-0.8161915898294848,0.28879369826718787
EUR_ORIGIN_202307140500,A,2023-07-14 07:00:00+00:00,2023-07-14 13:00:00+00:00,1.0,1.4837976791448224,4,2023-07-14 07:00:00+00:00,2023-07-14 19:00:00+00:00,0,1,0,0,0,0,0.0,1.0,1,1.7187095373751051,-0.3445102583156623,1.004460567763655
EUR_ORIGIN_202307141100,A,2023-07-14 13:00:00+00:00,2023-07-14 19:00:00+00:00,1.0,0.2349118582302827,4,2023-07-14 07:00:00+00:00,2023-07-14 19:00:00+00:00,0,1,0,0,0,0,0.0,1.0,1,1.7187095373751051,-0.3445102583156623,1.004460567763655
EUR_ORIGIN_202307170000,B,2023-07-17 01:00:00+00:00,2023-07-17 07:00:00+00:00,-1.0,0.11914567342321256,5,2023-07-17 01:00:00+00:00,2023-07-17 19:00:00+00:00,0,1,0,0,0,0,0.0,-1.0,1,0.7664359038216433,-0.41740945066257984,0.8456694675301448
EUR_ORIGIN_202307171100,A,2023-07-17 13:00:00+00:00,2023-07-17 19:00:00+00:00,1.0,0.6472902303984307,5,2023-07-17 01:00:00+00:00,2023-07-17 19:00:00+00:00,0,1,0,0,0,0,0.0,1.0,1,0.7664359038216433,-0.41740945066257984,0.8456694675301448
EUR_ORIGIN_202307181100,B,2023-07-18 12:00:00+00:00,2023-07-18 18:00:00+00:00,-1.0,-1.0069183371413228,6,2023-07-18 12:00:00+00:00,2023-07-18 18:00:00+00:00,0,1,0,0,0,0,0.0,-1.0,1,-1.0069183371413228,-0.8548707388181306,0.25448676103525847
