policy_id,kind,cap_mult,treatment,w_A_pct,w_B_pct,group,N,mean_original_R,win_rate,profit_factor,loss_contribution_avoided_R,profit_contribution_missed_R,share_B,share_inner_sel,share_inner_val,share_oos,mean_episode_size
H0,H0,,REJECT,50.0,50.0,rejected,0,,,,,,,,,,
H0,H0,,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,rejected,14,0.16149012277872735,0.5714285714285714,1.58701712514387,-1.92572041092334,3.056151270374431,0.6428571428571429,0.7142857142857143,0.14285714285714285,0.14285714285714285,4.214285714285714
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,rejected,0,,,,,,,,,,
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H1-2.00-REJ,H1,2.0,REJECT,50.0,50.0,rejected,0,,,,,,,,,,
H1-2.00-REJ,H1,2.0,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H1-3.00-REJ,H1,3.0,REJECT,50.0,50.0,rejected,0,,,,,,,,,,
H1-3.00-REJ,H1,3.0,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H1-1.00-SCA,H1,1.0,SCALE,50.0,50.0,rejected,14,0.16149012277872735,0.5714285714285714,1.58701712514387,-1.92572041092334,3.056151270374431,0.6428571428571429,0.7142857142857143,0.14285714285714285,0.14285714285714285,4.214285714285714
H1-1.00-SCA,H1,1.0,SCALE,50.0,50.0,scaled,0,,,,,,,,,,
H1-1.50-SCA,H1,1.5,SCALE,50.0,50.0,rejected,0,,,,,,,,,,
H1-1.50-SCA,H1,1.5,SCALE,50.0,50.0,scaled,0,,,,,,,,,,
H1-2.00-SCA,H1,2.0,SCALE,50.0,50.0,rejected,0,,,,,,,,,,
H1-2.00-SCA,H1,2.0,SCALE,50.0,50.0,scaled,0,,,,,,,,,,
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,rejected,7,0.34672734950372325,0.7142857142857143,2.7955755008736287,-0.6758533532411121,1.8893990765041433,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.2857142857142857,3.4285714285714284
H2-1.00-REJ,H2,1.0,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,rejected,0,,,,,,,,,,
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H2-2.00-REJ,H2,2.0,REJECT,50.0,50.0,rejected,0,,,,,,,,,,
H2-2.00-REJ,H2,2.0,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H2-1.00-SCA,H2,1.0,SCALE,50.0,50.0,rejected,7,0.34672734950372325,0.7142857142857143,2.7955755008736287,-0.6758533532411121,1.8893990765041433,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.2857142857142857,3.4285714285714284
H2-1.00-SCA,H2,1.0,SCALE,50.0,50.0,scaled,0,,,,,,,,,,
H2-1.50-SCA,H2,1.5,SCALE,50.0,50.0,rejected,0,,,,,,,,,,
H2-1.50-SCA,H2,1.5,SCALE,50.0,50.0,scaled,0,,,,,,,,,,
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,rejected,73,0.3990489501119498,0.6575342465753424,2.3750784209043783,-10.592331650079046,25.15761832916521,1.0,0.6164383561643836,0.1232876712328767,0.2602739726027397,3.506849315068493
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,rejected,73,0.3990489501119498,0.6575342465753424,2.3750784209043783,-10.592331650079046,25.15761832916521,1.0,0.6164383561643836,0.1232876712328767,0.2602739726027397,3.506849315068493
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H3-1.00-REJ,H3,1.0,REJECT,50.0,50.0,rejected,3,0.5552903908137213,1.0,1665871172441.164,0.0,0.8329355862205821,1.0,0.6666666666666666,0.0,0.3333333333333333,3.6666666666666665
H3-1.00-REJ,H3,1.0,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H3-0.50-SCA,H3,0.5,SCALE,50.0,50.0,rejected,73,0.3990489501119498,0.6575342465753424,2.3750784209043783,-10.592331650079046,25.15761832916521,1.0,0.6164383561643836,0.1232876712328767,0.2602739726027397,3.506849315068493
H3-0.50-SCA,H3,0.5,SCALE,50.0,50.0,scaled,0,,,,,,,,,,
H3-0.75-SCA,H3,0.75,SCALE,50.0,50.0,rejected,3,0.5552903908137213,1.0,1665871172441.164,0.0,0.8329355862205821,1.0,0.6666666666666666,0.0,0.3333333333333333,3.6666666666666665
H3-0.75-SCA,H3,0.75,SCALE,50.0,50.0,scaled,70,0.392352888367588,0.6428571428571429,2.296442704639361,-10.592331650079046,24.32468274294463,1.0,0.6142857142857143,0.12857142857142856,0.2571428571428571,3.5
H4-1.00-REJ,H4,1.0,REJECT,50.0,50.0,rejected,180,0.35419454509238485,0.6333333333333333,2.0932103165061786,-29.159539181987274,61.0370482403019,0.4722222222222222,0.48333333333333334,0.23333333333333334,0.2833333333333333,4.811111111111111
H4-1.00-REJ,H4,1.0,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H4-1.50-REJ,H4,1.5,REJECT,50.0,50.0,rejected,84,0.4107954182174255,0.6785714285714286,2.155028343508767,-14.937648640481958,32.19105620561382,0.5238095238095238,0.4880952380952381,0.27380952380952384,0.23809523809523808,5.880952380952381
H4-1.50-REJ,H4,1.5,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H4-2.00-REJ,H4,2.0,REJECT,50.0,50.0,rejected,42,0.45546069679599616,0.6190476190476191,2.0904656183573205,-8.771184044412298,18.33585867712822,0.47619047619047616,0.5238095238095238,0.30952380952380953,0.16666666666666666,6.761904761904762
H4-2.00-REJ,H4,2.0,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H4-3.00-REJ,H4,3.0,REJECT,50.0,50.0,rejected,10,0.05523149490091293,0.6,1.1198290262575727,-2.304595832323326,2.5807533068278907,0.5,0.5,0.5,0.0,8.4
H4-3.00-REJ,H4,3.0,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H4-1.00-SCA,H4,1.0,SCALE,50.0,50.0,rejected,180,0.35419454509238485,0.6333333333333333,2.0932103165061786,-29.159539181987274,61.0370482403019,0.4722222222222222,0.48333333333333334,0.23333333333333334,0.2833333333333333,4.811111111111111
H4-1.00-SCA,H4,1.0,SCALE,50.0,50.0,scaled,0,,,,,,,,,,
H4-1.50-SCA,H4,1.5,SCALE,50.0,50.0,rejected,84,0.4107954182174255,0.6785714285714286,2.155028343508767,-14.937648640481958,32.19105620561382,0.5238095238095238,0.4880952380952381,0.27380952380952384,0.23809523809523808,5.880952380952381
H4-1.50-SCA,H4,1.5,SCALE,50.0,50.0,scaled,0,,,,,,,,,,
H5-1.50-REJ,H5,1.5,REJECT,50.0,50.0,rejected,7,0.34672734950372325,0.7142857142857143,2.7955755008736287,-0.6758533532411121,1.8893990765041433,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.2857142857142857,3.4285714285714284
H5-1.50-REJ,H5,1.5,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H5-1.50-SCA,H5,1.5,SCALE,50.0,50.0,rejected,7,0.34672734950372325,0.7142857142857143,2.7955755008736287,-0.6758533532411121,1.8893990765041433,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.2857142857142857,3.4285714285714284
H5-1.50-SCA,H5,1.5,SCALE,50.0,50.0,scaled,0,,,,,,,,,,
H5-2.00-REJ,H5,2.0,REJECT,50.0,50.0,rejected,0,,,,,,,,,,
H5-2.00-REJ,H5,2.0,REJECT,50.0,50.0,scaled,0,,,,,,,,,,
H5-2.00-SCA,H5,2.0,SCALE,50.0,50.0,rejected,0,,,,,,,,,,
H5-2.00-SCA,H5,2.0,SCALE,50.0,50.0,scaled,0,,,,,,,,,,
