policy_id,kind,cap_mult,treatment,w_A_pct,w_B_pct,f_pct,variant,max_dd,terminal_equity,max_dd_ratio_vs_historical
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,2.0,insert_worst_1,0.10169539210315755,19.974230497122687,1.000000000000005
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,2.0,insert_p99_loss_cluster,0.10169539210315802,24.591183822440918,1.0000000000000098
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,2.0,worstA_cluster,0.13528742161914975,19.9528659150501,1.330320074698349
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,2.0,worstB_cluster,0.10169539210315791,21.433240320173514,1.0000000000000087
H1-1.00-REJ,H1,1.0,REJECT,50.0,50.0,2.0,mixed_AB_cluster,0.13528742161914975,19.9528659150501,1.330320074698349
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,0.5,historical,0.02624420189590232,2.1677257354663304,1.0
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,0.5,worst5_x1_50,0.032579074438843524,2.043686250188328,1.2413817942747312
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,0.5,worst5_x2_00,0.0424468911580336,1.926627434153335,1.6173816725842638
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,0.5,insert_worst_1,0.026244201895901348,2.1479416045832944,0.999999999999963
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,0.5,insert_p99_loss_cluster,0.026244201895902222,2.2627147432468333,0.9999999999999963
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,0.5,worstA_cluster,0.03264526816905657,2.152860860442188,1.243904017296624
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,0.5,worstB_cluster,0.03251682121087841,2.134557175591946,1.2390097187887996
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,0.5,mixed_AB_cluster,0.03264526816905657,2.152860860442188,1.243904017296624
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,1.0,historical,0.051885791127356445,4.666461995073081,1.0
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,1.0,worst5_x1_50,0.06447290318557138,4.146284673125131,1.2425926594685468
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,1.0,worst5_x2_00,0.08355068175178512,3.683190654151707,1.6102805784864205
