event_id,entry_ts,policy_id,family,direction,base_f,A_weight,B_weight,requested_f,pre_gross_heat,pre_same_direction_heat,pre_opposite_direction_heat,pre_A_heat,pre_B_heat,episode_budget_used,remaining_heat,admitted_f,decision,reason
EUR_ORIGIN_202307101100,2023-07-10 13:00:00+00:00,H0,A,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307111000,2023-07-11 11:00:00+00:00,H0,B,-1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307111400,2023-07-11 15:00:00+00:00,H0,B,-1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307121500,2023-07-12 17:00:00+00:00,H0,A,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307131600,2023-07-13 18:00:00+00:00,H0,A,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307140500,2023-07-14 07:00:00+00:00,H0,A,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307141100,2023-07-14 13:00:00+00:00,H0,A,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307170000,2023-07-17 01:00:00+00:00,H0,B,-1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307171100,2023-07-17 13:00:00+00:00,H0,A,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307181100,2023-07-18 12:00:00+00:00,H0,B,-1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307190600,2023-07-19 08:00:00+00:00,H0,A,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307191300,2023-07-19 14:00:00+00:00,H0,B,-1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307201500,2023-07-20 16:00:00+00:00,H0,B,-1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307210600,2023-07-21 08:00:00+00:00,H0,A,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307240600,2023-07-24 07:00:00+00:00,H0,B,-1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307241000,2023-07-24 11:00:00+00:00,H0,B,-1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307262100,2023-07-26 23:00:00+00:00,H0,A,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307270900,2023-07-27 11:00:00+00:00,H0,A,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307271100,2023-07-27 12:00:00+00:00,H0,B,-1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307271500,2023-07-27 16:00:00+00:00,H0,B,-1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307272300,2023-07-28 01:00:00+00:00,H0,A,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307280300,2023-07-28 04:00:00+00:00,H0,B,-1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307281200,2023-07-28 14:00:00+00:00,H0,A,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202307311300,2023-07-31 14:00:00+00:00,H0,B,-1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202308021300,2023-08-02 14:00:00+00:00,H0,B,-1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202308030600,2023-08-03 07:00:00+00:00,H0,B,-1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
EUR_ORIGIN_202308081200,2023-08-08 13:00:00+00:00,H0,B,-1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,ACCEPT_FULL,
