bias,fib_level,session,hits,total_hits,probability
BULLISH,neg25,Asian,22,104,21.153846153846153
BULLISH,neg25,London,49,104,47.11538461538461
BULLISH,neg25,NY,33,104,31.73076923076923
BULLISH,neg50,Asian,22,95,23.157894736842106
BULLISH,neg50,London,35,95,36.84210526315789
BULLISH,neg50,NY,38,95,40.0
BULLISH,neg100,Asian,20,81,24.691358024691358
BULLISH,neg100,London,29,81,35.80246913580247
BULLISH,neg100,NY,32,81,39.50617283950617
BULLISH,neg168,Asian,18,65,27.692307692307693
BULLISH,neg168,London,17,65,26.153846153846157
BULLISH,neg168,NY,30,65,46.15384615384615
BULLISH,132_inv,Asian,23,92,25.0
BULLISH,132_inv,London,31,92,33.69565217391305
BULLISH,132_inv,NY,38,92,41.30434782608695
BEARISH,neg25,Asian,22,72,30.555555555555557
BEARISH,neg25,London,23,72,31.944444444444443
BEARISH,neg25,NY,27,72,37.5
BEARISH,neg50,Asian,21,61,34.42622950819672
BEARISH,neg50,London,16,61,26.229508196721312
BEARISH,neg50,NY,24,61,39.34426229508197
BEARISH,neg100,Asian,20,45,44.44444444444444
BEARISH,neg100,London,11,45,24.444444444444443
BEARISH,neg100,NY,14,45,31.11111111111111
BEARISH,neg168,Asian,12,34,35.294117647058826
BEARISH,neg168,London,8,34,23.52941176470588
BEARISH,neg168,NY,14,34,41.17647058823529
BEARISH,132_inv,Asian,22,57,38.59649122807017
BEARISH,132_inv,London,10,57,17.543859649122805
BEARISH,132_inv,NY,25,57,43.859649122807014
