week_start,bias,fib_level,target_price,hit_found,day_hit,hour_hit,asian_range
2021-10-29,BULLISH,neg25,4519.04,True,1.0,0.0,250.0
2021-10-29,BULLISH,neg50,4581.54,True,2.0,0.0,250.0
2021-10-29,BULLISH,neg100,4706.54,False,,,250.0
2021-10-29,BULLISH,neg168,4876.54,False,,,250.0
2021-10-29,BULLISH,132_inv,4126.54,False,,,250.0
2021-11-05,BULLISH,neg25,4601.165,True,6.0,0.0,127.30000000000018
2021-11-05,BULLISH,neg50,4632.99,True,6.0,0.0,127.30000000000018
2021-11-05,BULLISH,neg100,4696.64,True,0.0,0.0,127.30000000000018
2021-11-05,BULLISH,neg168,4783.204000000001,True,0.0,0.0,127.30000000000018
2021-11-05,BULLISH,132_inv,4401.304,True,5.0,0.0,127.30000000000018
2021-11-12,BEARISH,neg25,4430.5650000000005,True,1.0,0.0,299.09999999999945
2021-11-12,BEARISH,neg50,4355.790000000001,True,1.0,0.0,299.09999999999945
2021-11-12,BEARISH,neg100,4206.240000000001,True,1.0,0.0,299.09999999999945
2021-11-12,BEARISH,neg168,4002.852000000001,True,3.0,0.0,299.09999999999945
2021-11-12,BEARISH,132_inv,4900.151999999999,False,,,299.09999999999945
2021-11-19,BULLISH,neg25,4396.5650000000005,True,5.0,0.0,353.7000000000003
2021-11-19,BULLISH,neg50,4484.990000000001,True,3.0,0.0,353.7000000000003
2021-11-19,BULLISH,neg100,4661.84,False,,,353.7000000000003
2021-11-19,BULLISH,neg168,4902.356000000001,False,,,353.7000000000003
2021-11-19,BULLISH,132_inv,3841.256,False,,,353.7000000000003
2021-11-26,BEARISH,neg25,3750.5150000000003,False,,,639.3000000000002
2021-11-26,BEARISH,neg50,3590.69,False,,,639.3000000000002
2021-11-26,BEARISH,neg100,3271.04,False,,,639.3000000000002
2021-11-26,BEARISH,neg168,2836.316,False,,,639.3000000000002
2021-11-26,BEARISH,132_inv,4754.216,True,2.0,0.0,639.3000000000002
2021-12-03,BULLISH,neg25,4808.74,False,,,620.0
2021-12-03,BULLISH,neg50,4963.74,False,,,620.0
2021-12-03,BULLISH,neg100,5273.74,False,,,620.0
2021-12-03,BULLISH,neg168,5695.34,False,,,620.0
2021-12-03,BULLISH,132_inv,3835.3399999999997,True,5.0,0.0,620.0
2021-12-10,BEARISH,neg25,3852.29,True,5.0,0.0,299.0
2021-12-10,BEARISH,neg50,3777.54,True,0.0,0.0,299.0
2021-12-10,BEARISH,neg100,3628.04,False,,,299.0
2021-12-10,BEARISH,neg168,3424.72,False,,,299.0
2021-12-10,BEARISH,132_inv,4321.72,False,,,299.0
2021-12-17,BEARISH,neg25,3612.365,False,,,325.0999999999999
2021-12-17,BEARISH,neg50,3531.09,False,,,325.0999999999999
2021-12-17,BEARISH,neg100,3368.54,False,,,325.0999999999999
2021-12-17,BEARISH,neg168,3147.472,False,,,325.0999999999999
2021-12-17,BEARISH,132_inv,4122.772,True,3.0,0.0,325.0999999999999
2021-12-24,BEARISH,neg25,4013.665,True,6.0,0.0,96.69999999999982
2021-12-24,BEARISH,neg50,3989.4900000000002,True,1.0,0.0,96.69999999999982
2021-12-24,BEARISH,neg100,3941.1400000000003,True,1.0,0.0,96.69999999999982
2021-12-24,BEARISH,neg168,3875.3840000000005,True,1.0,0.0,96.69999999999982
2021-12-24,BEARISH,132_inv,4165.4839999999995,False,,,96.69999999999982
2021-12-31,BULLISH,neg25,3858.94,True,1.0,0.0,194.4000000000001
2021-12-31,BULLISH,neg50,3907.54,False,,,194.4000000000001
2021-12-31,BULLISH,neg100,4004.7400000000002,False,,,194.4000000000001
2021-12-31,BULLISH,neg168,4136.932000000001,False,,,194.4000000000001
2021-12-31,BULLISH,132_inv,3553.732,True,2.0,0.0,194.4000000000001
2022-01-07,BEARISH,neg25,2963.9525,True,0.0,0.0,372.9100000000003
2022-01-07,BEARISH,neg50,2870.7249999999995,False,,,372.9100000000003
2022-01-07,BEARISH,neg100,2684.2699999999995,False,,,372.9100000000003
2022-01-07,BEARISH,neg168,2430.6911999999993,False,,,372.9100000000003
2022-01-07,BEARISH,132_inv,3549.4212,False,,,372.9100000000003
2022-01-14,BULLISH,neg25,3379.24,True,6.0,0.0,154.7199999999998
2022-01-14,BULLISH,neg50,3417.92,False,,,154.7199999999998
2022-01-14,BULLISH,neg100,3495.2799999999997,False,,,154.7199999999998
2022-01-14,BULLISH,neg168,3600.4895999999994,False,,,154.7199999999998
2022-01-14,BULLISH,132_inv,3136.3296,True,1.0,0.0,154.7199999999998
2022-01-21,BEARISH,neg25,2419.135,True,5.0,0.0,541.1399999999999
2022-01-21,BEARISH,neg50,2283.8500000000004,True,0.0,0.0,541.1399999999999
2022-01-21,BEARISH,neg100,2013.2800000000002,False,,,541.1399999999999
2022-01-21,BEARISH,neg168,1645.3048000000003,False,,,541.1399999999999
2022-01-21,BEARISH,132_inv,3268.7248,False,,,541.1399999999999
2022-01-28,BULLISH,neg25,2602.17,True,5.0,0.0,222.76000000000022
2022-01-28,BULLISH,neg50,2657.86,True,0.0,0.0,222.76000000000022
2022-01-28,BULLISH,neg100,2769.2400000000002,True,1.0,0.0,222.76000000000022
