week_start,asian_open,asian_close,asian_high,asian_low,asian_range,bias,fib_neg25,fib_neg50,fib_neg100,fib_neg168,fib_132_inv
2021-10-29,4220.24,4321.02,4456.54,4206.54,250.0,BULLISH,4519.04,4581.54,4706.54,4876.54,4126.54
2021-11-05,4513.14,4537.96,4569.34,4442.04,127.30000000000018,BULLISH,4601.165,4632.99,4696.64,4783.204000000001,4401.304
2021-11-12,4729.64,4715.54,4804.44,4505.34,299.09999999999945,BEARISH,4430.5650000000005,4355.790000000001,4206.240000000001,4002.852000000001,4900.151999999999
2021-11-19,4002.34,4057.74,4308.14,3954.44,353.7000000000003,BULLISH,4396.5650000000005,4484.990000000001,4661.84,4902.356000000001,3841.256
2021-11-26,4496.34,4414.54,4549.64,3910.34,639.3000000000002,BEARISH,3750.5150000000003,3590.69,3271.04,2836.316,4754.216
2021-12-03,4527.84,4578.74,4653.74,4033.74,620.0,BULLISH,4808.74,4963.74,5273.74,5695.34,3835.3399999999997
2021-12-10,4190.64,4063.94,4226.04,3927.04,299.0,BEARISH,3852.29,3777.54,3628.04,3424.72,4321.72
2021-12-17,4008.64,3954.14,4018.74,3693.64,325.0999999999999,BEARISH,3612.365,3531.09,3368.54,3147.472,4122.772
2021-12-24,4107.54,4086.24,4134.54,4037.84,96.69999999999982,BEARISH,4013.665,3989.4900000000002,3941.1400000000003,3875.3840000000005,4165.4839999999995
2021-12-31,3729.84,3735.24,3810.34,3615.94,194.4000000000001,BULLISH,3858.94,3907.54,4004.7400000000002,4136.932000000001,3553.732
2022-01-07,3422.59,3229.39,3430.09,3057.18,372.9100000000003,BEARISH,2963.9525,2870.7249999999995,2684.2699999999995,2430.6911999999993,3549.4212
2022-01-14,3266.18,3302.88,3340.56,3185.84,154.7199999999998,BULLISH,3379.24,3417.92,3495.2799999999997,3600.4895999999994,3136.3296
2022-01-21,3088.68,2855.26,3095.56,2554.42,541.1399999999999,BEARISH,2419.135,2283.8500000000004,2013.2800000000002,1645.3048000000003,3268.7248
2022-01-28,2344.58,2445.2,2546.48,2323.72,222.76000000000022,BULLISH,2602.17,2657.86,2769.2400000000002,2920.7168,2252.4368
2022-02-04,2650.52,2766.42,2974.57,2639.57,335.0,BULLISH,3058.32,3142.07,3309.57,3537.37,2532.3700000000003
2022-02-11,3104.81,3044.45,3133.6,2903.43,230.17000000000007,BEARISH,2845.8875,2788.345,2673.2599999999998,2516.7443999999996,3207.2544
2022-02-18,2884.51,2894.31,2939.24,2748.42,190.8199999999997,BULLISH,2986.9449999999997,3034.6499999999996,3130.0599999999995,3259.8175999999994,2687.3576000000003
2022-02-25,2615.9,2602.56,2742.39,2540.52,201.8699999999999,BEARISH,2490.0525,2439.585,2338.65,2201.3784,2806.9883999999997
2022-03-04,2824.03,2722.5,2846.09,2594.94,251.1500000000001,BEARISH,2532.1525,2469.365,2343.79,2173.008,2926.458
2022-03-11,2590.41,2560.64,2673.47,2517.92,155.54999999999973,BEARISH,2479.0325000000003,2440.1450000000004,2362.3700000000003,2256.5960000000005,2723.2459999999996
2022-03-18,2802.6,2797.85,2982.12,2757.42,224.69999999999982,BEARISH,2701.245,2645.07,2532.7200000000003,2379.9240000000004,3054.024
2022-03-25,3098.88,3122.72,3191.1,3072.94,118.15999999999985,BULLISH,3220.64,3250.18,3309.2599999999998,3389.6087999999995,3035.1288
2022-04-01,3294.1,3244.1,3479.41,3207.42,271.9899999999998,BEARISH,3139.4225,3071.425,2935.4300000000003,2750.4768000000004,3566.4467999999997
2022-04-08,3222.21,3254.22,3309.13,3193.17,115.96000000000004,BULLISH,3338.12,3367.11,3425.09,3503.9428000000003,3156.0628
2022-04-15,3009.09,3028.81,3059.42,2988.41,71.01000000000022,BULLISH,3077.1725,3094.925,3130.4300000000003,3178.7168000000006,2965.6868
2022-04-22,3000.86,3010.64,3029.45,2928.8,100.64999999999964,BULLISH,3054.6124999999997,3079.7749999999996,3130.0999999999995,3198.541999999999,2896.592
2022-04-29,2947.44,2916.42,2952.62,2773.42,179.19999999999982,BEARISH,2728.62,2683.82,2594.2200000000003,2472.3640000000005,3009.964
2022-05-06,2749.92,2742.94,2754.31,2627.42,126.88999999999987,BEARISH,2595.6975,2563.9750000000004,2500.53,2414.2448000000004,2794.9148
