week_start,model,bias,asian_range,hit_neg25,hit_neg50,hit_neg100,hit_neg168,hit_132_inv
2021-10-29,5_day,BULLISH,250.0,True,True,False,False,False
2021-10-29,7_day,BULLISH,250.0,True,True,False,False,False
2021-11-05,5_day,BULLISH,127.30000000000018,True,True,True,True,True
2021-11-05,7_day,BULLISH,127.30000000000018,True,True,True,True,True
2021-11-12,5_day,BEARISH,299.09999999999945,True,True,True,False,False
2021-11-12,7_day,BEARISH,299.09999999999945,True,True,True,True,False
2021-11-19,5_day,BULLISH,353.7000000000003,True,False,False,False,False
2021-11-19,7_day,BULLISH,353.7000000000003,True,True,False,False,False
2021-11-26,5_day,BEARISH,639.3000000000002,False,False,False,False,True
2021-11-26,7_day,BEARISH,639.3000000000002,False,False,False,False,True
2021-12-03,5_day,BULLISH,620.0,False,False,False,False,True
2021-12-03,7_day,BULLISH,620.0,False,False,False,False,True
2021-12-10,5_day,BEARISH,299.0,True,True,False,False,False
2021-12-10,7_day,BEARISH,299.0,True,True,False,False,False
2021-12-17,5_day,BEARISH,325.0999999999999,False,False,False,False,False
2021-12-17,7_day,BEARISH,325.0999999999999,False,False,False,False,True
2021-12-24,5_day,BEARISH,96.69999999999982,True,True,True,True,False
2021-12-24,7_day,BEARISH,96.69999999999982,True,True,True,True,False
2021-12-31,5_day,BULLISH,194.4000000000001,True,False,False,False,True
2021-12-31,7_day,BULLISH,194.4000000000001,True,False,False,False,True
2022-01-07,5_day,BEARISH,372.9100000000003,True,False,False,False,False
2022-01-07,7_day,BEARISH,372.9100000000003,True,False,False,False,False
2022-01-14,5_day,BULLISH,154.7199999999998,True,False,False,False,True
2022-01-14,7_day,BULLISH,154.7199999999998,True,False,False,False,True
2022-01-21,5_day,BEARISH,541.1399999999999,True,True,False,False,False
2022-01-21,7_day,BEARISH,541.1399999999999,True,True,False,False,False
2022-01-28,5_day,BULLISH,222.76000000000022,True,True,True,False,False
2022-01-28,7_day,BULLISH,222.76000000000022,True,True,True,False,False
2022-02-04,5_day,BULLISH,335.0,True,True,False,False,False
2022-02-04,7_day,BULLISH,335.0,True,True,False,False,False
2022-02-11,5_day,BEARISH,230.17000000000007,True,False,False,False,False
2022-02-11,7_day,BEARISH,230.17000000000007,True,False,False,False,False
2022-02-18,5_day,BULLISH,190.8199999999997,False,False,False,False,True
2022-02-18,7_day,BULLISH,190.8199999999997,False,False,False,False,True
2022-02-25,5_day,BEARISH,201.8699999999999,False,False,False,False,True
2022-02-25,7_day,BEARISH,201.8699999999999,False,False,False,False,True
2022-03-04,5_day,BEARISH,251.1500000000001,True,True,False,False,False
2022-03-04,7_day,BEARISH,251.1500000000001,True,True,False,False,False
2022-03-11,5_day,BEARISH,155.54999999999973,False,False,False,False,True
2022-03-11,7_day,BEARISH,155.54999999999973,False,False,False,False,True
2022-03-18,5_day,BEARISH,224.69999999999982,False,False,False,False,False
2022-03-18,7_day,BEARISH,224.69999999999982,False,False,False,False,True
2022-03-25,5_day,BULLISH,118.15999999999985,True,True,True,True,False
2022-03-25,7_day,BULLISH,118.15999999999985,True,True,True,True,False
2022-04-01,5_day,BEARISH,271.9899999999998,False,False,False,False,True
2022-04-01,7_day,BEARISH,271.9899999999998,True,False,False,False,True
2022-04-08,5_day,BULLISH,115.96000000000004,False,False,False,False,True
2022-04-08,7_day,BULLISH,115.96000000000004,False,False,False,False,True
2022-04-15,5_day,BULLISH,71.01000000000022,True,True,True,False,True
2022-04-15,7_day,BULLISH,71.01000000000022,True,True,True,False,True
2022-04-22,5_day,BULLISH,100.64999999999964,False,False,False,False,True
2022-04-22,7_day,BULLISH,100.64999999999964,False,False,False,False,True
2022-04-29,5_day,BEARISH,179.19999999999982,True,False,False,False,False
2022-04-29,7_day,BEARISH,179.19999999999982,True,True,False,False,False
2022-05-06,5_day,BEARISH,126.88999999999987,True,True,True,True,False
2022-05-06,7_day,BEARISH,126.88999999999987,True,True,True,True,False
2022-05-13,5_day,BULLISH,279.59000000000015,False,False,False,False,False
2022-05-13,7_day,BULLISH,279.59000000000015,False,False,False,False,False
2022-05-20,5_day,BEARISH,141.1199999999999,True,False,False,False,False
2022-05-20,7_day,BEARISH,141.1199999999999,True,True,True,True,False
2022-05-27,5_day,BEARISH,170.08999999999992,False,False,False,False,True
2022-05-27,7_day,BEARISH,170.08999999999992,False,False,False,False,True
2022-06-03,5_day,BEARISH,119.0,True,True,False,False,True
2022-06-03,7_day,BEARISH,119.0,True,True,False,False,True
2022-06-10,5_day,BEARISH,149.99,True,True,True,True,False
2022-06-10,7_day,BEARISH,149.99,True,True,True,True,False
2022-06-17,5_day,BEARISH,119.28000000000009,True,True,True,False,True
2022-06-17,7_day,BEARISH,119.28000000000009,True,True,True,False,True
2022-06-24,5_day,BEARISH,172.53999999999996,False,False,False,False,False
2022-06-24,7_day,BEARISH,172.53999999999996,True,True,False,False,False
2022-07-01,5_day,BEARISH,152.3499999999999,False,False,False,False,True
2022-07-01,7_day,BEARISH,152.3499999999999,False,False,False,False,True
2022-07-08,5_day,BEARISH,101.94999999999982,True,True,True,True,False
2022-07-08,7_day,BEARISH,101.94999999999982,True,True,True,True,False
2022-07-15,5_day,BEARISH,159.05000000000018,False,False,False,False,True
2022-07-15,7_day,BEARISH,159.05000000000018,False,False,False,False,True
2022-07-22,5_day,BEARISH,143.2900000000002,True,True,True,False,False
2022-07-22,7_day,BEARISH,143.2900000000002,True,True,True,False,True
2022-07-29,5_day,BEARISH,124.86000000000013,True,True,True,False,False
2022-07-29,7_day,BEARISH,124.86000000000013,True,True,True,False,False
2022-08-05,5_day,BULLISH,195.92000000000007,True,True,False,False,False
2022-08-05,7_day,BULLISH,195.92000000000007,True,True,True,False,False
2022-08-12,5_day,BEARISH,130.26,True,False,False,False,True
2022-08-12,7_day,BEARISH,130.26,True,False,False,False,True
2022-08-19,5_day,BEARISH,205.44000000000005,True,True,False,False,False
2022-08-19,7_day,BEARISH,205.44000000000005,True,True,False,False,False
2022-09-02,5_day,BEARISH,112.58000000000015,True,True,False,False,True
2022-09-02,7_day,BEARISH,112.58000000000015,True,True,False,False,True
2022-09-09,5_day,BULLISH,151.26,True,False,False,False,True
2022-09-09,7_day,BULLISH,151.26,True,False,False,False,True
2022-09-16,5_day,BEARISH,98.74000000000001,True,True,True,False,False
2022-09-16,7_day,BEARISH,98.74000000000001,True,True,True,True,False
2022-09-23,5_day,BEARISH,98.26999999999998,True,False,False,False,False
2022-09-23,7_day,BEARISH,98.26999999999998,True,False,False,False,False
2022-09-30,5_day,BEARISH,33.3599999999999,True,True,True,True,True
2022-09-30,7_day,BEARISH,33.3599999999999,True,True,True,True,True
2022-10-07,5_day,BEARISH,19.34999999999991,True,True,True,True,False
2022-10-07,7_day,BEARISH,19.34999999999991,True,True,True,True,False
2022-10-14,5_day,BULLISH,59.76999999999998,False,False,False,False,True
2022-10-14,7_day,BULLISH,59.76999999999998,False,False,False,False,True
2022-10-21,5_day,BULLISH,14.529999999999973,True,True,True,True,True
2022-10-21,7_day,BULLISH,14.529999999999973,True,True,True,True,True
2022-10-28,5_day,BEARISH,32.679999999999836,True,True,False,False,True
2022-10-28,7_day,BEARISH,32.679999999999836,True,True,False,False,True
2022-11-04,5_day,BULLISH,28.220000000000027,True,True,True,True,True
2022-11-04,7_day,BULLISH,28.220000000000027,True,True,True,True,True
2022-11-11,5_day,BEARISH,123.86000000000013,True,False,False,False,False
2022-11-11,7_day,BEARISH,123.86000000000013,True,False,False,False,False
2022-11-18,5_day,BULLISH,39.419999999999845,False,False,False,False,True
2022-11-18,7_day,BULLISH,39.419999999999845,False,False,False,False,True
2022-11-25,5_day,BEARISH,34.82999999999993,True,True,False,False,True
2022-11-25,7_day,BEARISH,34.82999999999993,True,True,False,False,True
2022-12-02,5_day,BEARISH,19.960000000000036,True,True,True,True,True
2022-12-02,7_day,BEARISH,19.960000000000036,True,True,True,True,True
2022-12-09,5_day,BULLISH,16.980000000000018,True,True,True,True,True
2022-12-09,7_day,BULLISH,16.980000000000018,True,True,True,True,True
2022-12-16,5_day,BULLISH,14.490000000000009,True,False,False,False,True
2022-12-16,7_day,BULLISH,14.490000000000009,True,False,False,False,True
2022-12-23,5_day,BULLISH,17.00999999999999,True,True,True,False,True
2022-12-23,7_day,BULLISH,17.00999999999999,True,True,True,False,True
2022-12-30,5_day,BEARISH,13.200000000000045,True,True,False,False,True
2022-12-30,7_day,BEARISH,13.200000000000045,True,True,False,False,True
2023-01-06,5_day,BEARISH,11.579999999999927,True,True,False,False,True
2023-01-06,7_day,BEARISH,11.579999999999927,True,True,False,False,True
2023-01-13,5_day,BEARISH,26.340000000000146,False,False,False,False,True
2023-01-13,7_day,BEARISH,26.340000000000146,False,False,False,False,True
2023-01-20,5_day,BULLISH,21.410000000000082,True,True,True,True,True
2023-01-20,7_day,BULLISH,21.410000000000082,True,True,True,True,True
2023-01-27,5_day,BEARISH,58.51999999999998,True,False,False,False,True
2023-01-27,7_day,BEARISH,58.51999999999998,True,False,False,False,True
2023-02-03,5_day,BULLISH,37.38999999999987,True,True,False,False,True
2023-02-03,7_day,BULLISH,37.38999999999987,True,True,False,False,True
2023-02-10,5_day,BULLISH,26.680000000000064,True,True,True,True,True
2023-02-10,7_day,BULLISH,26.680000000000064,True,True,True,True,True
2023-02-17,5_day,BEARISH,54.19999999999982,True,True,False,False,True
2023-02-17,7_day,BEARISH,54.19999999999982,True,True,False,False,True
2023-02-24,5_day,BULLISH,26.169999999999845,False,False,False,False,True
2023-02-24,7_day,BULLISH,26.169999999999845,True,True,False,False,True
2023-03-03,5_day,BEARISH,122.63000000000011,False,False,False,False,False
2023-03-03,7_day,BEARISH,122.63000000000011,True,True,True,False,False
2023-03-10,5_day,BEARISH,38.83999999999992,True,True,True,False,True
2023-03-10,7_day,BEARISH,38.83999999999992,True,True,True,False,True
2023-03-17,5_day,BULLISH,70.89999999999986,True,True,True,True,False
2023-03-17,7_day,BULLISH,70.89999999999986,True,True,True,True,False
2023-03-24,5_day,BEARISH,18.25,True,True,True,True,True
2023-03-24,7_day,BEARISH,18.25,True,True,True,True,True
2023-03-31,5_day,BULLISH,36.05000000000018,True,True,True,True,True
