week_start,bias,fib_level,target_price,hit_found,day_hit,hour_hit,asian_range,day_name,session
2021-11-05,BULLISH,132_inv,4401.304,True,5.0,0.0,127.30000000000018,Saturday,Asian
2021-11-26,BEARISH,132_inv,4754.216,True,2.0,0.0,639.3000000000002,Wednesday,Asian
2021-12-03,BULLISH,132_inv,3835.3399999999997,True,5.0,0.0,620.0,Saturday,Asian
2021-12-17,BEARISH,132_inv,4122.772,True,3.0,0.0,325.0999999999999,Thursday,Asian
2021-12-31,BULLISH,132_inv,3553.732,True,2.0,0.0,194.4000000000001,Wednesday,Asian
2022-01-14,BULLISH,132_inv,3136.3296,True,1.0,0.0,154.7199999999998,Tuesday,Asian
2022-02-18,BULLISH,132_inv,2687.3576000000003,True,6.0,0.0,190.8199999999997,Sunday,Asian
2022-02-25,BEARISH,132_inv,2806.9883999999997,True,5.0,0.0,201.8699999999999,Saturday,Asian
2022-03-11,BEARISH,132_inv,2723.2459999999996,True,2.0,0.0,155.54999999999973,Wednesday,Asian
2022-03-18,BEARISH,132_inv,3054.024,True,3.0,0.0,224.69999999999982,Thursday,Asian
2022-04-01,BEARISH,132_inv,3566.4467999999997,True,0.0,0.0,271.9899999999998,Monday,Asian
2022-04-08,BULLISH,132_inv,3156.0628,True,0.0,0.0,115.96000000000004,Monday,Asian
2022-04-15,BULLISH,132_inv,2965.6868,True,0.0,0.0,71.01000000000022,Monday,Asian
2022-04-22,BULLISH,132_inv,2896.592,True,0.0,0.0,100.64999999999964,Monday,Asian
2022-05-27,BEARISH,132_inv,1898.4987999999998,True,0.0,0.0,170.08999999999992,Monday,Asian
2022-06-03,BEARISH,132_inv,1887.51,True,0.0,0.0,119.0,Monday,Asian
2022-06-17,BEARISH,132_inv,1154.5696,True,6.0,0.0,119.28000000000009,Sunday,Asian
2022-07-01,BEARISH,132_inv,1161.812,True,1.0,0.0,152.3499999999999,Tuesday,Asian
2022-07-15,BEARISH,132_inv,1337.316,True,5.0,0.0,159.05000000000018,Saturday,Asian
2022-07-22,BEARISH,132_inv,1689.2628000000002,True,3.0,0.0,143.2900000000002,Thursday,Asian
2022-08-12,BEARISH,132_inv,1975.4232,True,5.0,0.0,130.26,Saturday,Asian
2022-09-02,BEARISH,132_inv,1682.7156,True,1.0,0.0,112.58000000000015,Tuesday,Asian
2022-09-09,BULLISH,132_inv,1544.0368,True,1.0,17.0,151.26,Tuesday,NY
2022-09-30,BEARISH,132_inv,1330.4751999999999,True,4.0,17.0,33.3599999999999,Friday,NY
2022-10-14,BULLISH,132_inv,1231.0536,True,6.0,2.0,59.76999999999998,Sunday,Asian
2022-10-21,BULLISH,132_inv,1240.1904,True,4.0,12.0,14.529999999999973,Friday,London
2022-10-28,BEARISH,132_inv,1506.5775999999998,True,4.0,16.0,32.679999999999836,Friday,NY
2022-11-04,BULLISH,132_inv,1480.9196,True,1.0,6.0,28.220000000000027,Tuesday,Asian
2022-11-18,BULLISH,132_inv,1150.2756000000002,True,6.0,13.0,39.419999999999845,Sunday,London
2022-11-25,BEARISH,132_inv,1184.4056,True,5.0,3.0,34.82999999999993,Saturday,Asian
2022-12-02,BEARISH,132_inv,1258.2172,True,4.0,13.0,19.960000000000036,Friday,London
2022-12-09,BULLISH,132_inv,1234.5364,True,4.0,15.0,16.980000000000018,Friday,London
2022-12-16,BULLISH,132_inv,1221.5832,True,4.0,10.0,14.490000000000009,Friday,London
2022-12-23,BULLISH,132_inv,1174.4868000000001,True,6.0,16.0,17.00999999999999,Sunday,NY
2022-12-30,BEARISH,132_inv,1175.984,True,5.0,16.0,13.200000000000045,Saturday,NY
2023-01-06,BEARISH,132_inv,1229.0656,True,4.0,17.0,11.579999999999927,Friday,NY
2023-01-13,BEARISH,132_inv,1403.0788000000002,True,4.0,23.0,26.340000000000146,Friday,NY
2023-01-20,BULLISH,132_inv,1503.1688,True,2.0,0.0,21.410000000000082,Wednesday,Asian
2023-01-27,BEARISH,132_inv,1595.7864,True,6.0,20.0,58.51999999999998,Sunday,NY
2023-02-03,BULLISH,132_inv,1580.4752,True,6.0,20.0,37.38999999999987,Sunday,NY
2023-02-10,BULLISH,132_inv,1486.2124,True,4.0,17.0,26.680000000000064,Friday,NY
2023-02-17,BEARISH,132_inv,1670.444,True,4.0,19.0,54.19999999999982,Friday,NY
2023-02-24,BULLISH,132_inv,1597.0656000000001,True,4.0,16.0,26.169999999999845,Friday,NY
2023-03-10,BEARISH,132_inv,1427.4687999999999,True,5.0,3.0,38.83999999999992,Saturday,Asian
2023-03-24,BEARISH,132_inv,1794.02,True,2.0,11.0,18.25,Wednesday,London
