Model,Total_Weeks,Hit_Rate_25,Hit_Rate_50,Hit_Rate_100,Hit_Rate_168,Violation_Rate_132
5-Day (Friday Close),216,83.79629629629629,77.77777777777779,65.74074074074075,54.629629629629626,82.4074074074074
7-Day (Sunday Close),216,84.72222222222221,81.94444444444444,71.75925925925925,58.333333333333336,83.79629629629629
