rank_band,horizon,n,pct_rank_improving,median_rank_vel
1001-1500,3,82,0.3780487804878049,-16.5
1001-1500,7,82,0.4024390243902439,-14.5
1001-1500,14,82,0.4878048780487805,-5.5
1001-1500,30,82,0.5487804878048781,7.0
101-250,3,566,0.43109540636042404,0.0
101-250,7,566,0.4664310954063604,0.0
101-250,14,566,0.5212014134275619,1.0
101-250,30,566,0.568904593639576,3.0
1501-2000,3,30,0.4,-4.0
1501-2000,7,30,0.4,-2.0
1501-2000,14,30,0.3333333333333333,-9.0
1501-2000,30,30,0.3333333333333333,-41.5
251-500,3,537,0.5418994413407822,2.0
251-500,7,537,0.5679702048417132,4.0
251-500,14,537,0.5847299813780261,8.0
251-500,30,537,0.5810055865921788,13.0
26-100,3,382,0.43455497382198954,0.0
26-100,7,382,0.5052356020942408,1.0
26-100,14,382,0.5602094240837696,2.0
26-100,30,382,0.5732984293193717,2.0
501-750,3,465,0.5053763440860215,2.0
501-750,7,465,0.535483870967742,4.5
501-750,14,465,0.5591397849462365,9.5
501-750,30,465,0.6043010752688172,22.5
751-1000,3,400,0.505,1.0
751-1000,7,400,0.5775,6.0
751-1000,14,400,0.545,11.0
751-1000,30,400,0.565,22.0
