rank_band,horizon,n,median_asset_return,pct_reversal,pct_1s_recovery,median_rank_vel
1001-1500,1,82,-0.01095422264188528,0.573170731707317,0.10975609756097561,-4.0
1001-1500,2,82,-0.009244086919352412,0.5853658536585366,0.10975609756097561,
1001-1500,3,82,-0.017994803376495838,0.5853658536585366,0.14634146341463414,-16.5
1001-1500,5,82,-0.02618222963064909,0.5853658536585366,0.13414634146341464,
1001-1500,7,82,-0.008225147146731615,0.5487804878048781,0.14634146341463414,-14.5
1001-1500,10,82,-0.00037274841452017426,0.5,0.13414634146341464,
1001-1500,14,82,-0.002833853126503527,0.5121951219512195,0.10975609756097561,-5.5
1001-1500,21,82,0.0025144333485513926,0.4878048780487805,0.12195121951219512,
1001-1500,30,82,0.07803209871053696,0.4146341463414634,0.07317073170731707,7.0
101-250,1,566,-0.000909023336134851,0.5671378091872792,0.16431095406360424,0.0
101-250,2,566,-0.0009206627437379211,0.5671378091872792,0.15724381625441697,
101-250,3,566,-0.0006300091918092221,0.5530035335689046,0.1607773851590106,0.0
101-250,5,566,-0.00019955745665356517,0.5212014134275619,0.16431095406360424,
101-250,7,566,-1.834883545370758e-05,0.5,0.17314487632508835,0.0
101-250,10,566,-0.00034669481101445854,0.5176678445229682,0.17667844522968199,
101-250,14,566,-0.0,0.49469964664310956,0.16784452296819788,1.0
101-250,21,566,0.000943132909014821,0.46819787985865724,0.17137809187279152,
101-250,30,566,0.0015178063185885549,0.4575971731448763,0.16607773851590105,3.0
1501-2000,1,30,-0.06459329277276993,0.7333333333333333,0.13333333333333333,-17.0
1501-2000,2,30,-0.06239372864365578,0.6666666666666666,0.1,
1501-2000,3,30,-0.06401525437831879,0.7,0.13333333333333333,-4.0
1501-2000,5,30,-0.10884547233581543,0.6666666666666666,0.1,
1501-2000,7,30,-0.04776651784777641,0.6,0.06666666666666667,-2.0
1501-2000,10,30,-0.0771131869405508,0.5666666666666667,0.03333333333333333,
1501-2000,14,30,-0.11183033138513565,0.4666666666666667,0.03333333333333333,-9.0
1501-2000,21,30,-0.15004685148596764,0.5666666666666667,0.06666666666666667,
1501-2000,30,30,-0.1664629876613617,0.6,0.0,-41.5
251-500,1,537,-7.839496902306564e-05,0.5083798882681564,0.186219739292365,1.0
251-500,2,537,-0.00014413995086215436,0.5083798882681564,0.1787709497206704,
251-500,3,537,0.0002848806616384536,0.48417132216014896,0.2011173184357542,2.0
251-500,5,537,0.00039297042530961335,0.478584729981378,0.2048417132216015,
251-500,7,537,0.002950053894892335,0.45996275605214154,0.19925512104283055,4.0
251-500,10,537,0.005682286340743303,0.4618249534450652,0.19180633147113593,
251-500,14,537,0.013742721639573574,0.41527001862197394,0.2048417132216015,8.0
251-500,21,537,0.0287273358553648,0.41154562383612664,0.22532588454376165,
251-500,30,537,0.045665960758924484,0.39664804469273746,0.2011173184357542,13.0
26-100,1,382,-0.00026723844348452985,0.5392670157068062,0.20157068062827224,0.0
26-100,2,382,-0.00030213582795113325,0.5497382198952879,0.17801047120418848,
26-100,3,382,-0.0002166132617276162,0.5209424083769634,0.2094240837696335,0.0
26-100,5,382,-0.00022389426885638386,0.5287958115183246,0.17801047120418848,
26-100,7,382,3.4053493436658755e-05,0.49214659685863876,0.193717277486911,1.0
26-100,10,382,3.289573442089022e-06,0.49476439790575916,0.17015706806282724,
26-100,14,382,-0.00010003001079894602,0.49476439790575916,0.17539267015706805,2.0
26-100,21,382,7.842032209737226e-05,0.47643979057591623,0.17015706806282724,
26-100,30,382,-4.18062336393632e-05,0.4869109947643979,0.1649214659685864,2.0
501-750,1,465,-0.0009090403327718377,0.5333333333333333,0.17204301075268819,0.0
501-750,2,465,-0.0022084012161940336,0.5526881720430108,0.1978494623655914,
501-750,3,465,-0.0021371246548369527,0.5311827956989247,0.1827956989247312,2.0
501-750,5,465,-0.0,0.4967741935483871,0.17849462365591398,
501-750,7,465,-0.0006173721340019256,0.5053763440860215,0.1827956989247312,4.5
501-750,10,465,-0.0005386333796195686,0.5032258064516129,0.1913978494623656,
501-750,14,465,0.0009946747159119695,0.4838709677419355,0.1956989247311828,9.5
501-750,21,465,0.007003569509834051,0.4645161290322581,0.1956989247311828,
501-750,30,465,0.021340408362448215,0.4172043010752688,0.17634408602150536,22.5
751-1000,1,400,-0.002504458767361939,0.5375,0.155,-1.0
751-1000,2,400,-0.00829058513045311,0.5675,0.1475,
751-1000,3,400,-0.0009397545363754034,0.515,0.1875,1.0
751-1000,5,400,-0.0004576483916025609,0.4975,0.17,
751-1000,7,400,-0.0003921508905477822,0.505,0.155,6.0
751-1000,10,400,-2.0559366021188907e-05,0.495,0.14,
751-1000,14,400,0.008834875654429197,0.4425,0.1425,11.0
751-1000,21,400,0.005175724159926176,0.4575,0.16,
751-1000,30,400,0.013753070496022701,0.45,0.17,22.0
