rank_band,outcome,value,n,status
1001-1500,1s_recovery_7d,0.146,82,COMPUTED
1001-1500,full_recovery_30d,0.073,82,COMPUTED
1001-1500,reversal_7d,0.549,82,COMPUTED
1001-1500,rank_recovery_30d,7.0,82,COMPUTED
1001-1500,new_low_30d,0.415,82,COMPUTED
101-250,1s_recovery_7d,0.173,566,COMPUTED
101-250,full_recovery_30d,0.166,566,COMPUTED
101-250,reversal_7d,0.5,566,COMPUTED
101-250,rank_recovery_30d,3.0,566,COMPUTED
101-250,new_low_30d,0.458,566,COMPUTED
1501-2000,1s_recovery_7d,0.067,30,COMPUTED
1501-2000,full_recovery_30d,0.0,30,COMPUTED
1501-2000,reversal_7d,0.6,30,COMPUTED
1501-2000,rank_recovery_30d,-41.5,30,COMPUTED
1501-2000,new_low_30d,0.6,30,COMPUTED
251-500,1s_recovery_7d,0.199,537,COMPUTED
251-500,full_recovery_30d,0.201,537,COMPUTED
251-500,reversal_7d,0.46,537,COMPUTED
251-500,rank_recovery_30d,13.0,537,COMPUTED
251-500,new_low_30d,0.397,537,COMPUTED
26-100,1s_recovery_7d,0.194,382,COMPUTED
26-100,full_recovery_30d,0.165,382,COMPUTED
26-100,reversal_7d,0.492,382,COMPUTED
26-100,rank_recovery_30d,2.0,382,COMPUTED
26-100,new_low_30d,0.487,382,COMPUTED
501-750,1s_recovery_7d,0.183,465,COMPUTED
501-750,full_recovery_30d,0.176,465,COMPUTED
501-750,reversal_7d,0.505,465,COMPUTED
501-750,rank_recovery_30d,22.5,465,COMPUTED
501-750,new_low_30d,0.417,465,COMPUTED
751-1000,1s_recovery_7d,0.155,400,COMPUTED
751-1000,full_recovery_30d,0.17,400,COMPUTED
751-1000,reversal_7d,0.505,400,COMPUTED
751-1000,rank_recovery_30d,22.0,400,COMPUTED
751-1000,new_low_30d,0.45,400,COMPUTED
