rank_band,liquidity_bucket,n,pct_1s_recovery_7d,pct_reversal_7d,pct_full_recovery_30d,median_turnover,status
1001-1500,MED,25,0.08,0.64,0.04,0.019240083172917366,COMPUTED
1001-1500,LOW,26,0.15384615384615385,0.6538461538461539,0.0,0.0006086562643758953,COMPUTED
1001-1500,nan,0,,,,,COMPUTED
1001-1500,HIGH,26,0.19230769230769232,0.38461538461538464,0.19230769230769232,0.18213772773742676,COMPUTED
101-250,HIGH,186,0.23118279569892472,0.44623655913978494,0.15591397849462366,0.2290269285440445,COMPUTED
101-250,MED,185,0.15675675675675677,0.4918918918918919,0.1837837837837838,0.030886448919773102,COMPUTED
101-250,LOW,186,0.13440860215053763,0.5645161290322581,0.16129032258064516,0.0016385039780288935,COMPUTED
101-250,nan,0,,,,,COMPUTED
1501-2000,LOW,10,0.0,0.8,0.0,0.00018412063946016133,COMPUTED
1501-2000,HIGH,10,0.1,0.5,0.0,0.20004814863204956,COMPUTED
1501-2000,MED,9,0.1111111111111111,0.4444444444444444,0.0,0.007127986755222082,COMPUTED
1501-2000,nan,0,,,,,COMPUTED
251-500,LOW,172,0.19186046511627908,0.5348837209302325,0.22093023255813954,0.0013641342520713806,COMPUTED
251-500,MED,171,0.23976608187134502,0.4093567251461988,0.21637426900584794,0.017325732856988907,COMPUTED
251-500,HIGH,172,0.19186046511627908,0.3953488372093023,0.18604651162790697,0.23345187306404114,COMPUTED
251-500,nan,0,,,,,COMPUTED
26-100,HIGH,128,0.2109375,0.4765625,0.171875,0.23129786550998688,COMPUTED
26-100,MED,127,0.2047244094488189,0.4881889763779528,0.1889763779527559,0.05485352501273155,COMPUTED
26-100,LOW,127,0.16535433070866143,0.5118110236220472,0.13385826771653545,0.00726930471137166,COMPUTED
501-750,LOW,150,0.13333333333333333,0.66,0.14666666666666667,0.001038511749356985,COMPUTED
501-750,MED,149,0.16778523489932887,0.4899328859060403,0.174496644295302,0.028612710535526276,COMPUTED
501-750,HIGH,150,0.24666666666666667,0.36666666666666664,0.22666666666666666,0.3164520561695099,COMPUTED
501-750,nan,0,,,,,COMPUTED
751-1000,LOW,128,0.0859375,0.65625,0.078125,0.0016666390001773834,COMPUTED
751-1000,nan,0,,,,,COMPUTED
751-1000,MED,128,0.1640625,0.5,0.2265625,0.030728068202733994,COMPUTED
751-1000,HIGH,129,0.2248062015503876,0.3333333333333333,0.2248062015503876,0.29365482926368713,COMPUTED
