rank_band,horizon,cross_state,n,median_return,median_rank_vel,pct_of_band
26-100,3,PRICE_DOWN_RANK_DOWN,195,-0.0034698485396802425,-2.0,0.5104712041884817
26-100,3,PRICE_DOWN_RANK_UP,107,-0.00035966603900305927,2.0,0.2801047120418848
26-100,3,PRICE_UP_RANK_DOWN,21,0.0676560252904892,-1.0,0.0549738219895288
26-100,3,PRICE_UP_RANK_UP,59,0.13403251767158508,4.0,0.1544502617801047
26-100,7,PRICE_DOWN_RANK_DOWN,174,-0.006467525381594896,-2.0,0.45549738219895286
26-100,7,PRICE_DOWN_RANK_UP,134,7.808745431248099e-05,3.0,0.3507853403141361
26-100,7,PRICE_UP_RANK_DOWN,15,0.025258462876081467,-2.0,0.03926701570680628
26-100,7,PRICE_UP_RANK_UP,59,0.23457829654216766,7.0,0.1544502617801047
26-100,14,PRICE_DOWN_RANK_DOWN,157,-0.007484463043510914,-4.0,0.4109947643979058
26-100,14,PRICE_DOWN_RANK_UP,158,-0.00028386784833855927,4.0,0.41361256544502617
26-100,14,PRICE_UP_RANK_DOWN,11,0.1097133681178093,-3.0,0.028795811518324606
26-100,14,PRICE_UP_RANK_UP,56,0.2615414410829544,10.0,0.14659685863874344
26-100,30,PRICE_DOWN_RANK_DOWN,155,-0.002497449517250061,-5.5,0.40575916230366493
26-100,30,PRICE_DOWN_RANK_UP,164,-0.0003472368262009695,7.0,0.4293193717277487
26-100,30,PRICE_UP_RANK_DOWN,8,0.24382171779870987,-3.0,0.020942408376963352
26-100,30,PRICE_UP_RANK_UP,55,0.3991595506668091,18.0,0.14397905759162305
501-750,3,PRICE_DOWN_RANK_DOWN,223,-0.0710369199514389,-22.5,0.47956989247311826
501-750,3,PRICE_DOWN_RANK_UP,157,0.007070554886013269,17.0,0.33763440860215055
501-750,3,PRICE_UP_RANK_DOWN,7,0.11019866913557053,-20.0,0.015053763440860216
501-750,3,PRICE_UP_RANK_UP,78,0.17078188061714172,48.0,0.16774193548387098
501-750,7,PRICE_DOWN_RANK_DOWN,208,-0.09104643017053604,-28.0,0.44731182795698926
501-750,7,PRICE_DOWN_RANK_UP,172,0.02470642887055874,26.0,0.36989247311827955
501-750,7,PRICE_UP_RANK_DOWN,8,0.10515660420060158,-38.5,0.017204301075268817
501-750,7,PRICE_UP_RANK_UP,77,0.24293969571590424,74.0,0.16559139784946236
501-750,14,PRICE_DOWN_RANK_DOWN,195,-0.13079869747161865,-44.5,0.41935483870967744
501-750,14,PRICE_DOWN_RANK_UP,179,0.019580744206905365,35.0,0.3849462365591398
501-750,14,PRICE_UP_RANK_DOWN,10,0.07146582379937172,-13.0,0.021505376344086023
501-750,14,PRICE_UP_RANK_UP,81,0.3536011278629303,136.0,0.17419354838709677
501-750,30,PRICE_DOWN_RANK_DOWN,176,-0.1535898894071579,-50.0,0.37849462365591396
501-750,30,PRICE_DOWN_RANK_UP,207,0.06297165900468826,55.0,0.44516129032258067
501-750,30,PRICE_UP_RANK_DOWN,8,0.1211798507720232,-18.5,0.017204301075268817
501-750,30,PRICE_UP_RANK_UP,74,0.4388876259326935,131.5,0.15913978494623657
751-1000,3,PRICE_DOWN_RANK_DOWN,190,-0.07341770827770233,-24.0,0.475
751-1000,3,PRICE_DOWN_RANK_UP,135,0.011270048096776009,17.0,0.3375
751-1000,3,PRICE_UP_RANK_DOWN,8,0.11712708324193954,-20.5,0.02
751-1000,3,PRICE_UP_RANK_UP,67,0.17386604845523834,62.0,0.1675
751-1000,7,PRICE_DOWN_RANK_DOWN,164,-0.11603305488824844,-38.0,0.41
