sequence,n_total,n_early_1sigma,n_no_1sigma,pct_early_1sigma,status,n_price_recovery,n_still_decays,pct_still_decays,n_fast_norm,pct_fast_norm
PEER_DIVERGENCE -> TRUE_LONER -> EARLY_1SIGMA (RANK_50),1677,343.0,1339.0,0.205,COMPUTED,,,,,
PEER_DIVERGENCE -> TRUE_LONER -> EARLY_1SIGMA (BEHAVIORAL_10),1994,382.0,1624.0,0.192,COMPUTED,,,,,
PEER_DIVERGENCE -> TRUE_LONER -> EARLY_1SIGMA (CORR_60_10),0,0.0,0.0,0.0,LOW_N,,,,,
PEER_DIVERGENCE -> TRUE_LONER -> EARLY_1SIGMA (STATE),1856,374.0,1488.0,0.202,COMPUTED,,,,,
PEER_DIVERGENCE -> TRUE_LONER -> EARLY_1SIGMA (HYBRID_10),2005,408.0,1608.0,0.203,COMPUTED,,,,,
RANK_DECAY -> SHOCK -> PRICE_RECOVERY -> RANK_STILL_DECAYS,1361,,,,COMPUTED,254.0,33.0,0.13,,
HH -> TRUE_LONER -> FAST_NORMALIZATION,1212,,,,COMPUTED,,,,192.0,0.158
