peer_family,status,event_coverage,median_peer_count,membership_turnover,jaccard_persistence,pre_event_similarity,next_window_similarity,basket_correlation,peer_missing_rate
RANK_25,VALID,0.8372,50.0,NOT_ESTIMATED,NOT_ESTIMATED,0.0488,NOT_ESTIMATED,NOT_ESTIMATED,0.0038
RANK_50,VALID,0.8372,100.0,NOT_ESTIMATED,NOT_ESTIMATED,0.0532,NOT_ESTIMATED,NOT_ESTIMATED,0.0037
RANK_100,VALID,0.8372,200.0,NOT_ESTIMATED,NOT_ESTIMATED,0.0587,NOT_ESTIMATED,NOT_ESTIMATED,0.0038
BEHAVIORAL_10,VALID,0.8372,10.0,NOT_ESTIMATED,NOT_ESTIMATED,0.039,NOT_ESTIMATED,NOT_ESTIMATED,0.131
CORR_60_10,VALID,0.8191,10.0,NOT_ESTIMATED,NOT_ESTIMATED,,NOT_ESTIMATED,NOT_ESTIMATED,1.0
CORR_120_10,VALID,0.787,10.0,NOT_ESTIMATED,NOT_ESTIMATED,,NOT_ESTIMATED,NOT_ESTIMATED,1.0
STATE,VALID,0.7812,10.0,NOT_ESTIMATED,NOT_ESTIMATED,0.0297,NOT_ESTIMATED,NOT_ESTIMATED,0.0
HYBRID_10,VALID,0.8372,10.0,NOT_ESTIMATED,NOT_ESTIMATED,0.0347,NOT_ESTIMATED,NOT_ESTIMATED,0.0267
HYBRID_20,VALID,0.8372,20.0,NOT_ESTIMATED,NOT_ESTIMATED,0.0402,NOT_ESTIMATED,NOT_ESTIMATED,0.0242
