rank_band,horizon,n,pct_1s_recovery,median_return
1001-1500,3,82,0.14634146341463414,-0.017994803376495838
1001-1500,7,82,0.14634146341463414,-0.008225147146731615
1001-1500,14,82,0.10975609756097561,-0.002833853126503527
1001-1500,30,82,0.07317073170731707,0.07803209871053696
101-250,3,566,0.1607773851590106,-0.0006300091918092221
101-250,7,566,0.17314487632508835,-1.834883545370758e-05
101-250,14,566,0.16784452296819788,0.0
101-250,30,566,0.16607773851590105,0.0015178063185885549
1501-2000,3,30,0.13333333333333333,-0.06401525437831879
1501-2000,7,30,0.06666666666666667,-0.04776651784777641
1501-2000,14,30,0.03333333333333333,-0.11183033138513565
1501-2000,30,30,0.0,-0.1664629876613617
251-500,3,537,0.2011173184357542,0.0002848806616384536
251-500,7,537,0.19925512104283055,0.002950053894892335
251-500,14,537,0.2048417132216015,0.013742721639573574
251-500,30,537,0.2011173184357542,0.045665960758924484
26-100,3,382,0.2094240837696335,-0.0002166132617276162
26-100,7,382,0.193717277486911,3.4053493436658755e-05
26-100,14,382,0.17539267015706805,-0.00010003001079894602
26-100,30,382,0.1649214659685864,-4.18062336393632e-05
501-750,3,465,0.1827956989247312,-0.0021371246548369527
501-750,7,465,0.1827956989247312,-0.0006173721340019256
501-750,14,465,0.1956989247311828,0.0009946747159119695
501-750,30,465,0.17634408602150536,0.021340408362448215
751-1000,3,400,0.1875,-0.0009397545363754034
751-1000,7,400,0.155,-0.0003921508905477822
751-1000,14,400,0.1425,0.008834875654429197
751-1000,30,400,0.17,0.013753070496022701
