rank_band,days_before,n,median_ret_1d,median_rank,median_vol,median_rank_vel_3d,median_rank_vel_7d,pct_short_hot
1001-1500,-30,82,-8.913595047488343e-05,1110.5,0.062122464179992676,-10.0,-25.0,0.3902439024390244
1001-1500,-21,82,-0.0026398724876344204,1128.0,0.06519731506705284,-9.0,-16.0,0.3902439024390244
1001-1500,-14,82,-0.00012102060645702295,1131.5,0.06857388094067574,-5.5,-6.0,0.35365853658536583
1001-1500,-10,82,-0.001193641743157059,1150.0,0.06743233278393745,-13.0,-14.0,0.47560975609756095
1001-1500,-7,82,-0.0021202584612183273,1159.5,0.06739319115877151,-3.0,-13.5,0.4634146341463415
1001-1500,-5,82,-0.004165626596659422,1162.0,0.06589996814727783,-1.0,-1.0,0.4878048780487805
1001-1500,-3,82,-0.005138983717188239,1169.5,0.07103333249688148,4.0,-14.0,0.45121951219512196
1001-1500,-2,82,8.423688632319681e-05,1169.5,0.07371003180742264,2.0,0.0,0.4268292682926829
1001-1500,-1,82,0.0230475515127182,1130.0,0.07407033815979958,8.0,14.0,0.573170731707317
1001-1500,0,82,-0.18903841823339462,1243.5,0.07580374553799629,-47.5,-54.5,0.21951219512195122
101-250,-30,566,-1.547871352158836e-05,208.0,0.0351890753954649,0.0,0.0,0.4293286219081272
101-250,-21,566,6.697719982184935e-06,207.0,0.03558071702718735,0.0,0.0,0.4416961130742049
101-250,-14,566,9.040689110406674e-05,206.0,0.03486391343176365,0.0,0.0,0.4929328621908127
101-250,-10,566,0.0,205.0,0.03488471359014511,0.0,0.0,0.5
101-250,-7,566,-7.52954620111268e-05,204.0,0.03478247858583927,0.0,0.0,0.4752650176678445
101-250,-5,566,5.14649655087851e-05,204.0,0.035210125148296356,0.0,0.0,0.46113074204946997
101-250,-3,566,4.6393430238822475e-05,203.5,0.03582829609513283,0.0,0.0,0.5229681978798587
101-250,-2,566,0.00011296120646875352,202.0,0.03540559485554695,0.0,0.0,0.5123674911660777
101-250,-1,566,0.0015868574846535921,194.0,0.036395274102687836,0.0,1.0,0.5795053003533569
101-250,0,566,-0.09875829145312309,204.0,0.03823722153902054,-2.0,-1.0,0.17491166077738515
1501-2000,-30,30,-0.005483752000145614,1610.5,0.09956393390893936,-10.0,-15.0,0.23333333333333334
1501-2000,-21,30,-0.003651771694421768,1659.5,0.0940757729113102,-4.5,-2.0,0.36666666666666664
1501-2000,-14,30,-0.0014166191685944796,1713.0,0.09762387722730637,-13.0,-31.0,0.4
1501-2000,-10,30,0.0004052871954627335,1694.0,0.09758444130420685,-2.0,-23.0,0.36666666666666664
1501-2000,-7,30,0.0023874702164903283,1651.0,0.11349520459771156,-3.5,-10.5,0.4
1501-2000,-5,30,-0.006391430273652077,1646.0,0.09862540662288666,-8.0,-18.0,0.43333333333333335
1501-2000,-3,30,-0.01889874041080475,1673.0,0.10735929012298584,-3.0,-11.0,0.4
1501-2000,-2,30,-0.0097723170183599,1652.0,0.09558763727545738,-7.0,-10.0,0.3333333333333333
1501-2000,-1,30,-0.0050779045559465885,1654.0,0.10731682181358337,-9.0,-10.0,0.43333333333333335
1501-2000,0,30,-0.294673353433609,1779.0,0.11085663363337517,-97.5,-104.5,0.1
251-500,-30,537,-2.5848596578725846e-06,354.5,0.04475351609289646,-1.0,-2.0,0.44878957169459965
251-500,-21,537,-0.00026487719151191413,359.0,0.04398213513195515,-2.0,-2.5,0.46741154562383613
251-500,-14,537,0.0007401996699627489,359.0,0.04274897277355194,-1.0,-3.0,0.478584729981378
251-500,-10,537,-0.0010171993635594845,357.0,0.04301260784268379,-1.0,-1.0,0.4655493482309125
251-500,-7,537,-0.0003527851076796651,356.0,0.0422198548913002,-1.0,-1.0,0.44878957169459965
251-500,-5,537,-0.0001555352209834382,360.0,0.04195486381649971,-1.0,-2.0,0.4543761638733706
251-500,-3,537,0.0001424361689714715,359.0,0.042132388800382614,-1.0,-2.0,0.478584729981378
251-500,-2,537,0.0003964507195632905,357.5,0.04283338412642479,0.0,-1.0,0.527001862197393
251-500,-1,537,0.007815239951014519,343.0,0.04388493672013283,2.0,4.0,0.6238361266294227
251-500,0,537,-0.12707342207431793,385.0,0.04625501483678818,-18.0,-21.0,0.2085661080074488
26-100,-30,382,2.615791527205147e-05,61.0,0.026810454204678535,0.0,0.0,0.4790575916230366
26-100,-21,382,7.771525997668505e-05,62.0,0.026063294149935246,0.0,0.0,0.47643979057591623
26-100,-14,382,-0.00014303615898825228,62.0,0.026116696186363697,0.0,0.0,0.4712041884816754
26-100,-10,382,-6.040579319233075e-05,64.0,0.02503617014735937,0.0,-1.0,0.4214659685863874
26-100,-7,382,2.3578906166221714e-05,63.5,0.02465712372213602,0.0,0.0,0.5078534031413613
