covariates,n,n_covariates,down_log_odds_coef,raw_down_minus_up_gap
RAW,3647,0,1.147,0.2034
+ABS,3647,1,1.146,0.2034
+SIGMA,3647,2,1.145,0.2034
+VOL,3647,3,1.134,0.2034
+LIQ,3556,4,1.062,0.2034
+RANK,3556,5,1.06,0.2034
+COHERENCE,3556,6,1.036,0.2034
+PEER_STRESS,3556,7,1.029,0.2034
+CHURN,3555,8,1.03,0.2034
+FIELD,3344,10,1.0,0.2034
+ENTROPY,3342,11,0.996,0.2034
+CONCENTRATION,3342,12,1.019,0.2034
+RANK_HEALTH,3342,13,0.931,0.2034
