side,response,type,abs_med,rate,rate2,ceiling,half_sat_abs,onset_20pct
OVERALL,turnover,OVERALL_N,,,,,,
OVERALL,state_change,OVERALL_N,,,,,,
OVERALL,contagion,OVERALL_N,,,,,,
OVERALL,decoupling,OVERALL_N,,,,,,
OVERALL,rejoin,OVERALL_N,,,,,,
OVERALL,turnover,BIN,0.0022,0.6329,,,,
OVERALL,state_change,BIN,0.0022,0.4767,,,,
OVERALL,contagion,BIN,0.0022,0.3945,,,,
OVERALL,decoupling,BIN,0.0022,0.3178,,,,
OVERALL,rejoin,BIN,0.0022,0.1452,,,,
OVERALL,turnover,BIN,0.0245,0.7138,,,,
OVERALL,state_change,BIN,0.0245,0.7041,,,,
OVERALL,contagion,BIN,0.0245,0.3041,,,,
OVERALL,decoupling,BIN,0.0245,0.2904,,,,
OVERALL,rejoin,BIN,0.0245,0.1644,,,,
OVERALL,turnover,BIN,0.0677,0.7964,,,,
OVERALL,state_change,BIN,0.0677,0.6429,,,,
OVERALL,contagion,BIN,0.0677,0.2473,,,,
OVERALL,decoupling,BIN,0.0677,0.1868,,,,
OVERALL,rejoin,BIN,0.0677,0.1484,,,,
OVERALL,turnover,BIN,0.0971,0.8349,,,,
OVERALL,state_change,BIN,0.0971,0.663,,,,
OVERALL,contagion,BIN,0.0971,0.2877,,,,
OVERALL,decoupling,BIN,0.0971,0.2521,,,,
OVERALL,rejoin,BIN,0.0971,0.1342,,,,
OVERALL,turnover,BIN,0.1211,0.8517,,,,
OVERALL,state_change,BIN,0.1211,0.6575,,,,
OVERALL,contagion,BIN,0.1211,0.2685,,,,
OVERALL,decoupling,BIN,0.1211,0.2575,,,,
OVERALL,rejoin,BIN,0.1211,0.1671,,,,
OVERALL,turnover,BIN,0.1461,0.8811,,,,
OVERALL,state_change,BIN,0.1461,0.7005,,,,
OVERALL,contagion,BIN,0.1461,0.2857,,,,
OVERALL,decoupling,BIN,0.1461,0.2775,,,,
OVERALL,rejoin,BIN,0.1461,0.1593,,,,
OVERALL,turnover,BIN,0.1783,0.8937,,,,
OVERALL,state_change,BIN,0.1783,0.7151,,,,
OVERALL,contagion,BIN,0.1783,0.263,,,,
OVERALL,decoupling,BIN,0.1783,0.274,,,,
OVERALL,rejoin,BIN,0.1783,0.0986,,,,
OVERALL,turnover,BIN,0.2176,0.9101,,,,
OVERALL,state_change,BIN,0.2176,0.7747,,,,
OVERALL,contagion,BIN,0.2176,0.2418,,,,
