outcome,local_auc,global_auc,local_plus_global_auc,global_adds_over_local
contagion,0.564,0.5412,0.5715,0.0075
decoupling,0.6153,0.5705,0.6174,0.0021
rejoin,0.5713,0.4825,0.5438,-0.0275
