precondition,n,p_rejoin,p_decouple,p_contagion,p_persistent
BASELINE,3647,0.1393,0.2789,0.28,0.5097
RECENT_SHOCK_BEFORE,688,0.1439,0.2733,0.2994,0.516
RECENT_SHOCK_BEFORE_ABSENT,2959,0.1382,0.2802,0.2754,0.5083
PREV_DECOUPLING,656,0.1143,0.3338,0.2546,0.5564
PREV_DECOUPLING_ABSENT,2991,0.1448,0.2668,0.2855,0.4995
ALREADY_REORGANIZING,775,0.1342,0.2826,0.2813,0.489
ALREADY_REORGANIZING_ABSENT,2872,0.1407,0.2779,0.2796,0.5153
PEER_STRESS_ELEVATED,683,0.104,0.284,0.2767,0.4832
PEER_STRESS_ELEVATED_ABSENT,2964,0.1474,0.2777,0.2807,0.5159
