dim,level,n,p_absorbed,p_reorganized,p_propagated,p_persistent,coef_std,note
ABS_CLASS,10-20%,1280,0.082,0.3531,0.1,0.4648,,
ABS_CLASS,2-5%,220,0.1091,0.3409,0.0682,0.4818,,
ABS_CLASS,5-10%,601,0.1165,0.3361,0.0815,0.4659,,
ABS_CLASS,<2%,504,0.1071,0.1409,0.0833,0.6687,,
ABS_CLASS,>20%,1042,0.0345,0.3637,0.0825,0.5192,,
SIGMA_CLASS,<2σ,3641,0.0794,0.3227,0.0879,0.51,,
LIQUIDITY,LIQ_DEEP,1216,0.028,0.3725,0.1044,0.4951,,
LIQUIDITY,LIQ_NORM,1215,0.0675,0.3728,0.0914,0.4683,,
LIQUIDITY,LIQ_THIN,1216,0.1423,0.2245,0.0674,0.5658,,
NEIGHBORHOOD,CONTAGIOUS,47,0.0638,0.4255,0.0638,0.4468,,
NEIGHBORHOOD,DECOUPLED,1380,0.1674,0.2493,0.0841,0.4993,,
NEIGHBORHOOD,FALSE_ISOLATED,37,0.0,0.2162,0.0541,0.7297,,
NEIGHBORHOOD,LOCALLY_CONFORMING,314,0.172,0.1051,0.0732,0.6497,,
NEIGHBORHOOD,PEER_STRESSED,62,0.0161,0.3548,0.1129,0.5161,,
NEIGHBORHOOD,REHABILITATING,94,0.0,0.266,0.117,0.617,,
NEIGHBORHOOD,REJOINING,30,0.0,0.5,0.1333,0.3667,,
NEIGHBORHOOD,REORGANIZING,1556,0.0,0.4197,0.0938,0.4865,,
NEIGHBORHOOD,TRUE_ISOLATED,125,0.0,0.456,0.064,0.48,,
RANK_DEPTH,DEEP,593,0.0118,0.4081,0.0927,0.4874,,
RANK_DEPTH,MID,1219,0.041,0.3995,0.1058,0.4537,,
RANK_DEPTH,SHALLOW,1835,0.1264,0.2452,0.0741,0.5542,,
DIRECTION,DOWN,2462,0.0755,0.3708,0.1133,0.4403,,
DIRECTION,UP,1185,0.0869,0.2245,0.0346,0.654,,
DURATION,IMPULSE,1894,0.085,0.3157,0.0882,0.5111,,
DURATION,MULTI_DAY,661,0.0908,0.3222,0.0741,0.5129,,
DURATION,SHORT_SUSTAINED,1092,0.0623,0.337,0.0952,0.5055,,
ABSORBED_vs_REORGANIZED_LOGIT,peer_corr,590,,,,,-0.193,positive => raises P(absorbed)
ABSORBED_vs_REORGANIZED_LOGIT,liq_proxy,590,,,,,-0.107,positive => raises P(absorbed)
ABSORBED_vs_REORGANIZED_LOGIT,roll_turnover_30d,590,,,,,-0.807,positive => raises P(absorbed)
ABSORBED_vs_REORGANIZED_LOGIT,peer_stress,590,,,,,-0.215,positive => raises P(absorbed)
ABSORBED_vs_REORGANIZED_LOGIT,vol_30d,590,,,,,0.045,positive => raises P(absorbed)
ABSORBED_vs_REORGANIZED_LOGIT,rank,590,,,,,-0.716,positive => raises P(absorbed)
