section,coord,label,state,n,median,kruskal_across_states_p,spearman_contagion,spearman_decoupling,spearman_rejoin
STATEMED,abs_resid,peer residual magnitude (|res|),REORGANIZING,1556,0.1722,,,,
STATEMED,abs_resid,peer residual magnitude (|res|),DECOUPLED,1380,0.143,,,,
STATEMED,abs_resid,peer residual magnitude (|res|),TRUE_ISOLATED,125,0.1074,,,,
STATEMED,abs_resid,peer residual magnitude (|res|),FALSE_ISOLATED,37,0.011,,,,
STATEMED,abs_resid,peer residual magnitude (|res|),PEER_STRESSED,62,0.0983,,,,
STATEMED,abs_resid,peer residual magnitude (|res|),REJOINING,30,0.0363,,,,
STATEMED,abs_resid,peer residual magnitude (|res|),REHABILITATING,94,0.018,,,,
STATEMED,abs_resid,peer residual magnitude (|res|),CONTAGIOUS,47,0.1626,,,,
STATEMED,abs_resid,peer residual magnitude (|res|),LOCALLY_CONFORMING,314,0.0043,,,,
STATEMED,abs_resid,peer residual magnitude (|res|),DISLOCATED_UNCLASSIFIED,2,0.1182,,,,
DISCRIM,abs_resid,peer residual magnitude (|res|),,3647,0.1354,0.0,-0.0773,0.0579,-0.0326
STATEMED,res_z,peer residual z-score,REORGANIZING,1556,-2.2838,,,,
STATEMED,res_z,peer residual z-score,DECOUPLED,1380,-2.5865,,,,
STATEMED,res_z,peer residual z-score,TRUE_ISOLATED,125,-2.6323,,,,
STATEMED,res_z,peer residual z-score,FALSE_ISOLATED,37,-1.9113,,,,
STATEMED,res_z,peer residual z-score,PEER_STRESSED,62,-0.6331,,,,
STATEMED,res_z,peer residual z-score,REJOINING,30,-1.2534,,,,
STATEMED,res_z,peer residual z-score,REHABILITATING,94,-0.3701,,,,
STATEMED,res_z,peer residual z-score,CONTAGIOUS,47,-1.355,,,,
STATEMED,res_z,peer residual z-score,LOCALLY_CONFORMING,314,-0.0847,,,,
STATEMED,res_z,peer residual z-score,DISLOCATED_UNCLASSIFIED,2,-1.6745,,,,
DISCRIM,res_z,peer residual z-score,,3647,-1.6454,0.0,-0.1822,0.3534,0.1065
STATEMED,peer_corr,neighborhood coherence,REORGANIZING,1556,-0.0809,,,,
STATEMED,peer_corr,neighborhood coherence,DECOUPLED,1380,-0.0684,,,,
STATEMED,peer_corr,neighborhood coherence,TRUE_ISOLATED,125,-0.0542,,,,
STATEMED,peer_corr,neighborhood coherence,FALSE_ISOLATED,37,-0.0121,,,,
STATEMED,peer_corr,neighborhood coherence,PEER_STRESSED,62,0.0476,,,,
STATEMED,peer_corr,neighborhood coherence,REJOINING,30,0.066,,,,
STATEMED,peer_corr,neighborhood coherence,REHABILITATING,94,-0.0001,,,,
STATEMED,peer_corr,neighborhood coherence,CONTAGIOUS,47,0.0131,,,,
STATEMED,peer_corr,neighborhood coherence,LOCALLY_CONFORMING,314,-0.0003,,,,
STATEMED,peer_corr,neighborhood coherence,DISLOCATED_UNCLASSIFIED,2,-0.0738,,,,
