capacity_coord,point_biserial_vs_absorbed,p,purged_auc_absorbed,n,verdict
neighborhood_coherence,0.013,0.423,0.5136,3647,
liquidity,0.162,0.0,0.6752,3556,
rank_health,-0.173,0.0,0.7136,3647,
volatility,-0.012,0.454,0.6099,3647,
peer_stress,-0.094,0.0,0.5713,3647,
membership_stability,-0.303,0.0,0.8318,3646,
prior_shock_burden,0.225,0.0,0.7196,3647,
VERDICT,,,,3647,LOCAL_ABSORPTION_COORDINATE
