dimension,value,n,p25,p75,note
abs_ret,0.0682,81,0.0499,0.0888,
z1,2.436,81,2.1572,3.0499,
sigma,0.0262,81,0.017,0.0363,
peer_corr,-0.0299,81,-0.3056,0.2033,
peer_stress,0.0,81,0.0,0.0,
roll_turnover_30d,0.9474,81,0.75,1.0,
rank,393.0,81,134.0,664.0,
rank_vel_7d,-9.0,81,-34.0,1.0,
vol_30d,0.0266,81,0.017,0.0367,
liq_proxy,10.892,81,10.221,12.0593,
log10_mcap,7.8219,81,7.4118,8.5721,
peer_touch_frac1,0.1,81,0.0,0.3,
peer_touch_frac3,0.2,81,0.1,0.5,
peer_touch_frac7,0.3,81,0.1,0.6,
peer_neg_frac7,0.5,81,0.3,0.8,
peer_neg_frac30,0.5,81,0.3,0.7,
out_rejoin,0.0,81,0.0,0.0,
out_decouple,0.0,81,0.0,0.0,
mcell6_mode,M6_E:26;M6_C:20;M6_A:12,81,,,global-field overlay
n_events_total,81,81,,,
