outcome,model,purged_auc,n
contagion,LOCAL_ONLY,0.564,3435
contagion,GLOBAL_ONLY,0.5412,3435
contagion,LOCAL_PLUS_GLOBAL,0.5715,3435
decoupling,LOCAL_ONLY,0.6153,3435
decoupling,GLOBAL_ONLY,0.5705,3435
decoupling,LOCAL_PLUS_GLOBAL,0.6174,3435
rejoin,LOCAL_ONLY,0.5713,3435
rejoin,GLOBAL_ONLY,0.4825,3435
rejoin,LOCAL_PLUS_GLOBAL,0.5438,3435
