slice,level,n_events,p_contagion,p_decouple,p_rejoin,p_absorbed,p_reorganized,p_propagated,p_persistent
ABS_MAGNITUDE,10-20%,1280,0.2719,0.2656,0.1414,0.082,0.3531,0.1,0.4648
ABS_MAGNITUDE,>20%,1042,0.2534,0.3167,0.1228,0.0345,0.3637,0.0825,0.5192
ABS_MAGNITUDE,5-10%,601,0.2596,0.2097,0.1448,0.1165,0.3361,0.0815,0.4659
ABS_MAGNITUDE,<2%,504,0.3829,0.3274,0.1607,0.1071,0.1409,0.0833,0.6687
ABS_MAGNITUDE,2-5%,220,0.2727,0.2545,0.1409,0.1091,0.3409,0.0682,0.4818
DIRECTION,DOWN,2462,0.3461,0.1665,0.1154,0.0755,0.3708,0.1133,0.4403
DIRECTION,UP,1185,0.1426,0.5122,0.189,0.0869,0.2245,0.0346,0.654
DIRECTION:DOWN|ABSxSIGMA,10-20%|<2σ,828,0.3418,0.1292,0.1232,0.0725,0.4324,0.1377,0.3575
DIRECTION:DOWN|ABSxSIGMA,>20%|<2σ,615,0.3772,0.0992,0.078,0.0407,0.4325,0.1268,0.4
DIRECTION:DOWN|ABSxSIGMA,5-10%|<2σ,459,0.3007,0.1612,0.1198,0.098,0.3813,0.098,0.4227
DIRECTION:DOWN|ABSxSIGMA,<2%|<2σ,375,0.3867,0.32,0.1493,0.0987,0.144,0.0773,0.68
DIRECTION:DOWN|ABSxSIGMA,2-5%|<2σ,185,0.2919,0.2595,0.1243,0.1027,0.3243,0.0703,0.5027
DIRECTION:UP|ABSxSIGMA,10-20%|<2σ,452,0.1438,0.5155,0.1748,0.0996,0.208,0.031,0.6615
DIRECTION:UP|ABSxSIGMA,>20%|<2σ,421,0.076,0.6342,0.19,0.0261,0.2589,0.019,0.696
DIRECTION:UP|ABSxSIGMA,5-10%|<2σ,142,0.1268,0.3662,0.2254,0.1761,0.1901,0.0282,0.6056
DIRECTION:UP|ABSxSIGMA,<2%|<2σ,129,0.3721,0.3488,0.1938,0.1318,0.1318,0.1008,0.6357
DIRECTION:UP|ABSxSIGMA,2-5%|<2σ,35,0.1714,0.2286,0.2286,0.1429,0.4286,0.0571,0.3714
DURATION,IMPULSE,1894,0.2804,0.2825,0.1452,0.085,0.3157,0.0882,0.5111
DURATION,SHORT_SUSTAINED,1092,0.3114,0.2555,0.131,0.0623,0.337,0.0952,0.5055
DURATION,MULTI_DAY,661,0.2269,0.3071,0.1362,0.0908,0.3222,0.0741,0.5129
LIQUIDITY_CONTEXT,LIQ_DEEP,1216,0.3396,0.2171,0.1077,0.028,0.3725,0.1044,0.4951
LIQUIDITY_CONTEXT,LIQ_THIN,1216,0.241,0.3479,0.1661,0.1423,0.2245,0.0674,0.5658
LIQUIDITY_CONTEXT,LIQ_NORM,1215,0.2593,0.2716,0.144,0.0675,0.3728,0.0914,0.4683
NEIGHBORHOOD_CONDITION,REORGANIZING,1556,0.2763,0.2609,0.133,0.0,0.4197,0.0938,0.4865
NEIGHBORHOOD_CONDITION,DECOUPLED,1380,0.258,0.2899,0.1362,0.1674,0.2493,0.0841,0.4993
NEIGHBORHOOD_CONDITION,LOCALLY_CONFORMING,314,0.3662,0.3089,0.1624,0.172,0.1051,0.0732,0.6497
NEIGHBORHOOD_CONDITION,TRUE_ISOLATED,125,0.232,0.304,0.216,0.0,0.456,0.064,0.48
NEIGHBORHOOD_CONDITION,REHABILITATING,94,0.3936,0.3085,0.1489,0.0,0.266,0.117,0.617
NEIGHBORHOOD_CONDITION,PEER_STRESSED,62,0.371,0.2258,0.0645,0.0161,0.3548,0.1129,0.5161
NEIGHBORHOOD_CONDITION,CONTAGIOUS,47,0.1702,0.2128,0.1277,0.0638,0.4255,0.0638,0.4468
NEIGHBORHOOD_CONDITION,FALSE_ISOLATED,37,0.4054,0.4595,0.1081,0.0,0.2162,0.0541,0.7297
NEIGHBORHOOD_CONDITION,REJOINING,30,0.2667,0.2,0.2,0.0,0.5,0.1333,0.3667
RANK_DEPTH,SHALLOW,1835,0.2496,0.346,0.1553,0.1264,0.2452,0.0741,0.5542
RANK_DEPTH,MID,1219,0.3043,0.2158,0.1214,0.041,0.3995,0.1058,0.4537
RANK_DEPTH,DEEP,593,0.3238,0.2007,0.1265,0.0118,0.4081,0.0927,0.4874
SIGMA,<2σ,3641,0.2804,0.2788,0.1395,0.0794,0.3227,0.0879,0.51
