coord_a,coord_b,spearman_rho,n,speed_radius_rho
CONTAGION_SPEED,CONTAGION_RADIUS,0.3222,,
CONTAGION_SPEED,CONTAGION_DEPTH,0.1674,,
CONTAGION_SPEED,CONTAGION_PERSISTENCE,0.163,,
CONTAGION_RADIUS,CONTAGION_DEPTH,0.3979,,
CONTAGION_RADIUS,CONTAGION_PERSISTENCE,0.4065,,
CONTAGION_DEPTH,CONTAGION_PERSISTENCE,0.9141,,
VERDICT,DEPTH_PERSISTENCE_REDUNDANT_SPEED_DISTINCT,0.9141,1021.0,0.3222
