global_cell4,condition,n,upside_rate,delta_vs_baseline
HH,BASELINE,1143,0.0,
HH,LOCAL_COHERENCE_HIGH,566,0.0,0.0
HH,REJOIN_RECOVERY,158,0.0,0.0
HH,REHABILITATING,26,0.0,0.0
HH,RANK_HEALTH_GOOD,488,0.0,0.0
HH,POSITIVE_LOCAL_RETURN,246,0.0,0.0
HH,LOW_TURNOVER,618,0.0,0.0
HL,BASELINE,564,0.0,
HL,LOCAL_COHERENCE_HIGH,297,0.0,0.0
HL,REJOIN_RECOVERY,74,0.0,0.0
HL,REHABILITATING,20,0.0,0.0
HL,RANK_HEALTH_GOOD,257,0.0,0.0
HL,POSITIVE_LOCAL_RETURN,190,0.0,0.0
HL,LOW_TURNOVER,352,0.0,0.0
LH,BASELINE,501,0.0,
LH,LOCAL_COHERENCE_HIGH,233,0.0,0.0
LH,REJOIN_RECOVERY,79,0.0,0.0
LH,RANK_HEALTH_GOOD,272,0.0,0.0
LH,POSITIVE_LOCAL_RETURN,196,0.0,0.0
LH,LOW_TURNOVER,275,0.0,0.0
LL,BASELINE,1439,0.0,
LL,LOCAL_COHERENCE_HIGH,728,0.0,0.0
LL,REJOIN_RECOVERY,197,0.0,0.0
LL,REHABILITATING,43,0.0,0.0
LL,RANK_HEALTH_GOOD,762,0.0,0.0
LL,POSITIVE_LOCAL_RETURN,553,0.0,0.0
LL,LOW_TURNOVER,845,0.0,0.0
ALL,BASELINE,3647,0.0,
ALL,LOCAL_COHERENCE_HIGH,1824,0.0,0.0
ALL,REJOIN_RECOVERY,508,0.0,0.0
ALL,REHABILITATING,94,0.0,0.0
ALL,RANK_HEALTH_GOOD,1779,0.0,0.0
ALL,POSITIVE_LOCAL_RETURN,1185,0.0,0.0
ALL,LOW_TURNOVER,2090,0.0,0.0
