group,level,n,med_churn_turnover,med_jaccard_overlap,med_old_coherence,med_new_coherence,med_added_peers,med_dropped_peers,med_rank_migration,med_old_peer_stress,med_new_peer_stress,med_sign_aligned_frac,med_sign_opposed_frac,med_added_peer_fwd7,med_dropped_peer_fwd7,p_rejoin,p_contagion,p_decouple,wilcoxon_added_vs_dropped_p,verdict
OVERALL,ALL,3647,0.9474,0.1765,,-0.0321,7.0,7.0,3.0,0.0,0.0,,,-0.0015,-0.0,0.1393,0.28,0.2789,,
RANK_DEPTH,DEEP,593,1.0,0.0526,,-0.1001,9.0,9.0,173.5,0.0,0.0,,,-0.0117,0.0,0.1265,0.3238,0.2007,,
RANK_DEPTH,MID,1219,1.0,0.0526,,-0.0588,9.0,9.0,53.0,0.0,0.0,,,-0.0004,-0.0001,0.1214,0.3043,0.2158,,
RANK_DEPTH,SHALLOW,1835,0.8235,0.25,,-0.0041,6.0,6.0,0.0,0.0,0.0,,,-0.002,-0.0,0.1553,0.2496,0.346,,
REL_STATE,CONTAGIOUS,47,0.8889,0.1765,,0.0131,7.0,7.0,11.0,0.0,0.0,,,-0.001,-0.0061,0.1277,0.1702,0.2128,,
REL_STATE,DECOUPLED,1380,0.8235,0.1765,,-0.0684,7.0,7.0,5.0,0.0,0.0,,,-0.0047,0.0,0.1362,0.258,0.2899,,
REL_STATE,FALSE_ISOLATED,37,0.5714,0.4286,,-0.0121,4.0,4.0,-3.0,0.0,0.0,,,0.0001,0.0001,0.1081,0.4054,0.4595,,
REL_STATE,LOCALLY_CONFORMING,314,0.5714,0.4286,,-0.0003,4.0,4.0,0.0,0.0,0.0,,,-0.0001,0.0,0.1624,0.3662,0.3089,,
REL_STATE,PEER_STRESSED,62,0.8562,0.1765,,0.0476,7.0,7.0,5.0,0.0,1.0,,,-0.0003,-0.0005,0.0645,0.371,0.2258,,
REL_STATE,REHABILITATING,94,0.8235,0.25,,-0.0001,6.0,6.0,2.0,0.0,0.0,,,-0.0013,-0.0001,0.1489,0.3936,0.3085,,
REL_STATE,REJOINING,30,0.8235,0.25,,0.066,6.0,6.0,9.0,0.0,0.0,,,0.0007,-0.0001,0.2,0.2667,0.2,,
REL_STATE,REORGANIZING,1556,1.0,0.0,,-0.0809,10.0,10.0,18.0,0.0,0.0,,,-0.0084,-0.0028,0.133,0.2763,0.2609,,
REL_STATE,TRUE_ISOLATED,125,0.8235,0.25,,-0.0542,6.0,6.0,0.0,0.0,0.0,,,-0.0019,-0.0043,0.216,0.232,0.304,,
DIRECTION,DOWN,2462,0.9474,0.1765,,-0.0069,7.0,7.0,8.0,0.0,0.0,,,-0.0007,-0.0001,0.1154,0.3461,0.1665,,
DIRECTION,UP,1185,0.8889,0.1765,,-0.1794,7.0,7.0,-2.0,0.0,0.0,,,-0.0049,0.0,0.189,0.1426,0.5122,,
ABS_CLASS,10-20%,1280,0.9474,0.1111,,-0.0588,8.0,8.0,7.0,0.0,0.0,,,-0.0106,-0.0004,0.1414,0.2719,0.2656,,
ABS_CLASS,2-5%,220,0.8235,0.3333,,-0.0142,5.0,5.0,0.0,0.0,0.0,,,0.0,0.0,0.1409,0.2727,0.2545,,
ABS_CLASS,5-10%,601,0.9474,0.25,,-0.0214,6.0,6.0,5.0,0.0,0.0,,,-0.0071,-0.0027,0.1448,0.2596,0.2097,,
ABS_CLASS,<2%,504,0.6667,0.4286,,-0.0017,4.0,4.0,0.0,0.0,0.0,,,0.0,0.0,0.1607,0.3829,0.3274,,
ABS_CLASS,>20%,1042,1.0,0.0526,,-0.1195,9.0,9.0,11.5,0.0,0.0,,,-0.0097,-0.0014,0.1228,0.2534,0.3167,,
VERDICT,replacement_quality,2193,,,,,,,,,,,,-0.0015,-0.0,,,,0.047,REPLACEMENT_MATTERS
