metric,k,value,cluster,n_events,n_subperiods,p_contagion,p_decouple,p_rejoin,med_abs,med_sigma,med_liq,med_rank,med_peer_corr
SILHOUETTE_SCAN,2,0.2993,,,,,,,,,,,
SILHOUETTE_SCAN,3,0.2163,,,,,,,,,,,
SILHOUETTE_SCAN,4,0.2008,,,,,,,,,,,
SILHOUETTE_SCAN,5,0.2245,,,,,,,,,,,
SILHOUETTE_SCAN,6,0.2249,,,,,,,,,,,
SILHOUETTE_SCAN,7,0.214,,,,,,,,,,,
SHOCK_SPECIES,2,5,0.0,946.0,5.0,0.2907,0.2727,0.1004,0.2805,0.0976,10.4806,603.0,-0.1297
SHOCK_SPECIES,2,5,1.0,2609.0,5.0,0.2748,0.2798,0.1541,0.1015,0.0372,11.8542,211.0,-0.0115
VERDICT,2,FEW_SHOCK_SPECIES,,,,,,,,,,,
