state_a,state_b,coord_dist,merge_candidates,n_overlapping_pairs
REORGANIZING,DECOUPLED,0.43,,
REORGANIZING,TRUE_ISOLATED,0.397,,
REORGANIZING,FALSE_ISOLATED,0.558,,
REORGANIZING,PEER_STRESSED,0.704,,
REORGANIZING,REJOINING,0.403,,
REORGANIZING,REHABILITATING,0.418,,
REORGANIZING,CONTAGIOUS,0.311,,
REORGANIZING,LOCALLY_CONFORMING,0.681,,
REORGANIZING,DISLOCATED_UNCLASSIFIED,0.423,,
DECOUPLED,TRUE_ISOLATED,0.394,,
DECOUPLED,FALSE_ISOLATED,0.463,,
DECOUPLED,PEER_STRESSED,0.782,,
DECOUPLED,REJOINING,0.445,,
DECOUPLED,REHABILITATING,0.414,,
DECOUPLED,CONTAGIOUS,0.384,,
DECOUPLED,LOCALLY_CONFORMING,0.273,,
DECOUPLED,DISLOCATED_UNCLASSIFIED,0.597,,
TRUE_ISOLATED,FALSE_ISOLATED,0.254,,
TRUE_ISOLATED,PEER_STRESSED,0.787,,
TRUE_ISOLATED,REJOINING,0.221,,
TRUE_ISOLATED,REHABILITATING,0.156,,
TRUE_ISOLATED,CONTAGIOUS,0.241,,
TRUE_ISOLATED,LOCALLY_CONFORMING,0.544,,
TRUE_ISOLATED,DISLOCATED_UNCLASSIFIED,0.422,,
FALSE_ISOLATED,PEER_STRESSED,0.827,,
FALSE_ISOLATED,REJOINING,0.331,,
FALSE_ISOLATED,REHABILITATING,0.195,,
FALSE_ISOLATED,CONTAGIOUS,0.395,,
FALSE_ISOLATED,LOCALLY_CONFORMING,0.508,,
FALSE_ISOLATED,DISLOCATED_UNCLASSIFIED,0.64,,
PEER_STRESSED,REJOINING,0.791,,
PEER_STRESSED,REHABILITATING,0.772,,
PEER_STRESSED,CONTAGIOUS,0.604,,
PEER_STRESSED,LOCALLY_CONFORMING,0.933,,
PEER_STRESSED,DISLOCATED_UNCLASSIFIED,0.92,,
REJOINING,REHABILITATING,0.173,,
REJOINING,CONTAGIOUS,0.279,,
REJOINING,LOCALLY_CONFORMING,0.585,,
REJOINING,DISLOCATED_UNCLASSIFIED,0.425,,
REHABILITATING,CONTAGIOUS,0.286,,
REHABILITATING,LOCALLY_CONFORMING,0.532,,
REHABILITATING,DISLOCATED_UNCLASSIFIED,0.491,,
CONTAGIOUS,LOCALLY_CONFORMING,0.592,,
CONTAGIOUS,DISLOCATED_UNCLASSIFIED,0.462,,
LOCALLY_CONFORMING,DISLOCATED_UNCLASSIFIED,0.782,,
VERDICT,CONTINUOUS_OVERLAY_ONLY_PREFERRED,,REORGANIZING+CONTAGIOUS;DECOUPLED+LOCALLY_CONFORMING;TRUE_ISOLATED+FALSE_ISOLATED;TRUE_ISOLATED+REJOINING;TRUE_ISOLATED+REHABILITATING;TRUE_ISOLATED+CONTAGIOUS;FALSE_ISOLATED+REJOINING;FALSE_ISOLATED+REHABILITATING;REJOINING+REHABILITATING;REJOINING+CONTAGIOUS;REHABILITATING+CONTAGIOUS,11.0
