symbol,date,coinpaprika_mcap_usd,cmc_mcap_usd,pct_diff,disagreement_flag
BTC,2026-08-20,1430649392625,1465878380818.3462,-2.40,OK
ETH,2026-08-20,275451143547,280752052486.94666,-1.89,OK
LUNC,2026-08-20,348825679,291341660.28460795,19.73,CHECK
FTT,2026-08-20,28474461,71662690.66508234,-60.27,CHECK
HOT,2026-08-20,61054804,62376848.5623185,-2.12,OK
