win_start,n,rmse_1param,rmse_2param,rmse_3param,naming_1,naming_3,verdict_1d
2020-06-01,119,0.1595,0.1991,0.1596,0.614,0.789,TWO_REQUIRED
2020-08-30,124,0.1838,0.1848,0.1839,0.611,0.603,TWO_REQUIRED
2020-11-28,155,0.2067,0.2129,0.2056,0.601,0.602,TWO_REQUIRED
2021-02-26,177,0.2366,0.2779,0.2334,0.629,0.523,TWO_REQUIRED
2021-05-27,174,0.2341,0.2706,0.2318,0.657,0.562,TWO_REQUIRED
2021-08-25,125,0.2181,0.2495,0.2159,0.639,0.563,TWO_REQUIRED
2021-11-23,123,0.2541,0.2994,0.2515,0.666,1.145,TWO_REQUIRED
2022-02-21,175,0.2603,0.3197,0.258,0.679,1.148,TWO_REQUIRED
2022-05-22,180,0.2384,0.2858,0.2383,0.691,1.337,TWO_REQUIRED
2022-08-20,180,0.2212,0.274,0.2177,0.722,0.555,TWO_REQUIRED
2022-11-18,179,0.2271,0.2515,0.2261,0.692,1.538,TWO_REQUIRED
2023-02-16,161,0.2137,0.2433,0.2126,0.652,0.545,TWO_REQUIRED
2023-05-17,142,0.1923,0.2136,0.1907,0.673,0.609,TWO_REQUIRED
2023-08-15,132,0.1949,0.1916,0.1892,0.672,1.831,TWO_REQUIRED
2023-11-13,150,0.2175,0.2317,0.2151,0.645,0.644,TWO_REQUIRED
2024-02-11,174,0.2349,0.2419,0.2329,0.62,0.635,TWO_REQUIRED
2024-05-11,169,0.2485,0.2469,0.2462,0.624,1.656,TWO_REQUIRED
2024-08-09,173,0.2548,0.2555,0.2548,0.624,0.63,TWO_REQUIRED
2024-11-07,180,0.2461,0.2864,0.2454,0.617,0.496,TWO_REQUIRED
2025-02-05,180,0.2415,0.2679,0.2403,0.626,0.549,TWO_REQUIRED
2025-05-06,180,0.2501,0.2959,0.2433,0.632,0.547,TWO_REQUIRED
2025-08-04,180,0.244,0.2423,0.2403,0.628,0.838,TWO_REQUIRED
2025-11-02,180,0.2235,0.2345,0.2213,0.626,0.617,TWO_REQUIRED
2026-01-31,180,0.2055,0.2037,0.2029,0.643,1.616,TWO_REQUIRED
