n_constraints_met,subset,n,deliver_rate,stall_rate,sat_without_deliv
1,DEMAND,1025,0.402,0.598,0.207
1,CAPACITY,1152,0.21,0.79,0.0
1,THRESHOLD,1022,0.554,0.446,0.152
1,EXIT_PRESSURE,1209,0.378,0.622,0.204
1,TRANSFER,990,0.583,0.417,0.134
1,NON_SATURATED,1756,0.376,0.624,0.201
2,DEMAND+CAPACITY,490,0.22,0.78,0.257
2,DEMAND+THRESHOLD,598,0.543,0.457,0.167
2,DEMAND+EXIT_PRESSURE,560,0.377,0.623,0.22
2,DEMAND+TRANSFER,510,0.561,0.439,0.137
2,DEMAND+NON_SATURATED,616,0.403,0.597,0.19
2,CAPACITY+THRESHOLD,283,0.322,0.678,0.223
2,CAPACITY+EXIT_PRESSURE,706,0.268,0.732,0.235
2,CAPACITY+TRANSFER,358,0.324,0.676,0.229
2,CAPACITY+NON_SATURATED,922,0.201,0.799,0.278
2,THRESHOLD+EXIT_PRESSURE,538,0.515,0.485,0.165
2,THRESHOLD+TRANSFER,640,0.72,0.28,0.341
2,THRESHOLD+NON_SATURATED,774,0.565,0.435,0.133
2,EXIT_PRESSURE+TRANSFER,554,0.486,0.514,0.164
2,EXIT_PRESSURE+NON_SATURATED,955,0.38,0.62,0.207
2,TRANSFER+NON_SATURATED,808,0.58,0.42,0.137
3,DEMAND+CAPACITY+THRESHOLD,170,0.335,0.665,0.241
3,DEMAND+CAPACITY+EXIT_PRESSURE,312,0.279,0.721,0.231
3,DEMAND+CAPACITY+TRANSFER,166,0.277,0.723,0.235
3,DEMAND+CAPACITY+NON_SATURATED,279,0.19,0.81,0.265
3,DEMAND+THRESHOLD+EXIT_PRESSURE,300,0.497,0.503,0.203
3,DEMAND+THRESHOLD+TRANSFER,377,0.674,0.326,0.34
3,DEMAND+THRESHOLD+NON_SATURATED,360,0.564,0.436,0.131
3,DEMAND+EXIT_PRESSURE+TRANSFER,265,0.449,0.551,0.192
3,DEMAND+EXIT_PRESSURE+NON_SATURATED,323,0.384,0.616,0.176
3,DEMAND+TRANSFER+NON_SATURATED,339,0.546,0.454,0.127
3,CAPACITY+THRESHOLD+EXIT_PRESSURE,203,0.379,0.621,0.212
3,CAPACITY+THRESHOLD+TRANSFER,106,0.509,0.491,0.16
3,CAPACITY+THRESHOLD+NON_SATURATED,197,0.32,0.68,0.208
3,CAPACITY+EXIT_PRESSURE+TRANSFER,277,0.314,0.686,0.235
3,CAPACITY+EXIT_PRESSURE+NON_SATURATED,559,0.259,0.741,0.256
3,CAPACITY+TRANSFER+NON_SATURATED,300,0.327,0.673,0.24
3,THRESHOLD+EXIT_PRESSURE+TRANSFER,299,0.669,0.331,0.117
3,THRESHOLD+EXIT_PRESSURE+NON_SATURATED,402,0.535,0.465,0.137
3,THRESHOLD+TRANSFER+NON_SATURATED,505,0.729,0.271,0.341
3,EXIT_PRESSURE+TRANSFER+NON_SATURATED,456,0.489,0.511,0.167
