aborted_date,recovery_date,days_to_recovery,recovered_as_viable,same_state_return,entropy_collapsed_first,demand_cooled_first,threshold_delta
2020-06-24,2020-06-30,6,False,False,False,False,
2020-09-06,2020-09-07,1,False,False,True,False,0.028
2020-09-21,2020-09-23,2,False,False,True,True,-0.06
2020-09-25,2020-09-26,1,False,False,True,False,-0.08
2020-10-19,2020-10-21,2,False,False,True,True,-0.077
2020-10-22,2020-10-23,1,False,False,False,False,0.187
2020-10-26,2020-10-27,1,False,False,False,True,-0.04
2020-11-20,2020-11-26,6,False,False,False,False,
2020-12-18,2020-12-19,1,False,False,True,False,0.0
2021-02-07,2021-02-08,1,False,False,False,False,0.173
2021-02-08,2021-02-15,7,False,False,False,True,1.357
2021-05-04,2021-05-05,1,False,False,False,True,-0.062
2021-05-05,2021-05-10,5,False,False,False,True,0.161
2021-05-11,2021-05-12,1,False,False,True,False,-0.048
2021-07-05,2021-07-06,1,False,False,False,True,-0.045
2021-07-06,2021-07-07,1,False,False,True,False,-0.089
2021-07-18,2021-07-19,1,False,False,True,False,-0.028
2021-09-13,2021-09-19,6,False,False,False,False,-0.005
2021-10-07,2021-10-12,5,False,False,False,False,-0.074
2021-11-27,2021-12-03,6,False,False,False,True,-0.069
2022-02-27,2022-02-28,1,False,False,True,True,-0.066
2022-02-28,2022-03-02,2,False,False,True,False,0.273
2022-03-19,2022-03-20,1,False,False,False,False,0.089
2022-03-20,2022-03-21,1,False,False,False,True,0.087
2022-03-21,2022-03-25,4,False,False,False,False,0.197
2022-03-25,2022-03-27,2,False,False,True,True,0.009
2022-04-16,2022-04-18,2,False,False,False,True,-0.066
2022-04-18,2022-04-20,2,False,False,False,False,0.035
2022-07-13,2022-07-15,2,False,False,True,False,0.045
2022-07-15,2022-07-20,5,False,False,False,True,0.446
2022-07-20,2022-07-21,1,False,False,False,True,0.123
2022-07-21,2022-07-22,1,False,False,False,True,-0.009
2022-07-22,2022-07-23,1,False,False,False,True,-0.079
2022-07-23,2022-07-27,4,False,False,False,True,-0.411
2022-08-06,2022-08-07,1,False,False,True,True,-0.02
2022-08-07,2022-08-09,2,False,False,True,False,0.056
2022-08-10,2022-08-16,6,False,False,False,True,0.066
2022-08-16,2022-08-17,1,False,False,False,True,-0.044
2022-08-17,2022-08-18,1,False,False,False,True,-0.088
2022-08-21,2022-08-22,1,False,False,False,False,-0.076
2022-08-22,2022-08-23,1,False,False,False,False,0.026
2022-08-23,2022-08-24,1,False,False,True,False,0.047
2022-08-24,2022-08-25,1,False,False,True,False,0.055
2022-08-25,2022-08-26,1,False,False,True,False,0.087
2022-09-08,2022-09-14,6,False,False,False,True,0.32
2022-09-14,2022-09-15,1,False,False,True,False,-0.022
2022-10-04,2022-10-06,2,False,False,True,False,0.094
2022-10-07,2022-10-14,7,False,False,True,True,-0.131
2022-10-21,2022-10-22,1,False,False,True,False,0.004
2022-10-22,2022-10-24,2,False,False,True,False,0.047
2022-10-24,2022-10-25,1,False,False,False,True,-0.015
2022-10-27,2022-10-28,1,False,False,True,True,0.072
2022-10-28,2022-10-30,2,False,False,False,True,0.057
2022-10-30,2022-11-03,4,False,False,False,True,-0.065
2022-11-03,2022-11-05,2,False,False,False,False,-0.043
2022-12-02,2022-12-08,6,False,False,False,True,-0.004
2022-12-08,2022-12-09,1,False,False,False,False,0.026
2022-12-13,2022-12-14,1,False,False,False,False,0.066
2022-12-14,2022-12-20,6,False,False,False,True,-0.245
2022-12-20,2022-12-21,1,False,False,True,False,-0.016
2023-01-04,2023-01-10,6,False,False,False,False,0.724
2023-01-10,2023-01-11,1,False,False,False,False,0.256
2023-01-15,2023-01-19,4,False,False,False,True,1.777
2023-03-05,2023-03-06,1,False,False,True,False,-0.58
2023-03-06,2023-03-13,7,False,False,False,False,-1.014
