window,response,fit,slope,ceiling,half_sat,rmse
PRE2021,FIELD,CLAMPED,1.5375,0.527,-1.5313,0.2092
PRE2021,FIELD,UNCLAMPED,1.5375,0.527,-1.5313,0.2092
PRE2021,FIELD,ROBUST_BOUNDED,1.5375,0.527,-1.5313,0.2092
PRE2021,26-100,CLAMPED,1.6643,0.5563,-1.3199,0.2922
PRE2021,26-100,UNCLAMPED,1.6644,0.5563,-1.3199,0.2922
PRE2021,26-100,ROBUST_BOUNDED,1.664,0.5563,-1.32,0.2922
PRE2021,101-250,CLAMPED,1.696,0.5397,-1.3971,0.2528
PRE2021,101-250,UNCLAMPED,1.696,0.5397,-1.397,0.2528
PRE2021,101-250,ROBUST_BOUNDED,1.696,0.5397,-1.3971,0.2528
PRE2021,251-500,CLAMPED,1.7386,0.5266,-1.4679,0.2205
PRE2021,251-500,UNCLAMPED,1.7384,0.5266,-1.4679,0.2205
PRE2021,251-500,ROBUST_BOUNDED,1.7381,0.5266,-1.468,0.2205
PRE2021,501-750,CLAMPED,1.458,0.5212,-1.5891,0.1942
PRE2021,501-750,UNCLAMPED,1.458,0.5212,-1.5891,0.1942
PRE2021,501-750,ROBUST_BOUNDED,1.458,0.5212,-1.5891,0.1942
PRE2021,751-1000,CLAMPED,1.4906,0.5216,-1.5907,0.1893
PRE2021,751-1000,UNCLAMPED,1.4906,0.5216,-1.5907,0.1893
PRE2021,751-1000,ROBUST_BOUNDED,1.4906,0.5216,-1.5907,0.1893
PRE2021,1001-1500,CLAMPED,1.3958,0.516,-1.6666,0.1746
PRE2021,1001-1500,UNCLAMPED,1.3958,0.516,-1.6666,0.1746
PRE2021,1001-1500,ROBUST_BOUNDED,1.3957,0.516,-1.6666,0.1746
PRE2021,1501-2000,CLAMPED,1.0135,0.5158,-2.0473,0.1922
PRE2021,1501-2000,UNCLAMPED,1.0136,0.5158,-2.0472,0.1922
PRE2021,1501-2000,ROBUST_BOUNDED,1.0136,0.5158,-2.0472,0.1922
DURING_2022,FIELD,CLAMPED,0.0919,1.1,2.9932,0.2429
DURING_2022,FIELD,UNCLAMPED,0.0914,1.1722,4.1789,0.2428
DURING_2022,FIELD,ROBUST_BOUNDED,0.0914,1.1721,4.1789,0.2428
DURING_2022,26-100,CLAMPED,0.0698,1.1,3.0029,0.3402
DURING_2022,26-100,UNCLAMPED,0.0698,1.1534,4.1789,0.3402
DURING_2022,26-100,ROBUST_BOUNDED,0.0698,1.1534,4.1789,0.3402
DURING_2022,101-250,CLAMPED,0.0762,1.1,2.9854,0.2982
DURING_2022,101-250,UNCLAMPED,0.0761,1.1595,4.1789,0.2982
DURING_2022,101-250,ROBUST_BOUNDED,0.0761,1.1595,4.1789,0.2982
DURING_2022,251-500,CLAMPED,0.1021,1.1,2.452,0.2637
DURING_2022,251-500,UNCLAMPED,0.1002,1.216,4.1789,0.2637
DURING_2022,251-500,ROBUST_BOUNDED,0.1002,1.216,4.1789,0.2637
DURING_2022,501-750,CLAMPED,0.0984,1.1,2.7598,0.2303
DURING_2022,501-750,UNCLAMPED,0.0969,1.191,4.1789,0.2303
DURING_2022,501-750,ROBUST_BOUNDED,0.0969,1.191,4.1789,0.2303
DURING_2022,751-1000,CLAMPED,0.0975,1.1,3.18,0.2047
DURING_2022,751-1000,UNCLAMPED,0.0972,1.1659,4.1789,0.2047
DURING_2022,751-1000,ROBUST_BOUNDED,0.0972,1.1659,4.1789,0.2047
DURING_2022,1001-1500,CLAMPED,0.1002,1.1,3.1724,0.1981
DURING_2022,1001-1500,UNCLAMPED,0.0998,1.1682,4.1789,0.1981
DURING_2022,1001-1500,ROBUST_BOUNDED,0.0998,1.1682,4.1789,0.1981
DURING_2022,1501-2000,CLAMPED,0.1001,1.1,3.3956,0.1977
DURING_2022,1501-2000,UNCLAMPED,0.0998,1.1531,4.1789,0.1976
DURING_2022,1501-2000,ROBUST_BOUNDED,0.0999,1.1532,4.1789,0.1976
POST2022,FIELD,CLAMPED,0.4,0.6739,-2.3486,0.2281
POST2022,FIELD,UNCLAMPED,0.4006,0.6735,-2.3507,0.2281
POST2022,FIELD,ROBUST_BOUNDED,0.4,0.6739,-2.3486,0.2281
POST2022,26-100,CLAMPED,0.4055,0.7376,-1.8975,0.3228
POST2022,26-100,UNCLAMPED,0.4047,0.7383,-1.8931,0.3228
POST2022,26-100,ROBUST_BOUNDED,0.4057,0.7374,-1.8986,0.3228
POST2022,101-250,CLAMPED,0.5092,0.6856,-2.0745,0.2945
POST2022,101-250,UNCLAMPED,0.5094,0.6855,-2.0748,0.2945
POST2022,101-250,ROBUST_BOUNDED,0.5087,0.6859,-2.0734,0.2945
POST2022,251-500,CLAMPED,0.4187,0.7109,-2.0424,0.2579
POST2022,251-500,UNCLAMPED,0.4189,0.7108,-2.0432,0.2579
POST2022,251-500,ROBUST_BOUNDED,0.4183,0.7112,-2.0408,0.2579
POST2022,501-750,CLAMPED,0.3762,0.6957,-2.1863,0.2243
POST2022,501-750,UNCLAMPED,0.3759,0.696,-2.1848,0.2243
POST2022,501-750,ROBUST_BOUNDED,0.3758,0.6961,-2.1839,0.2243
POST2022,751-1000,CLAMPED,0.3632,0.6612,-2.54,0.1978
POST2022,751-1000,UNCLAMPED,0.3632,0.6611,-2.5402,0.1978
POST2022,751-1000,ROBUST_BOUNDED,0.3632,0.6611,-2.5403,0.1978
POST2022,1001-1500,CLAMPED,0.4074,0.5944,-3.1774,0.1763
POST2022,1001-1500,UNCLAMPED,0.4074,0.5944,-3.1774,0.1763
POST2022,1001-1500,ROBUST_BOUNDED,0.4073,0.5945,-3.1773,0.1763
POST2022,1501-2000,CLAMPED,0.3166,0.6467,-2.7883,0.1626
POST2022,1501-2000,UNCLAMPED,0.3165,0.6468,-2.7879,0.1626
POST2022,1501-2000,ROBUST_BOUNDED,0.3165,0.6468,-2.7877,0.1626
