motif,n,base_delivery,resolution_type
HIGH_DEMAND_LOW_TRANSFER,147,0.095,
HIGH_DEMAND_OPEN_EXITS,674,0.409,
THRESHOLD_CROSSED_NO_RECRUITMENT,674,0.628,
CAPACITY_AVAILABLE_NO_COMMITMENT,664,0.414,
EXIT_CONCENTRATION_WITH_PROPAGATION,285,1.0,
SATURATION_WITHOUT_DELIVERY,266,0.0,
