state,feature,band,n,reopen_rate,min_reopen_band,min_below_threshold
6C_0,entropy,1,475,0.979,6,commitment_at_band_ge_6
6C_0,entropy,2,475,0.979,6,commitment_at_band_ge_6
6C_0,entropy,3,475,0.979,6,commitment_at_band_ge_6
6C_0,entropy,4,475,0.979,6,commitment_at_band_ge_6
6C_0,entropy,5,479,0.979,6,commitment_at_band_ge_6
6C_1,p1,1,45,1.0,6,commitment_at_band_ge_6
6C_1,p1,2,96,1.0,6,commitment_at_band_ge_6
6C_1,p1,3,70,1.0,6,commitment_at_band_ge_6
6C_1,p1,4,64,1.0,6,commitment_at_band_ge_6
6C_1,p1,5,49,1.0,6,commitment_at_band_ge_6
6C_1,entropy,1,70,1.0,6,commitment_at_band_ge_6
6C_1,entropy,2,119,1.0,6,commitment_at_band_ge_6
6C_1,entropy,3,88,1.0,6,commitment_at_band_ge_6
6C_1,entropy,4,109,1.0,6,commitment_at_band_ge_6
6C_1,entropy,5,62,1.0,6,commitment_at_band_ge_6
6C_2,entropy,1,480,1.0,6,commitment_at_band_ge_6
6C_2,entropy,2,480,1.0,6,commitment_at_band_ge_6
6C_2,entropy,3,480,1.0,6,commitment_at_band_ge_6
6C_2,entropy,4,480,1.0,6,commitment_at_band_ge_6
6C_2,entropy,5,499,1.0,6,commitment_at_band_ge_6
6C_3,p1,1,18,1.0,6,commitment_at_band_ge_6
6C_3,p1,2,23,1.0,6,commitment_at_band_ge_6
6C_3,p1,3,31,1.0,6,commitment_at_band_ge_6
6C_3,p1,4,36,1.0,6,commitment_at_band_ge_6
6C_3,p1,5,23,1.0,6,commitment_at_band_ge_6
6C_3,entropy,1,52,1.0,6,commitment_at_band_ge_6
6C_3,entropy,2,62,1.0,6,commitment_at_band_ge_6
6C_3,entropy,3,43,1.0,6,commitment_at_band_ge_6
6C_3,entropy,4,34,1.0,6,commitment_at_band_ge_6
6C_3,entropy,5,30,1.0,6,commitment_at_band_ge_6
6C_4,p1,1,65,1.0,6,commitment_at_band_ge_6
6C_4,p1,2,169,1.0,6,commitment_at_band_ge_6
6C_4,p1,3,79,1.0,6,commitment_at_band_ge_6
6C_4,p1,4,89,1.0,6,commitment_at_band_ge_6
6C_4,p1,5,60,1.0,6,commitment_at_band_ge_6
6C_4,entropy,1,223,1.0,6,commitment_at_band_ge_6
6C_4,entropy,2,223,1.0,6,commitment_at_band_ge_6
6C_4,entropy,3,323,1.0,6,commitment_at_band_ge_6
6C_4,entropy,4,133,1.0,6,commitment_at_band_ge_6
6C_4,entropy,5,105,1.0,6,commitment_at_band_ge_6
6C_5,p1,1,22,1.0,6,commitment_at_band_ge_6
6C_5,p1,2,34,1.0,6,commitment_at_band_ge_6
6C_5,p1,3,19,1.0,6,commitment_at_band_ge_6
6C_5,p1,4,19,1.0,6,commitment_at_band_ge_6
6C_5,p1,5,19,1.0,6,commitment_at_band_ge_6
6C_5,entropy,1,194,1.0,6,commitment_at_band_ge_6
6C_5,entropy,2,194,1.0,6,commitment_at_band_ge_6
6C_5,entropy,3,194,1.0,6,commitment_at_band_ge_6
6C_5,entropy,4,222,1.0,6,commitment_at_band_ge_6
6C_5,entropy,5,61,1.0,6,commitment_at_band_ge_6
