start,end,dur,peak_law_absz,forcing,threshold_inversion
2022-07-29,2022-11-22,117,4.76,-1.185,False
2022-12-04,2023-03-02,89,7.317,-0.448,False
2023-08-26,2023-10-04,36,7.838,-0.647,False
2024-04-25,2024-06-27,63,9.443,-0.448,False
2024-12-31,2025-01-09,10,3.497,-0.37,False
2025-03-18,2025-06-09,84,6.783,0.218,False
2026-01-04,2026-08-23,232,8.094,-0.505,False
