variable,n_post,post_mean_absz,pre_mean_absz,displacement,post_breaches,verbose_scar,verdict
slope_FIELD,180,2.863,1.023,1.841,117.0,True,STRUCTURAL_SCAR
ceiling_FIELD,180,1.376,0.665,0.711,25.0,True,STRUCTURAL_SCAR
onset_FIELD,180,1.123,0.759,0.364,18.0,True,STRUCTURAL_SCAR
slope_patch_mean,180,2.938,0.889,2.049,119.0,True,STRUCTURAL_SCAR
ceiling_patch_mean,180,1.286,0.651,0.636,22.0,True,STRUCTURAL_SCAR
onset_patch_mean,180,1.149,0.62,0.529,18.0,True,STRUCTURAL_SCAR
exit_entropy,180,0.82,0.882,-0.062,3.0,True,STRUCTURAL_SCAR
exit_p1,180,0.667,1.104,-0.437,0.0,False,STRUCTURAL_SCAR
recruitment,180,0.813,5.592,-4.779,0.0,False,STRUCTURAL_SCAR
