state,dest,mechanism,dur,persist_days,reopened_after,rank7_post,transfer_post,p1_at_exit,entropy_at_exit
6C_0,6C_1,EDGE_PRUNING,59.0,7,True,1.0,0.477,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,4.0,6,True,0.75,0.548,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,4.0,7,True,0.875,0.477,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,29.0,7,True,1.0,0.523,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,70.0,7,True,1.0,0.477,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,54.0,6,True,0.75,0.499,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,8.0,7,True,1.0,0.523,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,29.0,6,True,0.875,0.499,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,11.0,7,True,1.0,0.519,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,36.0,7,True,0.875,0.88,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,3.0,7,True,1.0,0.88,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,4.0,7,True,0.75,0.88,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,12.0,7,True,0.5,0.869,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,14.0,7,True,1.0,0.88,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,45.0,7,True,0.75,,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,37.0,6,True,0.75,0.714,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,11.0,7,True,1.0,0.932,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,4.0,7,True,1.0,0.929,1.0,-0.0
6C_0,6C_1,EDGE_PRUNING,24.0,7,True,0.75,0.929,1.0,-0.0
6C_1,6C_5,EDGE_PRUNING,7.0,1,True,0.125,0.225,0.857,0.592
6C_1,6C_5,EDGE_PRUNING,3.0,1,True,1.0,0.566,0.8,0.722
6C_1,6C_0,PRESSURE_CONCENTRATION,6.0,1,True,0.0,0.701,0.857,0.592
6C_1,6C_5,EDGE_PRUNING,7.0,1,True,0.0,0.633,0.857,0.592
6C_1,6C_2,EDGE_PRUNING,7.0,1,True,0.625,0.523,1.0,-0.0
6C_1,6C_2,EDGE_PRUNING,7.0,1,True,1.0,0.701,0.857,0.592
6C_1,6C_5,EDGE_PRUNING,7.0,1,True,1.0,0.454,1.0,-0.0
6C_1,6C_5,PRESSURE_CONCENTRATION,5.0,1,True,1.0,0.225,0.857,0.592
6C_1,6C_0,PRESSURE_CONCENTRATION,6.0,1,True,0.625,0.225,0.857,0.592
6C_1,6C_5,PRESSURE_CONCENTRATION,5.0,1,True,1.0,0.633,0.857,0.592
6C_1,6C_2,EDGE_PRUNING,7.0,1,True,1.0,0.701,0.857,0.592
6C_1,6C_0,PRESSURE_CONCENTRATION,6.0,1,True,1.0,0.225,0.857,0.592
6C_1,6C_4,EDGE_PRUNING,7.0,2,True,1.0,0.44,1.0,-0.0
6C_1,6C_4,PRESSURE_CONCENTRATION,5.0,1,True,1.0,0.519,0.833,0.65
6C_1,6C_4,EDGE_PRUNING,7.0,1,True,1.0,0.519,0.5,1.0
6C_1,6C_4,EDGE_PRUNING,6.0,1,True,1.0,0.519,0.833,0.65
6C_1,6C_4,EDGE_PRUNING,7.0,1,True,0.625,0.101,0.857,0.592
6C_1,6C_2,PRESSURE_CONCENTRATION,5.0,1,True,0.75,1.189,0.75,0.811
6C_1,6C_4,EDGE_PRUNING,7.0,1,True,1.0,0.657,1.0,-0.0
6C_1,6C_4,PRESSURE_CONCENTRATION,4.0,2,True,1.0,0.635,0.6,0.971
6C_1,6C_2,PRESSURE_CONCENTRATION,4.0,1,True,0.125,1.296,0.8,0.722
6C_1,6C_4,EDGE_PRUNING,7.0,1,True,1.0,0.758,0.5,1.0
