motif_a,motif_b,feature_profile_distance
HIGH_DEMAND_LOW_TRANSFER,HIGH_DEMAND_OPEN_EXITS,0.945
HIGH_DEMAND_LOW_TRANSFER,THRESHOLD_CROSSED_NO_RECRUITMENT,1.957
HIGH_DEMAND_LOW_TRANSFER,CAPACITY_AVAILABLE_NO_COMMITMENT,0.964
HIGH_DEMAND_LOW_TRANSFER,EXIT_CONCENTRATION_WITH_PROPAGATION,1.625
HIGH_DEMAND_LOW_TRANSFER,SATURATION_WITHOUT_DELIVERY,0.652
HIGH_DEMAND_OPEN_EXITS,THRESHOLD_CROSSED_NO_RECRUITMENT,1.319
HIGH_DEMAND_OPEN_EXITS,CAPACITY_AVAILABLE_NO_COMMITMENT,0.022
HIGH_DEMAND_OPEN_EXITS,EXIT_CONCENTRATION_WITH_PROPAGATION,1.352
HIGH_DEMAND_OPEN_EXITS,SATURATION_WITHOUT_DELIVERY,0.331
THRESHOLD_CROSSED_NO_RECRUITMENT,CAPACITY_AVAILABLE_NO_COMMITMENT,1.316
THRESHOLD_CROSSED_NO_RECRUITMENT,EXIT_CONCENTRATION_WITH_PROPAGATION,0.955
THRESHOLD_CROSSED_NO_RECRUITMENT,SATURATION_WITHOUT_DELIVERY,1.491
CAPACITY_AVAILABLE_NO_COMMITMENT,EXIT_CONCENTRATION_WITH_PROPAGATION,1.361
CAPACITY_AVAILABLE_NO_COMMITMENT,SATURATION_WITHOUT_DELIVERY,0.348
EXIT_CONCENTRATION_WITH_PROPAGATION,SATURATION_WITHOUT_DELIVERY,1.379
