rank_band,index,gap_raw,gap_controlled_gvarsingleton,strength_band,verdict
26-100,0,0.172,0.172,STRONG,RANK_LOCAL_HYSTERESIS
101-250,1,0.162,0.162,STRONG,RANK_LOCAL_HYSTERESIS
251-500,2,0.148,0.148,STRONG,RANK_LOCAL_HYSTERESIS
501-750,3,0.136,0.136,STRONG,RANK_LOCAL_HYSTERESIS
751-1000,4,0.125,0.125,STRONG,RANK_LOCAL_HYSTERESIS
1001-1500,5,0.117,0.117,MODERATE,RANK_LOCAL_HYSTERESIS
1501-2000,6,0.114,0.114,MODERATE,RANK_LOCAL_HYSTERESIS
