family_a,family_b,n_cooccur_high,frac_cooccur,mean_sat_under_comb,mean_p1_under_comb,mean_recruit_under_comb,mean_prop_under_comb,thr_pos_mean
PARTICIPATION_FORCING,DISPERSION_FORCING,234,0.107,0.697,0.538,0.868,0.496,0.297
PARTICIPATION_FORCING,VOLATILITY_FORCING,170,0.077,0.743,0.441,0.882,0.394,0.279
PARTICIPATION_FORCING,BTC_ANCHOR_FORCING,300,0.137,0.701,0.594,0.853,0.433,0.596
PARTICIPATION_FORCING,ETH_RELATIVE_FORCING,250,0.114,0.705,0.571,0.836,0.536,0.202
PARTICIPATION_FORCING,RANK_RECRUITMENT_FORCING,167,0.076,0.685,0.491,0.85,0.407,0.055
PARTICIPATION_FORCING,CONCENTRATION_RELEASE_FORCING,211,0.096,0.717,0.497,0.839,0.569,0.251
PARTICIPATION_FORCING,STABLECOIN_CAPITAL_FORCING,189,0.086,0.703,0.461,0.799,0.481,0.646
PARTICIPATION_FORCING,PHYSICAL_DISTURBANCE_FORCING,255,0.116,0.686,0.476,0.851,0.663,0.885
DISPERSION_FORCING,VOLATILITY_FORCING,145,0.066,0.504,0.455,0.959,0.248,-0.077
DISPERSION_FORCING,BTC_ANCHOR_FORCING,284,0.129,0.564,0.517,0.88,0.5,0.62
DISPERSION_FORCING,ETH_RELATIVE_FORCING,234,0.107,0.547,0.516,0.897,0.59,0.247
DISPERSION_FORCING,RANK_RECRUITMENT_FORCING,172,0.078,0.496,0.429,0.913,0.442,-0.128
DISPERSION_FORCING,CONCENTRATION_RELEASE_FORCING,234,0.107,0.516,0.47,0.91,0.59,0.037
DISPERSION_FORCING,STABLECOIN_CAPITAL_FORCING,182,0.083,0.5,0.387,0.813,0.522,0.586
DISPERSION_FORCING,PHYSICAL_DISTURBANCE_FORCING,254,0.116,0.525,0.406,0.878,0.689,0.809
VOLATILITY_FORCING,BTC_ANCHOR_FORCING,187,0.085,0.548,0.487,0.914,0.465,0.699
VOLATILITY_FORCING,ETH_RELATIVE_FORCING,202,0.092,0.51,0.444,0.896,0.52,0.328
VOLATILITY_FORCING,RANK_RECRUITMENT_FORCING,163,0.074,0.465,0.406,0.865,0.423,0.005
VOLATILITY_FORCING,CONCENTRATION_RELEASE_FORCING,279,0.127,0.498,0.369,0.914,0.563,0.3
VOLATILITY_FORCING,STABLECOIN_CAPITAL_FORCING,361,0.164,0.484,0.446,0.859,0.543,0.573
VOLATILITY_FORCING,PHYSICAL_DISTURBANCE_FORCING,229,0.104,0.509,0.407,0.882,0.782,0.888
BTC_ANCHOR_FORCING,ETH_RELATIVE_FORCING,244,0.111,0.585,0.544,0.832,0.557,0.513
BTC_ANCHOR_FORCING,RANK_RECRUITMENT_FORCING,155,0.071,0.557,0.494,0.903,0.394,0.458
BTC_ANCHOR_FORCING,CONCENTRATION_RELEASE_FORCING,156,0.071,0.593,0.487,0.833,0.667,0.737
BTC_ANCHOR_FORCING,STABLECOIN_CAPITAL_FORCING,235,0.107,0.533,0.422,0.817,0.519,0.911
BTC_ANCHOR_FORCING,PHYSICAL_DISTURBANCE_FORCING,322,0.147,0.561,0.454,0.848,0.621,1.053
ETH_RELATIVE_FORCING,RANK_RECRUITMENT_FORCING,165,0.075,0.504,0.506,0.879,0.406,-0.069
ETH_RELATIVE_FORCING,CONCENTRATION_RELEASE_FORCING,281,0.128,0.533,0.486,0.847,0.651,0.287
ETH_RELATIVE_FORCING,STABLECOIN_CAPITAL_FORCING,250,0.114,0.509,0.424,0.788,0.62,0.592
ETH_RELATIVE_FORCING,PHYSICAL_DISTURBANCE_FORCING,287,0.131,0.541,0.477,0.861,0.711,0.685
RANK_RECRUITMENT_FORCING,CONCENTRATION_RELEASE_FORCING,164,0.075,0.471,0.414,0.841,0.579,-0.17
RANK_RECRUITMENT_FORCING,STABLECOIN_CAPITAL_FORCING,139,0.063,0.468,0.314,0.827,0.619,0.446
RANK_RECRUITMENT_FORCING,PHYSICAL_DISTURBANCE_FORCING,150,0.068,0.521,0.269,0.907,0.693,0.505
CONCENTRATION_RELEASE_FORCING,STABLECOIN_CAPITAL_FORCING,297,0.135,0.503,0.361,0.822,0.684,0.584
CONCENTRATION_RELEASE_FORCING,PHYSICAL_DISTURBANCE_FORCING,296,0.135,0.518,0.433,0.845,0.831,0.743
STABLECOIN_CAPITAL_FORCING,PHYSICAL_DISTURBANCE_FORCING,337,0.153,0.507,0.38,0.837,0.694,0.9
