patch,layer,label,n,gap_raw,gap_controlled
26-100,state,6C_0,482,0.097,0.131
26-100,state,6C_1,288,,0.291
26-100,state,6C_2,499,0.162,0.173
26-100,state,6C_3,142,,
26-100,state,6C_4,511,0.085,0.105
26-100,state,6C_5,274,,0.136
101-250,state,6C_0,482,0.067,0.108
101-250,state,6C_1,288,,0.248
101-250,state,6C_2,499,0.153,0.163
101-250,state,6C_3,142,,
101-250,state,6C_4,511,0.083,0.105
101-250,state,6C_5,274,,0.141
251-500,state,6C_0,482,0.067,0.107
251-500,state,6C_1,288,,0.217
251-500,state,6C_2,499,0.142,0.15
251-500,state,6C_3,142,,
251-500,state,6C_4,511,0.095,0.108
251-500,state,6C_5,274,,0.127
501-750,state,6C_0,482,0.05,0.09
501-750,state,6C_1,288,,0.185
501-750,state,6C_2,499,0.147,0.142
501-750,state,6C_3,142,,
501-750,state,6C_4,511,0.09,0.107
501-750,state,6C_5,274,,0.117
751-1000,state,6C_0,482,0.066,0.099
751-1000,state,6C_1,288,,0.187
751-1000,state,6C_2,499,0.142,0.13
751-1000,state,6C_3,142,,
751-1000,state,6C_4,511,0.09,0.101
751-1000,state,6C_5,274,,0.096
1001-1500,state,6C_0,482,0.051,0.087
1001-1500,state,6C_1,288,,0.186
1001-1500,state,6C_2,499,0.136,0.122
1001-1500,state,6C_3,142,,
1001-1500,state,6C_4,511,0.085,0.1
1001-1500,state,6C_5,274,,0.077
1501-2000,state,6C_0,482,0.065,0.093
1501-2000,state,6C_1,288,,0.202
1501-2000,state,6C_2,499,0.122,0.112
1501-2000,state,6C_3,142,,
1501-2000,state,6C_4,511,0.073,0.089
1501-2000,state,6C_5,274,,0.078
