stage,date,deviation_index
DEVIATION_ONSET,2021-12-16,1.913
BREAK_CONFIRMATION,2021-12-18,2.226
PEAK_DISTORTION,2022-02-26,5.568
EARLY_RECOVERY,2022-03-17,2.749
SHAPE_NORMALIZATION,2022-06-27,1.752
FULL_SNAPBACK_14D,2022-06-28,
FULL_SNAPBACK_30D,2022-06-28,
FULL_SNAPBACK_60D,2023-04-05,
