state,start,end,dur,live_exits_mean,p1_mean,p2_mean,p1_p2_gap,entropy_mean,route_deform_js,demand,capacity,transfer_eff,threshold_pos,saturation_pos,forcing,exit_occurred,reopened_after,subperiod
6C_0,2020-07-01,2020-08-28,59,0.12,0.119,,,0.0,0.081,0.026,0.808,0.701,0.538,0.503,1.464,True,True,2020-2021
6C_0,2020-12-31,2021-01-30,29,0.24,0.241,,,0.0,0.091,0.53,0.808,0.701,1.117,0.533,3.037,True,True,2020-2021
6C_0,2021-02-16,2021-04-26,70,0.1,0.1,,,0.0,0.079,0.029,0.808,0.701,1.075,0.496,2.923,False,True,2020-2021
6C_0,2021-07-21,2021-09-12,54,0.13,0.13,,,0.0,0.078,0.469,0.808,0.701,0.24,0.561,0.653,True,True,2020-2021
6C_0,2021-10-13,2021-10-20,8,0.88,0.875,,,0.0,0.144,0.475,0.808,0.701,0.156,0.552,0.423,True,True,2020-2021
6C_0,2021-10-29,2021-11-26,29,0.24,0.241,,,0.0,0.085,0.185,0.808,0.701,0.155,0.474,0.423,True,True,2020-2021
6C_0,2022-03-29,2022-04-08,11,0.64,0.636,,,0.0,0.124,0.207,0.808,,-0.033,0.448,-0.093,True,True,2022
6C_0,2023-01-20,2023-02-24,36,0.19,0.194,,,0.0,0.087,0.081,0.808,1.844,0.504,0.518,0.196,True,True,2023
6C_0,2023-10-26,2023-11-06,12,0.58,0.583,,,0.0,0.12,0.667,0.808,1.844,1.791,0.58,0.698,True,True,2023
6C_0,2023-11-17,2023-12-01,14,0.5,0.5,,,0.0,0.113,-0.055,0.808,1.844,1.815,0.522,0.708,True,True,2023
6C_0,2024-02-17,2024-04-01,45,0.16,0.156,,,0.0,0.084,0.345,0.808,0.714,0.643,0.505,1.032,True,True,2024
6C_0,2024-11-13,2024-12-19,37,0.19,0.189,,,0.0,0.082,-0.55,0.808,0.714,0.919,0.483,1.476,True,True,2024
6C_0,2025-05-05,2025-05-15,11,0.64,0.636,,,0.0,0.124,0.203,0.808,,1.279,0.52,0.952,True,True,2025-2026
6C_0,2026-04-16,2026-05-09,24,0.29,0.292,,,0.0,0.095,0.567,0.808,,0.345,0.513,0.257,True,True,2025-2026
6C_1,2021-01-31,2021-02-06,7,1.0,1.0,,,0.0,0.202,-0.313,0.866,0.523,1.317,0.587,3.581,True,True,2020-2021
6C_1,2021-04-27,2021-05-03,7,1.0,1.0,,,0.0,0.173,-1.162,0.866,0.523,0.454,0.545,1.234,True,True,2020-2021
6C_1,2022-04-09,2022-04-15,7,1.0,1.0,,,0.0,0.186,0.408,0.866,,-0.272,0.493,-0.773,True,True,2022
6C_1,2023-07-16,2023-07-23,7,1.0,1.0,,,0.0,0.171,-0.608,0.866,0.991,-0.061,0.427,-0.024,True,True,2023
6C_1,2026-05-10,2026-05-16,7,1.0,1.0,,,0.0,0.173,-0.315,0.866,1.005,0.115,0.378,0.085,True,True,2025-2026
6C_2,2020-06-01,2020-06-23,23,0.3,0.304,,,0.0,0.103,,0.937,,,0.46,,True,True,2020-2021
6C_2,2020-11-27,2020-12-08,12,0.58,0.583,,,0.0,0.12,,0.937,,,0.518,,True,True,2020-2021
6C_2,2021-05-30,2021-06-27,28,0.25,0.25,,,0.0,0.109,-0.015,0.937,,-0.028,0.459,-0.076,True,True,2020-2021
6C_2,2021-12-17,2022-02-18,37,0.19,0.189,,,0.0,0.107,-0.172,0.937,0.042,-0.239,0.478,-0.649,True,True,2020-2021
6C_2,2022-04-23,2022-06-02,41,0.17,0.171,,,0.0,0.106,-0.026,0.937,0.042,-0.664,0.424,-1.883,True,True,2022
6C_2,2022-06-13,2022-07-05,23,0.3,0.304,,,0.0,0.111,0.186,0.937,0.042,-0.704,0.478,-1.997,True,True,2022
6C_2,2022-08-26,2022-08-31,6,1.0,1.0,,,0.0,0.151,-0.69,0.937,0.042,-0.584,0.388,-1.657,True,True,2022
6C_2,2022-09-17,2022-09-26,10,0.7,0.7,,,0.0,0.123,-0.036,0.937,0.042,-0.61,0.442,-1.731,True,True,2022
6C_2,2022-10-07,2022-10-13,7,1.0,1.0,,,0.0,0.133,-0.487,0.937,0.042,-0.575,0.359,-1.631,True,True,2022
6C_2,2022-11-11,2022-12-01,21,0.33,0.333,,,0.0,0.103,-0.174,0.937,0.042,-0.524,0.452,-1.485,True,True,2022
6C_2,2022-12-22,2023-01-03,13,0.54,0.538,,,0.0,0.104,-0.214,0.937,0.036,-1.383,0.457,-1.491,True,True,2022
6C_2,2023-03-18,2023-03-25,8,0.88,0.875,,,0.0,0.129,-0.241,0.937,0.016,-0.301,0.407,-0.117,True,True,2023
6C_2,2023-04-30,2023-06-23,51,0.14,0.137,,,0.0,0.105,-0.191,0.937,0.016,-2.624,0.456,-1.023,True,True,2023
6C_2,2023-08-23,2023-09-07,15,0.47,0.467,,,0.0,0.104,0.173,0.937,0.016,-2.226,0.473,-0.868,True,True,2023
6C_2,2024-01-21,2024-01-29,9,0.78,0.778,,,0.0,0.126,-0.384,0.937,0.0,-0.457,0.467,-0.733,True,True,2024
6C_2,2024-06-14,2024-07-10,27,0.26,0.259,,,0.0,0.103,-0.34,0.937,0.0,-0.583,0.431,-0.935,True,True,2024
6C_2,2024-07-30,2024-08-14,15,0.47,0.467,,,0.0,0.116,-0.451,0.937,0.0,-0.323,0.363,-0.518,True,True,2024
6C_2,2025-01-31,2025-02-07,8,0.88,0.875,,,0.0,0.129,-1.116,0.937,0.379,-0.694,0.287,-0.517,True,True,2025-2026
6C_2,2025-03-10,2025-04-01,23,0.3,0.304,,,0.0,0.111,-0.083,0.937,0.379,-0.349,0.476,-0.26,True,True,2025-2026
6C_2,2025-06-07,2025-07-03,27,0.26,0.259,,,0.0,0.103,-0.212,0.937,0.379,-0.412,0.437,-0.307,True,True,2025-2026
6C_2,2025-11-11,2025-12-05,25,0.28,0.28,,,0.0,0.11,-0.325,0.937,0.379,-1.214,0.384,-0.904,True,True,2025-2026
6C_2,2026-02-08,2026-02-27,20,0.35,0.35,,,0.0,0.112,-0.156,0.937,0.379,-1.042,0.427,-0.776,True,True,2025-2026
6C_2,2026-06-16,2026-06-24,9,0.78,0.778,,,0.0,0.126,-0.495,0.937,0.379,-1.227,0.334,-0.914,True,True,2025-2026
6C_4,2022-03-12,2022-03-17,6,1.0,1.0,,,0.0,0.154,0.22,1.1,0.519,-0.368,0.532,-1.045,True,True,2022
6C_4,2022-09-01,2022-09-07,7,1.0,1.0,,,0.0,0.245,-0.112,1.1,0.519,-0.541,0.47,-1.534,True,True,2022
6C_4,2023-03-26,2023-03-31,6,0.67,0.667,,,0.0,0.157,0.326,1.1,0.101,-2.412,0.572,-0.941,True,True,2023
6C_4,2023-06-25,2023-06-29,5,1.0,1.0,,,0.0,0.183,-0.099,1.1,0.101,-0.503,0.441,-0.196,True,True,2023
6C_4,2023-08-09,2023-08-15,7,0.86,0.857,,,0.0,0.173,-0.472,1.1,0.101,-2.19,0.393,-0.854,True,True,2023
6C_4,2024-01-30,2024-02-05,7,1.0,1.0,,,0.0,0.141,-0.504,1.1,0.338,-0.219,0.392,-0.352,True,True,2024
6C_4,2024-04-28,2024-05-04,7,1.0,1.0,,,0.0,0.158,-0.198,1.1,0.338,-0.493,0.478,-0.792,True,True,2024
6C_4,2024-08-26,2024-09-01,7,1.0,1.0,,,0.0,0.129,-0.685,1.1,0.338,-0.253,0.259,-0.406,True,True,2024
6C_4,2025-02-08,2025-02-13,6,1.0,1.0,,,0.0,0.174,-0.227,1.1,0.42,0.096,0.514,0.072,True,True,2025-2026
6C_4,2025-02-24,2025-03-02,7,1.0,1.0,,,0.0,0.174,0.048,1.1,0.42,-1.644,0.458,-1.224,True,True,2025-2026
6C_4,2025-08-17,2025-08-27,11,0.64,0.636,,,0.0,0.164,-0.491,1.1,0.42,-0.377,0.408,-0.281,True,True,2025-2026
6C_4,2025-12-06,2025-12-12,7,1.0,1.0,,,0.0,0.162,0.071,1.1,0.42,-0.816,0.44,-0.608,True,True,2025-2026
6C_4,2025-12-16,2025-12-23,8,0.88,0.875,,,0.0,0.201,0.323,1.1,0.42,-1.071,0.427,-0.798,True,True,2025-2026
6C_4,2025-12-28,2026-01-03,7,1.0,1.0,,,0.0,0.138,0.165,1.1,0.42,-1.131,0.518,-0.843,True,True,2025-2026
6C_4,2026-02-28,2026-03-05,6,0.5,0.5,,,0.0,0.171,0.034,1.1,0.42,-0.359,0.488,-0.267,True,True,2025-2026
6C_4,2026-07-04,2026-07-08,5,1.0,1.0,,,0.0,0.133,0.355,1.1,0.42,-0.284,0.382,-0.212,True,True,2025-2026
6C_4,2026-07-15,2026-07-19,5,1.0,1.0,,,0.0,0.139,-0.362,1.1,0.42,-0.812,0.4,-0.605,True,True,2025-2026
6C_4,2026-07-31,2026-08-04,5,1.0,1.0,,,0.0,0.129,-0.44,1.1,0.42,-1.319,0.477,-0.982,True,True,2025-2026
6C_5,2020-09-07,2020-09-17,11,0.36,0.364,,,0.0,0.144,-0.679,0.833,0.157,0.367,0.477,0.997,True,True,2020-2021
6C_5,2020-09-26,2020-10-13,18,0.11,0.111,,,0.0,0.157,-0.043,0.833,0.157,0.047,0.495,0.128,True,True,2020-2021
6C_5,2021-05-12,2021-05-29,18,0.39,0.389,,,0.0,0.18,-1.012,0.833,0.157,0.02,0.382,0.056,True,True,2020-2021
6C_5,2021-07-08,2021-07-13,6,0.5,0.5,,,0.0,0.134,-0.13,0.833,0.157,-0.183,0.378,-0.497,True,True,2020-2021
6C_5,2021-09-20,2021-10-05,15,0.4,0.4,,,0.0,0.184,-0.624,0.833,0.157,-0.175,0.478,-0.477,True,True,2020-2021
6C_5,2021-12-04,2021-12-16,13,0.54,0.538,,,0.0,0.187,-0.028,0.833,0.157,-0.234,0.427,-0.637,True,True,2020-2021
6C_5,2022-03-03,2022-03-11,9,0.78,0.778,,,0.0,0.212,-0.525,0.833,,-0.42,0.37,-1.191,True,True,2022
6C_5,2024-12-27,2025-01-01,6,0.17,0.167,,,0.0,0.152,-0.345,0.833,0.398,-0.262,0.463,-0.339,True,True,2024
6C_5,2025-01-26,2025-01-30,5,1.0,1.0,,,0.0,0.251,-0.504,0.833,0.398,-0.094,0.429,-0.07,True,True,2025-2026
6C_5,2025-09-21,2025-09-28,8,0.62,0.625,,,0.0,0.186,-0.636,0.833,0.398,-0.61,0.404,-0.454,True,True,2025-2026
6C_5,2025-10-07,2025-10-24,18,0.06,0.056,,,0.0,0.16,-0.298,0.833,0.398,-0.411,0.423,-0.306,True,True,2025-2026
6C_5,2026-05-26,2026-06-15,21,0.33,0.333,,,0.0,0.178,-0.362,0.833,0.398,-1.757,0.434,-1.309,True,True,2025-2026
