family_a,family_b,n,coef_a,coef_b,coef_interaction,interaction_abs_std_units,classification
PARTICIPATION_FORCING,DISPERSION_FORCING,2124,0.1752,-0.0047,0.0028,0.0028,ADDITIVE_LIKE
PARTICIPATION_FORCING,VOLATILITY_FORCING,2126,0.1777,0.0113,0.0318,0.0318,SYNERGISTIC_LIKE
PARTICIPATION_FORCING,BTC_ANCHOR_FORCING,2143,0.1765,0.0004,-0.0217,0.0217,ANTAGONISTIC_LIKE
PARTICIPATION_FORCING,ETH_RELATIVE_FORCING,2143,0.1743,0.007,-0.0027,0.0027,ADDITIVE_LIKE
PARTICIPATION_FORCING,RANK_RECRUITMENT_FORCING,2089,0.1811,-0.0035,0.0008,0.0008,ADDITIVE_LIKE
PARTICIPATION_FORCING,CONCENTRATION_RELEASE_FORCING,2188,0.1734,0.0083,0.0044,0.0044,ADDITIVE_LIKE
PARTICIPATION_FORCING,STABLECOIN_CAPITAL_FORCING,2190,0.1734,0.0062,-0.0083,0.0083,ADDITIVE_LIKE
PARTICIPATION_FORCING,PHYSICAL_DISTURBANCE_FORCING,2165,0.1746,-0.0092,-0.0112,0.0112,ADDITIVE_LIKE
DISPERSION_FORCING,VOLATILITY_FORCING,2093,0.0029,-0.0003,0.0001,0.0001,ADDITIVE_LIKE
DISPERSION_FORCING,BTC_ANCHOR_FORCING,2124,0.007,0.0647,-0.0031,0.0031,ADDITIVE_LIKE
DISPERSION_FORCING,ETH_RELATIVE_FORCING,2124,-0.0091,0.0314,0.0055,0.0055,ROUTE_SPECIFIC
DISPERSION_FORCING,RANK_RECRUITMENT_FORCING,2049,-0.0052,-0.0089,-0.0037,0.0037,SYNERGISTIC_LIKE
DISPERSION_FORCING,CONCENTRATION_RELEASE_FORCING,2124,-0.0001,0.0134,0.0054,0.0054,ROUTE_SPECIFIC
DISPERSION_FORCING,STABLECOIN_CAPITAL_FORCING,2124,0.0067,0.004,-0.0037,0.0037,ANTAGONISTIC_LIKE
DISPERSION_FORCING,PHYSICAL_DISTURBANCE_FORCING,2120,-0.0015,0.0155,0.0058,0.0058,ROUTE_SPECIFIC
VOLATILITY_FORCING,BTC_ANCHOR_FORCING,2095,0.004,0.0688,-0.0099,0.0099,ANTAGONISTIC_LIKE
VOLATILITY_FORCING,ETH_RELATIVE_FORCING,2095,-0.0003,0.0347,-0.0086,0.0086,ROUTE_SPECIFIC
VOLATILITY_FORCING,RANK_RECRUITMENT_FORCING,2076,-0.002,-0.0191,0.0086,0.0086,ANTAGONISTIC_LIKE
VOLATILITY_FORCING,CONCENTRATION_RELEASE_FORCING,2126,-0.0009,0.014,-0.0005,0.0005,ADDITIVE_LIKE
VOLATILITY_FORCING,STABLECOIN_CAPITAL_FORCING,2126,-0.0035,0.0116,-0.0043,0.0043,ROUTE_SPECIFIC
VOLATILITY_FORCING,PHYSICAL_DISTURBANCE_FORCING,2120,0.0028,0.0217,0.023,0.023,SYNERGISTIC_LIKE
BTC_ANCHOR_FORCING,ETH_RELATIVE_FORCING,2143,0.0623,0.0259,0.0003,0.0003,ADDITIVE_LIKE
BTC_ANCHOR_FORCING,RANK_RECRUITMENT_FORCING,2049,0.0658,-0.0057,0.0065,0.0065,ADDITIVE_LIKE
BTC_ANCHOR_FORCING,CONCENTRATION_RELEASE_FORCING,2143,0.0662,0.0211,-0.0049,0.0049,ADDITIVE_LIKE
BTC_ANCHOR_FORCING,STABLECOIN_CAPITAL_FORCING,2143,0.0664,-0.0078,-0.0012,0.0012,ADDITIVE_LIKE
BTC_ANCHOR_FORCING,PHYSICAL_DISTURBANCE_FORCING,2120,0.0645,0.0029,-0.014,0.014,ANTAGONISTIC_LIKE
ETH_RELATIVE_FORCING,RANK_RECRUITMENT_FORCING,2049,0.0343,-0.0077,0.0075,0.0075,ROUTE_SPECIFIC
ETH_RELATIVE_FORCING,CONCENTRATION_RELEASE_FORCING,2143,0.03,0.0089,-0.002,0.002,ADDITIVE_LIKE
ETH_RELATIVE_FORCING,STABLECOIN_CAPITAL_FORCING,2143,0.0358,0.0001,-0.0064,0.0064,ANTAGONISTIC_LIKE
ETH_RELATIVE_FORCING,PHYSICAL_DISTURBANCE_FORCING,2120,0.0257,0.0192,0.0125,0.0125,SYNERGISTIC_LIKE
RANK_RECRUITMENT_FORCING,CONCENTRATION_RELEASE_FORCING,2089,-0.0108,0.0127,0.0071,0.0071,ROUTE_SPECIFIC
RANK_RECRUITMENT_FORCING,STABLECOIN_CAPITAL_FORCING,2089,-0.0187,0.0068,0.0079,0.0079,ROUTE_SPECIFIC
RANK_RECRUITMENT_FORCING,PHYSICAL_DISTURBANCE_FORCING,2089,-0.0084,0.055,0.0152,0.0152,ROUTE_SPECIFIC
CONCENTRATION_RELEASE_FORCING,STABLECOIN_CAPITAL_FORCING,2188,0.0103,0.0032,0.0057,0.0057,SYNERGISTIC_LIKE
CONCENTRATION_RELEASE_FORCING,PHYSICAL_DISTURBANCE_FORCING,2165,0.0088,0.0678,0.0055,0.0055,ADDITIVE_LIKE
STABLECOIN_CAPITAL_FORCING,PHYSICAL_DISTURBANCE_FORCING,2165,0.0001,0.0127,0.0068,0.0068,SYNERGISTIC_LIKE
