file,n_rows,n_cells,null_cells,null_frac,failed_flags
02_PRESSURE_CONCENTRATION_ANATOMY.csv,72,1368,158,0.115,
03_CONCENTRATION_PHASES.csv,5,35,11,0.314,DATA_LIMITED:1
04_ROUTE_COMMITMENT.csv,50,350,0,0.0,
05_PRUNING_VS_CONCENTRATION.csv,6,78,0,0.0,
05b_PRUNING_VS_CONCENTRATION_LOGIT.csv,11,33,0,0.0,
06_POST_RESOLUTION_PATHS.csv,184,1840,5,0.003,
06b_POST_RESOLUTION_AGG.csv,2,14,0,0.0,
07_FORCING_PRIMITIVES_DEEP.csv,9,117,0,0.0,
08_FORCING_SIGNATURES.csv,9,90,10,0.111,
09_FORCING_COOCCURRENCE.csv,36,324,0,0.0,
10_FORCING_INTERACTIONS.csv,36,288,0,0.0,
11_FORCING_ROUTE_MAP.csv,162,972,0,0.0,DATA_LIMITED:99
12_SATURATION_MECHANISM.csv,6,12,0,0.0,
13_RESPONSE_NODE_COUPLING.csv,5,20,0,0.0,
14_RESPONSE_COORDINATE_PILOT.csv,24,192,0,0.0,
15_SATURATION_BY_ROUTE.csv,1,9,0,0.0,
16_SATURATION_WITHOUT_DELIVERY.csv,7,56,0,0.0,
17_THRESHOLD_INVERSION_ANATOMY.csv,5,55,0,0.0,
18_THRESHOLD_INVERSION_SPECIES.csv,1,1,0,0.0,DATA_LIMITED:1
19_DEEP_HYSTERESIS_MAP.csv,42,252,28,0.111,
20_HYSTERESIS_BOUNDARIES.csv,7,42,0,0.0,
21_BIRTH_FAILURE_MECHANISM.csv,6,42,3,0.071,
22_LOAD_COMMITMENT_MISMATCH.csv,4,28,0,0.0,
23_BIRTH_RECOVERY.csv,266,2128,2,0.001,
24_POTENTIAL_REALIZATION_CONSTRAINTS.csv,6,48,0,0.0,
25_CONSTRAINT_COMBINATION_LATTICE.csv,41,246,0,0.0,
26_FAILURE_MOTIF_DECOMPOSITION.csv,6,24,6,0.25,
26b_FAILURE_MOTIF_SEPARATION.csv,15,45,0,0.0,
27_REALIZATION_GEOMETRY.csv,5,15,6,0.4,
28_2022_UNCLAMPED_REPAIR.csv,72,504,0,0.0,
29_2022_EVENT_REESTIMATE.csv,8,24,3,0.125,
30_SURFACE_VS_LAW_RECOVERY.csv,14,70,0,0.0,
31_STRUCTURAL_SCAR.csv,9,72,0,0.0,
32_2022_REEXCURSIONS.csv,7,42,0,0.0,
33_2022_EVENT_END.csv,3,12,0,0.0,
34_2022_PRECEDENCE_MAP.csv,14,84,3,0.036,
35_GLOBAL_LAW_HIERARCHY.csv,2,18,0,0.0,
36_PROMOTE_MERGE_DISSOLVE.csv,18,72,0,0.0,
37_NULL_AND_FAILED_RESULTS.csv,39,234,35,0.15,
