family,constituents,amplitude_std,slope_mean_abs_diff,persistence_autocorr,burstiness_p90p50,state_dependence_std,rank_patch_assoc,saturation_node_assoc,threshold_assoc,exit_pressure_assoc,within_family_redundancy,cross_family_corr
PARTICIPATION_FORCING,breadth_vel|pos_ret_share,1.0,0.957,0.276,332.094,0.528,0.786,0.007,0.281,0.025,0.748,0.122
DISPERSION_FORCING,top500_dispersion_7d,1.0,0.081,0.568,5.323,0.084,0.071,0.028,0.024,0.063,0.404,0.092
VOLATILITY_FORCING,vol_med,1.0,0.054,0.991,7.714,0.373,0.005,0.264,0.292,0.165,1.0,0.155
BTC_ANCHOR_FORCING,btc_return_7d,1.0,0.379,0.858,17.688,0.32,0.295,0.062,0.571,0.047,1.0,0.205
ETH_RELATIVE_FORCING,eth_btc_relative_return_7d,1.0,0.356,0.858,8.655,0.226,0.126,0.027,0.111,0.024,1.0,0.122
RANK_RECRUITMENT_FORCING,rank_depth_rel,1.0,0.268,0.918,7.235,0.153,0.055,0.195,0.244,0.035,1.0,0.134
CONCENTRATION_RELEASE_FORCING,top3_share_chg7,1.0,0.434,0.372,57.019,0.073,0.04,0.072,0.024,0.09,1.0,0.111
STABLECOIN_CAPITAL_FORCING,stablecoin_change_7d,1.0,0.169,0.942,4.247,0.36,0.032,0.15,0.645,0.137,1.0,0.205
PHYSICAL_DISTURBANCE_FORCING,total_mcap_chg30,1.0,0.154,0.229,6.837,0.299,0.175,0.199,0.687,0.056,1.0,0.195
