constraint,n_met,n_unmet,p_realize_met,p_realize_unmet,base_rate,lift_met,role
DEMAND,1025,1171,0.402,0.36,0.38,0.022,REDUNDANT
CAPACITY,1152,1044,0.21,0.567,0.38,-0.17,SUBSTITUTABLE
THRESHOLD,1022,1174,0.554,0.228,0.38,0.174,SUBSTITUTABLE
EXIT_PRESSURE,1209,987,0.378,0.382,0.38,-0.002,REDUNDANT
TRANSFER,990,1206,0.583,0.213,0.38,0.203,SUBSTITUTABLE
NON_SATURATED,1756,440,0.376,0.393,0.38,-0.003,REDUNDANT
