order,auc_stage_1,auc_stage_2,auc_stage_3,auc_stage_4,auc_stage_5,gain_first_3,gain_last_2,hierarchy_verdict
ASC_TOPOLOGY,0.715,0.718,0.726,0.596,0.687,0.011,-0.04,PARALLEL_CONSTRAINT_SYSTEM
DESC_TRANSFER,0.828,0.68,0.68,0.69,0.687,-0.148,0.007,PARALLEL_CONSTRAINT_SYSTEM
