variable,n_without,n_with,mean_without,mean_with,diff,ranksums_p,pattern
exit_pressure_p1,440,304,0.562,0.541,0.021,0.611,SATURATION_WITHOUT_DELIVERY_vs_WITH
exit_entropy,440,304,0.318,0.301,0.017,0.644,SATURATION_WITHOUT_DELIVERY_vs_WITH
route_deformation_js,440,304,0.169,0.157,0.012,0.01,SATURATION_WITHOUT_DELIVERY_vs_WITH
transfer_efficiency,325,235,0.359,0.766,-0.407,0.0,SATURATION_WITHOUT_DELIVERY_vs_WITH
capacity,442,304,0.932,0.871,0.061,0.0,SATURATION_WITHOUT_DELIVERY_vs_WITH
threshold_position,400,299,-0.297,0.435,-0.731,0.0,SATURATION_WITHOUT_DELIVERY_vs_WITH
forcing,400,299,-0.226,0.713,-0.939,0.0,SATURATION_WITHOUT_DELIVERY_vs_WITH
