leg,n,median,p90,p95,p99,max
GBPAUD,60,38.0,38.0,38.0,38.0,38.0
GBPNZD,60,52.0,52.0,52.0,52.0,52.0
AUDNZD,60,29.0,29.0,29.0,29.0,29.0
