seq,event_type,ts_utc,dedup_key,payload,payload_hash,source
1,SIGNAL_OBSERVED,2026-08-16T21:41:21.108045+00:00,R5|SIG|2026-08-17 00:35:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
2,SIGNAL_OBSERVED,2026-08-16T21:45:05.507602+00:00,R5|SIG|2026-08-17 00:40:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
3,SIGNAL_OBSERVED,2026-08-16T21:50:05.666208+00:00,R5|SIG|2026-08-17 00:45:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
4,SIGNAL_OBSERVED,2026-08-16T21:55:12.650447+00:00,R5|SIG|2026-08-17 00:50:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
5,SIGNAL_OBSERVED,2026-08-16T22:00:09.869274+00:00,R5|SIG|2026-08-17 00:55:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
6,SIGNAL_OBSERVED,2026-08-16T22:05:03.439530+00:00,R5|SIG|2026-08-17 01:00:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
7,SIGNAL_OBSERVED,2026-08-16T22:10:03.691168+00:00,R5|SIG|2026-08-17 01:05:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
8,SIGNAL_OBSERVED,2026-08-16T22:15:09.462473+00:00,R5|SIG|2026-08-17 01:10:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
9,SIGNAL_OBSERVED,2026-08-16T22:20:09.883958+00:00,R5|SIG|2026-08-17 01:15:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
10,SIGNAL_OBSERVED,2026-08-16T22:25:13.127684+00:00,R5|SIG|2026-08-17 01:20:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
11,SIGNAL_OBSERVED,2026-08-16T22:30:05.641437+00:00,R5|SIG|2026-08-17 01:25:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
12,SIGNAL_OBSERVED,2026-08-16T22:35:05.759218+00:00,R5|SIG|2026-08-17 01:30:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
13,SIGNAL_OBSERVED,2026-08-16T22:40:13.825618+00:00,R5|SIG|2026-08-17 01:35:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
14,SIGNAL_OBSERVED,2026-08-16T22:45:08.958877+00:00,R5|SIG|2026-08-17 01:40:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
15,SIGNAL_OBSERVED,2026-08-16T22:50:09.016189+00:00,R5|SIG|2026-08-17 01:45:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
16,SIGNAL_OBSERVED,2026-08-16T22:55:04.431838+00:00,R5|SIG|2026-08-17 01:50:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
17,SIGNAL_OBSERVED,2026-08-16T23:00:04.481368+00:00,R5|SIG|2026-08-17 01:55:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
18,SIGNAL_OBSERVED,2026-08-16T23:05:11.417079+00:00,R5|SIG|2026-08-17 02:00:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
19,SIGNAL_OBSERVED,2026-08-16T23:10:06.054543+00:00,R5|SIG|2026-08-17 02:05:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
20,SIGNAL_OBSERVED,2026-08-16T23:15:06.108368+00:00,R5|SIG|2026-08-17 02:10:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
21,SIGNAL_OBSERVED,2026-08-16T23:20:13.890234+00:00,R5|SIG|2026-08-17 02:15:00+00:00,"{""z"": 0.0, ""action"": ""no_action""}",ea5f991bbb99a9965e3a6e920dccf773f0aaba8bcd9c6fb947812d71821512d9,
