cycle_id,wall_clock_utc,canonical_bar_open_time,bar_close_time,three_leg_sync,signal_bar_age_sec,bar_gap_status,gbpaud_close,gbpnzd_close,audnzd_close,basis,z,primary_state,primary_decision,control_state,control_decision,bid_ga,ask_ga,bid_gn,ask_gn,bid_an,ask_an,spread_ga,spread_gn,spread_an,quote_age_ms_ga,quote_age_ms_gn,quote_age_ms_an,cross_leg_skew_ms,metadata_hash,ledger_seq,engine_health,reconciliation_state,order_send_guard,shadow_order_would_send,note
1,2026-08-16 17:11:55.571725+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91037,1.91075,2.29761,2.29813,1.20258,1.20287,38.0,52.0,29.0,148616571,148616571,148616571,0,8c82667a5c71b167,0,STALE_SIGNAL_BAR,FLAT_OK,ACTIVE,,STALE_SIGNAL_BAR
2,2026-08-16 17:11:58.586881+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91037,1.91075,2.29761,2.29813,1.20258,1.20287,38.0,52.0,29.0,148619586,148619586,148619586,0,8c82667a5c71b167,0,STALE_SIGNAL_BAR,FLAT_OK,ACTIVE,,STALE_SIGNAL_BAR
3,2026-08-16 17:12:01.588655+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91037,1.91075,2.29761,2.29813,1.20258,1.20287,38.0,52.0,29.0,148622588,148622588,148622588,0,8c82667a5c71b167,0,STALE_SIGNAL_BAR,FLAT_OK,ACTIVE,,STALE_SIGNAL_BAR
4,2026-08-16 17:12:04.590662+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91037,1.91075,2.29761,2.29813,1.20258,1.20287,38.0,52.0,29.0,148625590,148625590,148625590,0,8c82667a5c71b167,0,STALE_SIGNAL_BAR,FLAT_OK,ACTIVE,,STALE_SIGNAL_BAR
1,2026-08-16 17:12:15.727809+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91037,1.91075,2.29761,2.29813,1.20258,1.20287,38.0,52.0,29.0,148636727,148636727,148636727,0,8c82667a5c71b167,0,STALE_SIGNAL_BAR,FLAT_OK,ACTIVE,,STALE_SIGNAL_BAR
2,2026-08-16 17:12:20.736336+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91037,1.91075,2.29761,2.29813,1.20258,1.20287,38.0,52.0,29.0,148641736,148641736,148641736,0,8c82667a5c71b167,0,STALE_SIGNAL_BAR,FLAT_OK,ACTIVE,,STALE_SIGNAL_BAR
3,2026-08-16 17:12:25.738408+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91037,1.91075,2.29761,2.29813,1.20258,1.20287,38.0,52.0,29.0,148646738,148646738,148646738,0,8c82667a5c71b167,0,STALE_SIGNAL_BAR,FLAT_OK,ACTIVE,,STALE_SIGNAL_BAR
4,2026-08-16 17:12:30.740722+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91037,1.91075,2.29761,2.29813,1.20258,1.20287,38.0,52.0,29.0,148651740,148651740,148651740,0,8c82667a5c71b167,0,STALE_SIGNAL_BAR,FLAT_OK,ACTIVE,,STALE_SIGNAL_BAR
5,2026-08-16 17:12:35.743543+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91037,1.91075,2.29761,2.29813,1.20258,1.20287,38.0,52.0,29.0,148656743,148656743,148656743,0,8c82667a5c71b167,0,STALE_SIGNAL_BAR,FLAT_OK,ACTIVE,,STALE_SIGNAL_BAR
6,2026-08-16 17:12:40.745750+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91037,1.91075,2.29761,2.29813,1.20258,1.20287,38.0,52.0,29.0,148661745,148661745,148661745,0,8c82667a5c71b167,0,STALE_SIGNAL_BAR,FLAT_OK,ACTIVE,,STALE_SIGNAL_BAR
7,2026-08-16 17:12:45.747940+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91037,1.91075,2.29761,2.29813,1.20258,1.20287,38.0,52.0,29.0,148666747,148666747,148666747,0,8c82667a5c71b167,0,STALE_SIGNAL_BAR,FLAT_OK,ACTIVE,,STALE_SIGNAL_BAR
8,2026-08-16 17:12:50.750101+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91037,1.91075,2.29761,2.29813,1.20258,1.20287,38.0,52.0,29.0,148671750,148671750,148671750,0,8c82667a5c71b167,0,STALE_SIGNAL_BAR,FLAT_OK,ACTIVE,,STALE_SIGNAL_BAR
9,2026-08-16 17:12:55.751673+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91037,1.91075,2.29761,2.29813,1.20258,1.20287,38.0,52.0,29.0,148676751,148676751,148676751,0,8c82667a5c71b167,0,STALE_SIGNAL_BAR,FLAT_OK,ACTIVE,,STALE_SIGNAL_BAR
10,2026-08-16 17:13:00.754571+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91037,1.91075,2.29761,2.29813,1.20258,1.20287,38.0,52.0,29.0,148681754,148681754,148681754,0,8c82667a5c71b167,0,STALE_SIGNAL_BAR,FLAT_OK,ACTIVE,,STALE_SIGNAL_BAR
11,2026-08-16 17:13:05.757255+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91037,1.91075,2.29761,2.29813,1.20258,1.20287,38.0,52.0,29.0,148686757,148686757,148686757,0,8c82667a5c71b167,0,STALE_SIGNAL_BAR,FLAT_OK,ACTIVE,,STALE_SIGNAL_BAR
12,2026-08-16 17:13:10.759358+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91037,1.91075,2.29761,2.29813,1.20258,1.20287,38.0,52.0,29.0,148691759,148691759,148691759,0,8c82667a5c71b167,0,STALE_SIGNAL_BAR,FLAT_OK,ACTIVE,,STALE_SIGNAL_BAR
