leg,n,median,p90,p95,p99,max
GBPAUD,16,38.0,38.0,38.0,38.0,38.0
GBPNZD,16,52.0,52.0,52.0,52.0,52.0
AUDNZD,16,29.0,29.0,29.0,29.0,29.0
