cycle_id,wall_clock_utc,leg,bid,ask,spread_points,quote_age_ms
1,2026-08-16 21:41:21.059531+00:00,GBPAUD,1.91017,1.91304,287.0,0
1,2026-08-16 21:41:21.059531+00:00,GBPNZD,2.29687,2.30162,475.0,0
1,2026-08-16 21:41:21.059531+00:00,AUDNZD,1.2014,1.20425,285.0,0
2,2026-08-16 21:41:24.114847+00:00,GBPAUD,1.91017,1.91304,287.0,0
2,2026-08-16 21:41:24.114847+00:00,GBPNZD,2.29689,2.30158,469.0,0
2,2026-08-16 21:41:24.114847+00:00,AUDNZD,1.2014,1.20423,283.0,0
3,2026-08-16 21:41:27.117711+00:00,GBPAUD,1.91012,1.91299,287.0,0
3,2026-08-16 21:41:27.117711+00:00,GBPNZD,2.29689,2.30154,465.0,0
3,2026-08-16 21:41:27.117711+00:00,AUDNZD,1.2014,1.20427,287.0,0
4,2026-08-16 21:41:30.120813+00:00,GBPAUD,1.91012,1.91299,287.0,0
4,2026-08-16 21:41:30.120813+00:00,GBPNZD,2.29689,2.30156,467.0,0
4,2026-08-16 21:41:30.120813+00:00,AUDNZD,1.2014,1.20427,287.0,0
5,2026-08-16 21:41:33.132344+00:00,GBPAUD,1.91012,1.91299,287.0,0
5,2026-08-16 21:41:33.132344+00:00,GBPNZD,2.29688,2.30152,464.0,0
5,2026-08-16 21:41:33.132344+00:00,AUDNZD,1.2014,1.20425,285.0,0
6,2026-08-16 21:41:36.135127+00:00,GBPAUD,1.9102,1.91307,287.0,0
6,2026-08-16 21:41:36.135127+00:00,GBPNZD,2.29688,2.30147,459.0,0
6,2026-08-16 21:41:36.135127+00:00,AUDNZD,1.2014,1.20423,283.0,0
1,2026-08-16 21:42:29.373718+00:00,GBPAUD,1.90987,1.91274,287.0,0
1,2026-08-16 21:42:29.373718+00:00,GBPNZD,2.29676,2.30156,480.0,8000
1,2026-08-16 21:42:29.373718+00:00,AUDNZD,1.2016,1.20434,274.0,0
2,2026-08-16 21:42:41.383287+00:00,GBPAUD,1.90987,1.91274,287.0,0
2,2026-08-16 21:42:41.383287+00:00,GBPNZD,2.29673,2.30156,483.0,0
2,2026-08-16 21:42:41.383287+00:00,AUDNZD,1.2016,1.20432,272.0,0
3,2026-08-16 21:42:53.385397+00:00,GBPAUD,1.90966,1.91253,287.0,0
3,2026-08-16 21:42:53.385397+00:00,GBPNZD,2.2968,2.30147,467.0,0
3,2026-08-16 21:42:53.385397+00:00,AUDNZD,1.20162,1.20454,292.0,0
4,2026-08-16 21:43:05.389977+00:00,GBPAUD,1.90962,1.91249,287.0,0
4,2026-08-16 21:43:05.389977+00:00,GBPNZD,2.29659,2.30123,464.0,0
4,2026-08-16 21:43:05.389977+00:00,AUDNZD,1.20162,1.20437,275.0,0
5,2026-08-16 21:43:17.397573+00:00,GBPAUD,1.90969,1.91256,287.0,0
5,2026-08-16 21:43:17.397573+00:00,GBPNZD,2.29629,2.30072,443.0,1000
5,2026-08-16 21:43:17.397573+00:00,AUDNZD,1.20138,1.20408,270.0,0
6,2026-08-16 21:43:29.402254+00:00,GBPAUD,1.90971,1.91258,287.0,0
6,2026-08-16 21:43:29.402254+00:00,GBPNZD,2.29619,2.30051,432.0,7000
6,2026-08-16 21:43:29.402254+00:00,AUDNZD,1.20132,1.20394,262.0,0
7,2026-08-16 21:43:41.411323+00:00,GBPAUD,1.9097,1.91257,287.0,0
7,2026-08-16 21:43:41.411323+00:00,GBPNZD,2.29619,2.30053,434.0,0
7,2026-08-16 21:43:41.411323+00:00,AUDNZD,1.20132,1.20396,264.0,0
8,2026-08-16 21:43:53.423913+00:00,GBPAUD,1.90972,1.91259,287.0,0
8,2026-08-16 21:43:53.423913+00:00,GBPNZD,2.29617,2.30058,441.0,0
8,2026-08-16 21:43:53.423913+00:00,AUDNZD,1.20132,1.20396,264.0,7000
9,2026-08-16 21:44:05.437545+00:00,GBPAUD,1.90972,1.91259,287.0,0
9,2026-08-16 21:44:05.437545+00:00,GBPNZD,2.29618,2.30058,440.0,2000
9,2026-08-16 21:44:05.437545+00:00,AUDNZD,1.20132,1.20396,264.0,0
10,2026-08-16 21:44:17.440686+00:00,GBPAUD,1.90973,1.9126,287.0,0
10,2026-08-16 21:44:17.440686+00:00,GBPNZD,2.29562,2.30015,453.0,0
10,2026-08-16 21:44:17.440686+00:00,AUDNZD,1.201,1.20374,274.0,0
11,2026-08-16 21:44:29.449879+00:00,GBPAUD,1.90973,1.9126,287.0,0
11,2026-08-16 21:44:29.449879+00:00,GBPNZD,2.29571,2.30027,456.0,0
11,2026-08-16 21:44:29.449879+00:00,AUDNZD,1.20104,1.20378,274.0,0
12,2026-08-16 21:44:41.455221+00:00,GBPAUD,1.90973,1.9126,287.0,0
12,2026-08-16 21:44:41.455221+00:00,GBPNZD,2.29569,2.3002,451.0,0
12,2026-08-16 21:44:41.455221+00:00,AUDNZD,1.20104,1.20376,272.0,0
13,2026-08-16 21:44:53.459745+00:00,GBPAUD,1.90971,1.91258,287.0,0
13,2026-08-16 21:44:53.459745+00:00,GBPNZD,2.29568,2.30015,447.0,0
13,2026-08-16 21:44:53.459745+00:00,AUDNZD,1.20104,1.20376,272.0,13000
14,2026-08-16 21:45:05.463592+00:00,GBPAUD,1.9097,1.91257,287.0,0
14,2026-08-16 21:45:05.463592+00:00,GBPNZD,2.29566,2.30023,457.0,0
14,2026-08-16 21:45:05.463592+00:00,AUDNZD,1.20104,1.2038,276.0,0
15,2026-08-16 21:45:17.553301+00:00,GBPAUD,1.90978,1.91265,287.0,0
15,2026-08-16 21:45:17.553301+00:00,GBPNZD,2.2957,2.30026,456.0,0
15,2026-08-16 21:45:17.553301+00:00,AUDNZD,1.20096,1.20382,286.0,0
16,2026-08-16 21:45:29.559694+00:00,GBPAUD,1.9097,1.91257,287.0,0
16,2026-08-16 21:45:29.559694+00:00,GBPNZD,2.29566,2.30034,468.0,4000
16,2026-08-16 21:45:29.559694+00:00,AUDNZD,1.20104,1.20386,282.0,0
