cycle_id,wall_clock_utc,canonical_bar_open_time,bar_close_time,three_leg_sync,signal_bar_age_sec,bar_gap_status,gbpaud_close,gbpnzd_close,audnzd_close,basis,z,primary_state,primary_decision,control_state,control_decision,bid_ga,ask_ga,bid_gn,ask_gn,bid_an,ask_an,spread_ga,spread_gn,spread_an,quote_age_ms_ga,quote_age_ms_gn,quote_age_ms_an,cross_leg_skew_ms,metadata_hash,ledger_seq,engine_health,reconciliation_state,order_send_guard,shadow_order_would_send,server_offset_s,clock_calibration,note
1,2026-08-16 21:41:21.059531+00:00,2026-08-17 00:35:00+00:00,2026-08-17 00:40:00+00:00,True,372,OK,1.90995,2.29628,1.20136,-0.00075911,0.0,,no_action,,no_action,1.91017,1.91304,2.29687,2.30162,1.2014,1.20425,287.0,475.0,285.0,0,0,0,6,c8ce5640d5ce6d7e,0,HEALTHY,FLAT_OK,ACTIVE,,10790.9,OK,
2,2026-08-16 21:41:24.114847+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91017,1.91304,2.29689,2.30158,1.2014,1.20423,287.0,469.0,283.0,0,0,0,10,c8ce5640d5ce6d7e,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10787.9,OK,NO_NEW_SIGNAL_BAR
3,2026-08-16 21:41:27.117711+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91012,1.91299,2.29689,2.30154,1.2014,1.20427,287.0,465.0,287.0,0,0,0,2,c8ce5640d5ce6d7e,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10794.9,OK,NO_NEW_SIGNAL_BAR
4,2026-08-16 21:41:30.120813+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91012,1.91299,2.29689,2.30156,1.2014,1.20427,287.0,467.0,287.0,0,0,0,5,c8ce5640d5ce6d7e,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10791.9,OK,NO_NEW_SIGNAL_BAR
5,2026-08-16 21:41:33.132344+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.91012,1.91299,2.29688,2.30152,1.2014,1.20425,287.0,464.0,285.0,0,0,0,7,c8ce5640d5ce6d7e,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10788.9,OK,NO_NEW_SIGNAL_BAR
6,2026-08-16 21:41:36.135127+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.9102,1.91307,2.29688,2.30147,1.2014,1.20423,287.0,459.0,283.0,0,0,0,2,c8ce5640d5ce6d7e,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10795.9,OK,NO_NEW_SIGNAL_BAR
1,2026-08-16 21:42:29.373718+00:00,2026-08-17 00:35:00+00:00,2026-08-17 00:40:00+00:00,True,446,OK,1.90995,2.29628,1.20136,-0.00075911,0.0,,no_action,,no_action,1.90987,1.91274,2.29676,2.30156,1.2016,1.20434,287.0,480.0,274.0,0,8000,0,8,7898589d366f6656,1,HEALTHY,FLAT_OK,ACTIVE,,10796.6,OK,
2,2026-08-16 21:42:41.383287+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90987,1.91274,2.29673,2.30156,1.2016,1.20432,287.0,483.0,272.0,0,0,0,12,7898589d366f6656,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10784.6,OK,NO_NEW_SIGNAL_BAR
3,2026-08-16 21:42:53.385397+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90966,1.91253,2.2968,2.30147,1.20162,1.20454,287.0,467.0,292.0,0,0,0,2,7898589d366f6656,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10794.6,OK,NO_NEW_SIGNAL_BAR
4,2026-08-16 21:43:05.389977+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90962,1.91249,2.29659,2.30123,1.20162,1.20437,287.0,464.0,275.0,0,0,0,1,7898589d366f6656,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10796.6,OK,NO_NEW_SIGNAL_BAR
5,2026-08-16 21:43:17.397573+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90969,1.91256,2.29629,2.30072,1.20138,1.20408,287.0,443.0,270.0,0,1000,0,1,7898589d366f6656,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10794.6,OK,NO_NEW_SIGNAL_BAR
6,2026-08-16 21:43:29.402254+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90971,1.91258,2.29619,2.30051,1.20132,1.20394,287.0,432.0,262.0,0,7000,0,7,7898589d366f6656,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10796.6,OK,NO_NEW_SIGNAL_BAR
7,2026-08-16 21:43:41.411323+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.9097,1.91257,2.29619,2.30053,1.20132,1.20396,287.0,434.0,264.0,0,0,0,3,7898589d366f6656,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10791.6,OK,NO_NEW_SIGNAL_BAR
8,2026-08-16 21:43:53.423913+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90972,1.91259,2.29617,2.30058,1.20132,1.20396,287.0,441.0,264.0,0,0,7000,11,7898589d366f6656,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10789.6,OK,NO_NEW_SIGNAL_BAR
9,2026-08-16 21:44:05.437545+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90972,1.91259,2.29618,2.30058,1.20132,1.20396,287.0,440.0,264.0,0,2000,0,2,7898589d366f6656,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10796.6,OK,NO_NEW_SIGNAL_BAR
10,2026-08-16 21:44:17.440686+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90973,1.9126,2.29562,2.30015,1.201,1.20374,287.0,453.0,274.0,0,0,0,1,7898589d366f6656,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10793.6,OK,NO_NEW_SIGNAL_BAR
11,2026-08-16 21:44:29.449879+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90973,1.9126,2.29571,2.30027,1.20104,1.20378,287.0,456.0,274.0,0,0,0,16,7898589d366f6656,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10781.6,OK,NO_NEW_SIGNAL_BAR
12,2026-08-16 21:44:41.455221+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90973,1.9126,2.29569,2.3002,1.20104,1.20376,287.0,451.0,272.0,0,0,0,25,7898589d366f6656,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10769.5,OK,NO_NEW_SIGNAL_BAR
13,2026-08-16 21:44:53.459745+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90971,1.91258,2.29568,2.30015,1.20104,1.20376,287.0,447.0,272.0,0,0,13000,18,7898589d366f6656,1,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10789.5,OK,NO_NEW_SIGNAL_BAR
14,2026-08-16 21:45:05.463592+00:00,2026-08-17 00:40:00+00:00,2026-08-17 00:45:00+00:00,True,300,OK,1.9097,2.29567,1.2010399999999999,-0.00089073,0.0,,no_action,,no_action,1.9097,1.91257,2.29566,2.30023,1.20104,1.2038,287.0,457.0,276.0,0,0,0,2,7898589d366f6656,1,HEALTHY,FLAT_OK,ACTIVE,,10794.5,OK,
15,2026-08-16 21:45:17.553301+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90978,1.91265,2.2957,2.30026,1.20096,1.20382,287.0,456.0,286.0,0,0,0,0,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10794.4,OK,NO_NEW_SIGNAL_BAR
16,2026-08-16 21:45:29.559694+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.9097,1.91257,2.29566,2.30034,1.20104,1.20386,287.0,468.0,282.0,0,4000,0,4,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10792.4,OK,NO_NEW_SIGNAL_BAR
17,2026-08-16 21:45:41.562718+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90966,1.91253,2.29566,2.3003,1.20109,1.20384,287.0,464.0,275.0,0,0,0,4,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10787.4,OK,NO_NEW_SIGNAL_BAR
18,2026-08-16 21:45:53.567532+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90958,1.91245,2.29566,2.30037,1.20118,1.20389,287.0,471.0,271.0,0,0,1000,1,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10789.4,OK,NO_NEW_SIGNAL_BAR
19,2026-08-16 21:46:05.574110+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90958,1.91245,2.29566,2.30036,1.20118,1.20389,287.0,470.0,271.0,0,0,0,0,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10794.4,OK,NO_NEW_SIGNAL_BAR
20,2026-08-16 21:46:17.575898+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90957,1.91244,2.29566,2.30033,1.20118,1.20389,287.0,467.0,271.0,0,0,7000,7,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10789.4,OK,NO_NEW_SIGNAL_BAR
21,2026-08-16 21:46:29.577367+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90964,1.91251,2.29566,2.30031,1.20108,1.20389,287.0,465.0,281.0,0,5000,0,5,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10792.4,OK,NO_NEW_SIGNAL_BAR
22,2026-08-16 21:46:41.581494+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90956,1.91243,2.29566,2.30035,1.20118,1.20391,287.0,469.0,273.0,0,0,0,3,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10790.4,OK,NO_NEW_SIGNAL_BAR
23,2026-08-16 21:46:53.584660+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90956,1.91243,2.29566,2.30039,1.20118,1.20393,287.0,473.0,275.0,0,0,0,17,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10778.4,OK,NO_NEW_SIGNAL_BAR
24,2026-08-16 21:47:05.588027+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90955,1.91242,2.29565,2.30037,1.20118,1.20393,287.0,472.0,275.0,0,0,3000,3,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10797.4,OK,NO_NEW_SIGNAL_BAR
25,2026-08-16 21:47:17.590753+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90957,1.91244,2.29569,2.30037,1.20118,1.20393,287.0,468.0,275.0,0,0,13000,13,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10795.4,OK,NO_NEW_SIGNAL_BAR
26,2026-08-16 21:47:29.597007+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90935,1.91222,2.29576,2.29971,1.20118,1.20389,287.0,395.0,271.0,0,1000,0,1,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10797.4,OK,NO_NEW_SIGNAL_BAR
27,2026-08-16 21:47:41.602831+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90929,1.91216,2.29567,2.29962,1.20118,1.20387,287.0,395.0,269.0,0,0,2000,2,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10793.4,OK,NO_NEW_SIGNAL_BAR
28,2026-08-16 21:47:53.607867+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90956,1.91243,2.29478,2.30039,1.20074,1.20389,287.0,561.0,315.0,0,0,0,7,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10789.4,OK,NO_NEW_SIGNAL_BAR
29,2026-08-16 21:48:05.616162+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90957,1.91244,2.29479,2.30035,1.20074,1.20385,287.0,556.0,311.0,0,2000,0,2,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10796.4,OK,NO_NEW_SIGNAL_BAR
30,2026-08-16 21:48:17.618038+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90955,1.91242,2.29476,2.30033,1.20074,1.20385,287.0,557.0,311.0,0,0,11000,11,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10795.4,OK,NO_NEW_SIGNAL_BAR
31,2026-08-16 21:48:29.626436+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90965,1.91252,2.29564,2.30033,1.2011,1.20384,287.0,469.0,274.0,0,1000,0,1,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10797.4,OK,NO_NEW_SIGNAL_BAR
32,2026-08-16 21:48:41.633313+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90957,1.91244,2.29563,2.30033,1.2012,1.20384,287.0,470.0,264.0,0,0,0,1,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10790.4,OK,NO_NEW_SIGNAL_BAR
33,2026-08-16 21:48:53.636001+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90923,1.9121,2.29562,2.29952,1.2012,1.20384,287.0,390.0,264.0,0,0,14000,14,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10792.4,OK,NO_NEW_SIGNAL_BAR
34,2026-08-16 21:49:05.637926+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90923,1.9121,2.29562,2.29952,1.2012,1.20384,287.0,390.0,264.0,0,2000,0,2,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10796.4,OK,NO_NEW_SIGNAL_BAR
35,2026-08-16 21:49:17.643772+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90921,1.91208,2.29561,2.29952,1.2012,1.20385,287.0,391.0,265.0,0,0,0,1,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10786.4,OK,NO_NEW_SIGNAL_BAR
36,2026-08-16 21:49:29.645684+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90954,1.91241,2.29568,2.30023,1.20124,1.20382,287.0,455.0,258.0,0,5000,0,5,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10797.4,OK,NO_NEW_SIGNAL_BAR
37,2026-08-16 21:49:41.648775+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90928,1.91215,2.29578,2.2995,1.20124,1.20382,287.0,372.0,258.0,0,0,12000,12,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10797.4,OK,NO_NEW_SIGNAL_BAR
38,2026-08-16 21:49:53.653073+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90929,1.91216,2.29473,2.29962,1.20073,1.20382,287.0,489.0,309.0,0,0,0,3,7898589d366f6656,2,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10794.3,OK,NO_NEW_SIGNAL_BAR
39,2026-08-16 21:50:05.656863+00:00,2026-08-17 00:45:00+00:00,2026-08-17 00:50:00+00:00,True,300,OK,1.90927,2.2958,1.20128,-0.00097274,0.0,,no_action,,no_action,1.90927,1.91214,2.29554,2.29971,1.20117,1.20388,287.0,417.0,271.0,0,0,0,2,7898589d366f6656,2,HEALTHY,FLAT_OK,ACTIVE,,10794.3,OK,
40,2026-08-16 21:50:17.676947+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90909,1.91196,2.29574,2.29928,1.2013,1.20386,287.0,354.0,256.0,0,0,2000,5,7898589d366f6656,3,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10791.3,OK,NO_NEW_SIGNAL_BAR
1,2026-08-16 21:51:00.444040+00:00,2026-08-17 00:45:00+00:00,2026-08-17 00:50:00+00:00,True,357,OK,1.90927,2.2958,1.20128,-0.00097274,0.0,,no_action,,no_action,1.90906,1.91193,2.29525,2.2994,1.20104,1.20397,287.0,415.0,293.0,0,0,1000,1,29c8e8cea821de51,3,HEALTHY,FLAT_OK,ACTIVE,,10796.6,OK,
2,2026-08-16 21:51:12.451616+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90907,1.91194,2.29544,2.29923,1.20112,1.20386,287.0,379.0,274.0,0,0,9000,9,29c8e8cea821de51,3,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10797.5,OK,NO_NEW_SIGNAL_BAR
3,2026-08-16 21:51:24.455550+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.9091,1.91197,2.29575,2.29981,1.20137,1.20404,287.0,406.0,267.0,0,0,3000,4,29c8e8cea821de51,3,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10796.5,OK,NO_NEW_SIGNAL_BAR
4,2026-08-16 21:51:36.458779+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90916,1.91203,2.29587,2.29983,1.20137,1.20404,287.0,396.0,267.0,0,0,11000,14,29c8e8cea821de51,3,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10792.5,OK,NO_NEW_SIGNAL_BAR
5,2026-08-16 21:51:48.461718+00:00,,,False,,,,,,,,,NO_SNAPSHOT,,NO_SNAPSHOT,1.90907,1.91194,2.29559,2.29989,1.20137,1.20404,287.0,430.0,267.0,0,0,27000,27,29c8e8cea821de51,3,NO_NEW_SIGNAL_BAR,FLAT_OK,ACTIVE,,10796.5,OK,NO_NEW_SIGNAL_BAR
