leg,n,median,p90,p95,p99,max
GBPAUD,506,12.0,287.0,287.0,287.0,287.0
GBPNZD,506,16.0,417.0,465.0,521.0,600.0
AUDNZD,506,10.0,274.0,284.0,309.0,395.0
